TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	0	0	0
1	0.00054	8.14778e-017	-2.6563e-018	8.29415e-017
2	0.00108	1.83244e-009	9.10837e-005	2.98629e-005
3	0.00162	0.000827908	0.00032163	8.97169e-005
4	0.00216	0.00400548	0.000775019	0.000177568
5	0.0027	0.00825659	0.00139946	0.000295449
6	0.00324	0.0144185	0.00224071	0.000441925
7	0.00378	0.0215172	0.0032557	0.000617949
8	0.00432	0.0299153	0.00446319	0.000822183
9	0.00486	0.0388497	0.00582629	0.00105449
10	0.0054	0.0484025	0.00734775	0.00131311
11	0.00594	0.0579683	0.0089962	0.00159681
12	0.00648	0.0674474	0.0107645	0.00190332
13	0.00702	0.0763231	0.0126234	0.00223048
14	0.00756	0.0844138	0.0145595	0.00257544
15	0.0081	0.0913058	0.0165479	0.00293548
16	0.00864	0.0968261	0.0185761	0.00330755
17	0.00918	0.100684	0.0206264	0.00368874
18	0.00972	0.102763	0.0226903	0.00407598
19	0.01026	0.102897	0.0247576	0.00446639
20	0.0108	0.101165	0.0268312	0.00485694
21	0.01134	0.0975142	0.0289082	0.00524492
22	0.01188	0.0919822	0.0309905	0.00562771
23	0.01242	0.084602	0.0330804	0.00600283
24	0.01296	0.0754692	0.0351832	0.0063679
25	0.0135	0.0646839	0.0373043	0.00672069
26	0.01404	0.052389	0.0394511	0.00705903
27	0.01458	0.0387316	0.0416304	0.00738093
28	0.01512	0.0238846	0.0438495	0.00768448
29	0.01566	0.00801945	0.0461142	0.00796787
30	0.0162	-0.0086765	0.0484301	0.00822939
31	0.01674	-0.0260263	0.0508005	0.0084674
32	0.01728	-0.0438509	0.053227	0.00868038
33	0.01782	-0.061987	0.0557085	0.00886687
34	0.01836	-0.0802801	0.0582418	0.0090255
35	0.0189	-0.0985961	0.0608203	0.00915493
36	0.01944	-0.116836	0.0634341	0.00925393
37	0.01998	-0.13507	0.0660626	0.00932141
38	0.02052	-0.153371	0.0686841	0.00935634
39	0.02106	-0.171817	0.0712757	0.00935773
