TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
1	0.00054	-2.6563e-018	8.29415e-017	8.14778e-017
2	0.00108	0.0181362	-0.053676	-0.0014546
3	0.00162	0.0373466	-0.107676	-0.00267864
4	0.00216	0.051526	-0.161676	-0.0030355
5	0.0027	0.0603131	-0.202253	-0.00258874
6	0.00324	0.0652857	-0.227184	-0.0015441
7	0.00378	0.0681368	-0.240307	-9.32144e-005
8	0.00432	0.0700579	-0.246101	0.00161809
9	0.00486	0.0717027	-0.247943	0.00348666
10	0.0054	0.0733468	-0.247928	0.0054418
11	0.00594	0.0750577	-0.247184	0.00743576
12	0.00648	0.0768158	-0.246237	0.0094365
13	0.00702	0.07858	-0.245293	0.0114226
14	0.00756	0.0803154	-0.244405	0.0133796
15	0.0081	0.0820003	-0.243568	0.0152981
16	0.00864	0.0836242	-0.242762	0.0171714
17	0.00918	0.0851835	-0.241968	0.0189953
18	0.00972	0.0866782	-0.241174	0.0207669
19	0.01026	0.0881094	-0.240371	0.0224842
20	0.0108	0.0894784	-0.239557	0.0241457
21	0.01134	0.0907861	-0.23873	0.0257507
22	0.01188	0.0920335	-0.23789	0.0272985
23	0.01242	0.093221	-0.237037	0.0287887
24	0.01296	0.0943493	-0.236171	0.030221
25	0.0135	0.0954186	-0.235293	0.0315953
26	0.01404	0.0964295	-0.234404	0.0329115
27	0.01458	0.0973824	-0.233503	0.0341697
28	0.01512	0.0982779	-0.23259	0.0353697
29	0.01566	0.0991165	-0.231667	0.0365118
30	0.0162	0.0998988	-0.230733	0.0375961
31	0.01674	0.100625	-0.229789	0.0386226
32	0.01728	0.101297	-0.228835	0.0395916
33	0.01782	0.101914	-0.227871	0.0405033
34	0.01836	0.102477	-0.226897	0.0413579
35	0.0189	0.102986	-0.225914	0.0421556
36	0.01944	0.103444	-0.224922	0.0428969
37	0.01998	0.103849	-0.223921	0.0435819
38	0.02052	0.104203	-0.222912	0.0442111
39	0.02106	0.104507	-0.221893	0.0447847
40	0.0216	0.104761	-0.220867	0.0453031
41	0.02214	0.104966	-0.219832	0.0457668
42	0.02268	0.105123	-0.218789	0.0461762
43	0.02322	0.105233	-0.217739	0.0465317
44	0.02376	0.105295	-0.216681	0.0468338
45	0.0243	0.105312	-0.215615	0.047083
46	0.02484	0.105284	-0.214542	0.0472797
47	0.02538	0.105212	-0.213461	0.0474245
48	0.02592	0.105096	-0.212374	0.047518
49	0.02646	0.104938	-0.211279	0.0475606
50	0.027	0.104738	-0.210178	0.0475531
51	0.02754	0.104497	-0.20907	0.0474959
52	0.02808	0.104216	-0.207955	0.0473897
53	0.02862	0.103896	-0.206833	0.047235
54	0.02916	0.103537	-0.205705	0.0470327
55	0.0297	0.103141	-0.204571	0.0467832
56	0.03024	0.102709	-0.20343	0.0464873
57	0.03078	0.10224	-0.202282	0.0461457
58	0.03132	0.101737	-0.201128	0.045759
59	0.03186	0.1012	-0.199968	0.045328
60	0.0324	0.10063	-0.198801	0.0448533
61	0.03294	0.100028	-0.197628	0.0443358
62	0.03348	0.0993947	-0.196449	0.0437762
63	0.03402	0.0987309	-0.195263	0.0431752
64	0.03456	0.0980376	-0.194071	0.0425335
65	0.0351	0.0973157	-0.192873	0.0418521
66	0.03564	0.0965661	-0.191668	0.0411316
67	0.03618	0.0957896	-0.190457	0.0403728
68	0.03672	0.0949873	-0.189239	0.0395765
69	0.03726	0.0941598	-0.188015	0.0387437
70	0.0378	0.0933083	-0.186784	0.0378749
71	0.03834	0.0924334	-0.185546	0.0369712
72	0.03888	0.0915361	-0.184302	0.0360333
73	0.03942	0.0906172	-0.18305	0.035062
74	0.03996	0.0896776	-0.181792	0.0340582
75	0.0405	0.0887182	-0.180526	0.0330227
76	0.04104	0.0877399	-0.179254	0.0319564
77	0.04158	0.0867434	-0.177974	0.0308601
78	0.04212	0.0857296	-0.176686	0.0297347
79	0.04266	0.0846993	-0.175391	0.028581
80	0.0432	0.0836535	-0.174089	0.0273999
81	0.04374	0.0825928	-0.172778	0.0261922
82	0.04428	0.0815181	-0.171459	0.0249588
83	0.04482	0.0804302	-0.170133	0.0237006
84	0.04536	0.0793299	-0.168797	0.0224184
85	0.0459	0.078218	-0.167454	0.0211131
86	0.04644	0.0770953	-0.166101	0.0197855
87	0.04698	0.0759625	-0.16474	0.0184365
88	0.04752	0.0748204	-0.163369	0.0170669
89	0.04806	0.0736697	-0.161989	0.0156777
90	0.0486	0.0725113	-0.160599	0.0142696
91	0.04914	0.0713457	-0.1592	0.0128436
92	0.04968	0.0701737	-0.157791	0.0114003
93	0.05022	0.0689961	-0.156371	0.00994084
94	0.05076	0.0678136	-0.154942	0.00846587
95	0.0513	0.0666267	-0.153501	0.00697629
96	0.05184	0.0654362	-0.152049	0.00547291
97	0.05238	0.0642428	-0.150587	0.00395658
98	0.05292	0.0630471	-0.149113	0.0024281
99	0.05346	0.0618497	-0.147627	0.000888303
100	0.054	0.0606513	-0.146129	-0.000662005
101	0.05454	0.0594525	-0.144619	-0.00222202
102	0.05508	0.0582539	-0.143096	-0.00379093
103	0.05562	0.0570561	-0.141561	-0.00536795
104	0.05616	0.0558596	-0.140012	-0.00695229
105	0.0567	0.0546651	-0.138451	-0.00854317
106	0.05724	0.053473	-0.136875	-0.0101398
107	0.05778	0.052284	-0.135286	-0.0117415
108	0.05832	0.0510986	-0.133682	-0.0133473
109	0.05886	0.0499173	-0.132064	-0.0149567
110	0.0594	0.0487405	-0.130431	-0.0165688
111	0.05994	0.0475688	-0.128783	-0.0181829
112	0.06048	0.0464027	-0.12712	-0.0197983
113	0.06102	0.0452427	-0.125441	-0.0214143
114	0.06156	0.0440891	-0.123745	-0.0230301
115	0.0621	0.0429425	-0.122034	-0.024645
116	0.06264	0.0418032	-0.120305	-0.0262584
117	0.06318	0.0406718	-0.11856	-0.0278696
118	0.06372	0.0395486	-0.116797	-0.0294778
119	0.06426	0.038434	-0.115017	-0.0310824
120	0.0648	0.0373284	-0.113219	-0.0326828
121	0.06534	0.0362321	-0.111402	-0.0342783
122	0.06588	0.0351457	-0.109567	-0.0358683
123	0.06642	0.0340693	-0.107713	-0.0374521
124	0.06696	0.0330033	-0.105839	-0.0390291
125	0.0675	0.0319481	-0.103946	-0.0405986
126	0.06804	0.0309041	-0.102033	-0.0421602
127	0.06858	0.0298714	-0.1001	-0.0437131
128	0.06912	0.0288504	-0.0981463	-0.0452569
129	0.06966	0.0278414	-0.0961717	-0.0467909
130	0.0702	0.0268447	-0.0941759	-0.0483145
131	0.07074	0.0258605	-0.0921586	-0.0498272
132	0.07128	0.0248892	-0.0901194	-0.0513285
133	0.07182	0.0239309	-0.0880581	-0.0528177
134	0.07236	0.0229859	-0.0859743	-0.0542944
135	0.0729	0.0220544	-0.0838677	-0.0557581
136	0.07344	0.0211367	-0.0817381	-0.0572082
137	0.07398	0.020233	-0.079585	-0.0586442
138	0.07452	0.0193435	-0.0774082	-0.0600656
139	0.07506	0.0184683	-0.0752074	-0.0614719
140	0.0756	0.0176077	-0.0729822	-0.0628627
141	0.07614	0.0167619	-0.0707325	-0.0642375
142	0.07668	0.015931	-0.0684578	-0.0655958
143	0.07722	0.0151152	-0.066158	-0.0669372
144	0.07776	0.0143147	-0.0638326	-0.0682611
145	0.0783	0.0135296	-0.0614814	-0.0695673
146	0.07884	0.0127601	-0.0591043	-0.0708552
147	0.07938	0.0120063	-0.0567007	-0.0721243
148	0.07992	0.0112683	-0.0542706	-0.0733744
149	0.08046	0.0105464	-0.0518136	-0.074605
150	0.081	0.00984057	-0.0493295	-0.0758157
151	0.08154	0.00915097	-0.046818	-0.077006
152	0.08208	0.00847774	-0.0442788	-0.0781757
153	0.08262	0.00782097	-0.0417118	-0.0793243
154	0.08316	0.00718079	-0.0391166	-0.0804514
155	0.0837	0.00655728	-0.0364931	-0.0815568
156	0.08424	0.00595055	-0.033841	-0.0826399
157	0.08478	0.00536071	-0.0311601	-0.0837005
158	0.08532	0.00478783	-0.0284501	-0.0847383
159	0.08586	0.00423202	-0.025711	-0.0857528
160	0.0864	0.00369335	-0.0229424	-0.0867438
161	0.08694	0.00317191	-0.0201441	-0.0877108
162	0.08748	0.00266779	-0.0173161	-0.0886537
163	0.08802	0.00218106	-0.014458	-0.089572
164	0.08856	0.0017118	-0.0115698	-0.0904655
165	0.0891	0.00126008	-0.00865118	-0.0913339
166	0.08964	0.000825976	-0.0057021	-0.0921768
167	0.09018	0.000409565	-0.00272236	-0.0929939
168	0.09072	1.09136e-005	0.000288165	-0.093785
169	0.09126	-0.000369908	0.00332962	-0.0945497
170	0.0918	-0.000732832	0.00640214	-0.0952878
171	0.09234	-0.00107779	0.00950583	-0.0959991
172	0.09288	-0.00140472	0.0126408	-0.0966831
173	0.09342	-0.00171354	0.0158072	-0.0973397
174	0.09396	-0.00200421	0.019005	-0.0979685
175	0.0945	-0.00227664	0.0222344	-0.0985694
176	0.09504	-0.00253077	0.0254955	-0.0991421
177	0.09558	-0.00276654	0.0287882	-0.0996862
178	0.09612	-0.00298388	0.0321127	-0.100202
179	0.09666	-0.00318272	0.035469	-0.100688
180	0.0972	-0.003363	0.0388571	-0.101145
181	0.09774	-0.00352465	0.0422771	-0.101573
182	0.09828	-0.0036676	0.0457289	-0.101971
183	0.09882	-0.00379179	0.0492127	-0.102338
184	0.09936	-0.00389713	0.0527283	-0.102676
185	0.0999	-0.00398357	0.0562758	-0.102983
186	0.10044	-0.00405103	0.0598551	-0.10326
187	0.10098	-0.00409944	0.0634662	-0.103506
188	0.10152	-0.00412872	0.0671091	-0.10372
189	0.10206	-0.00413881	0.0707837	-0.103903
190	0.1026	-0.00412963	0.0744899	-0.104055
191	0.10314	-0.00410109	0.0782277	-0.104175
192	0.10368	-0.00405313	0.081997	-0.104263
193	0.10422	-0.00398567	0.0857976	-0.104319
194	0.10476	-0.00389862	0.0896295	-0.104342
195	0.1053	-0.00379191	0.0934925	-0.104332
196	0.10584	-0.00366546	0.0973866	-0.10429
197	0.10638	-0.00351918	0.101311	-0.104215
198	0.10692	-0.003353	0.105267	-0.104107
199	0.10746	-0.00316682	0.109253	-0.103965
200	0.108	-0.00296057	0.11327	-0.10379
201	0.10854	-0.00273417	0.117316	-0.10358
202	0.10908	-0.00248752	0.121393	-0.103337
203	0.10962	-0.00222055	0.1255	-0.10306
204	0.11016	-0.00193316	0.129636	-0.102748
205	0.1107	-0.00162527	0.133801	-0.102402
206	0.11124	-0.0012968	0.137995	-0.102021
207	0.11178	-0.000947668	0.142218	-0.101605
208	0.11232	-0.000577778	0.14647	-0.101155
209	0.11286	-0.00018705	0.15075	-0.100669
210	0.1134	0.000224599	0.155058	-0.100147
211	0.11394	0.000657252	0.159393	-0.0995904
212	0.11448	0.00111099	0.163756	-0.0989978
213	0.11502	0.0015859	0.168146	-0.0983693
214	0.11556	0.00208205	0.172562	-0.0977049
215	0.1161	0.00259953	0.177005	-0.0970044
216	0.11664	0.00313841	0.181474	-0.0962675
217	0.11718	0.00369877	0.185968	-0.0954943
218	0.11772	0.00428067	0.190488	-0.0946845
219	0.11826	0.00488419	0.195032	-0.0938381
220	0.1188	0.00550939	0.199601	-0.0929549
221	0.11934	0.00615634	0.204194	-0.0920348
222	0.11988	0.0068251	0.20881	-0.0910776
223	0.12042	0.00751573	0.213449	-0.0900834
224	0.12096	0.00822827	0.218111	-0.0890519
225	0.1215	0.00896279	0.222796	-0.0879831
226	0.12204	0.00971932	0.227501	-0.0868769
227	0.12258	0.0104979	0.232229	-0.0857332
228	0.12312	0.0112986	0.236976	-0.084552
229	0.12366	0.0121214	0.241744	-0.0833331
230	0.1242	0.0129664	0.246532	-0.0820765
231	0.12474	0.0138335	0.251339	-0.0807822
232	0.12528	0.0147228	0.256164	-0.0794501
233	0.12582	0.0156344	0.261008	-0.0780801
234	0.12636	0.0165681	0.265869	-0.0766723
235	0.1269	0.017524	0.270747	-0.0752265
236	0.12744	0.0185021	0.275641	-0.0737429
237	0.12798	0.0195024	0.280551	-0.0722213
238	0.12852	0.0205248	0.285476	-0.0706618
239	0.12906	0.0215693	0.290416	-0.0690644
240	0.1296	0.0226359	0.29537	-0.0674291
241	0.13014	0.0237245	0.300337	-0.065756
242	0.13068	0.024835	0.305316	-0.064045
243	0.13122	0.0259674	0.310308	-0.0622963
244	0.13176	0.0271217	0.315311	-0.0605099
245	0.1323	0.0282976	0.320324	-0.0586858
246	0.13284	0.0294952	0.325348	-0.0568242
247	0.13338	0.0307143	0.33038	-0.0549251
248	0.13392	0.0319548	0.335422	-0.0529886
249	0.13446	0.0332165	0.340471	-0.051015
250	0.135	0.0344994	0.345527	-0.0490042
251	0.13554	0.0358033	0.35059	-0.0469564
252	0.13608	0.0371279	0.355659	-0.0448718
253	0.13662	0.0384733	0.360732	-0.0427506
254	0.13716	0.039839	0.36581	-0.0405929
255	0.1377	0.041225	0.370891	-0.0383989
256	0.13824	0.0426311	0.375975	-0.0361688
257	0.13878	0.0440569	0.381061	-0.0339029
258	0.13932	0.0455024	0.386148	-0.0316014
259	0.13986	0.0469671	0.391235	-0.0292645
260	0.1404	0.048451	0.396323	-0.0268926
261	0.14094	0.0499536	0.401409	-0.0244857
262	0.14148	0.0514747	0.406492	-0.0220444
263	0.14202	0.053014	0.411573	-0.0195688
264	0.14256	0.0545711	0.41665	-0.0170594
265	0.1431	0.0561458	0.421723	-0.0145164
266	0.14364	0.0577376	0.426791	-0.0119401
267	0.14418	0.0593463	0.431852	-0.00933108
268	0.14472	0.0609714	0.436907	-0.00668958
269	0.14526	0.0626125	0.441954	-0.00401605
270	0.1458	0.0642692	0.446992	-0.00131089
271	0.14634	0.0659412	0.45202	0.00142544
272	0.14688	0.0676279	0.457039	0.00419249
273	0.14742	0.0693289	0.462046	0.0069898
274	0.14796	0.0710437	0.467041	0.00981688
275	0.1485	0.0727718	0.472023	0.0126732
276	0.14904	0.0745128	0.476991	0.0155583
277	0.14958	0.0762661	0.481945	0.0184715
278	0.15012	0.0780312	0.486883	0.0214124
279	0.15066	0.0798074	0.491805	0.0243804
280	0.1512	0.0815944	0.496709	0.0273748
281	0.15174	0.0833914	0.501595	0.030395
282	0.15228	0.0851979	0.506463	0.0334405
283	0.15282	0.0870132	0.51131	0.0365105
284	0.15336	0.0888367	0.516136	0.0396045
285	0.1539	0.0906678	0.520941	0.0427216
286	0.15444	0.0925058	0.525723	0.0458613
287	0.15498	0.09435	0.530481	0.0490227
288	0.15552	0.0961997	0.535215	0.0522053
289	0.15606	0.0980543	0.539924	0.0554081
290	0.1566	0.0999129	0.544606	0.0586304
291	0.15714	0.101775	0.549262	0.0618715
292	0.15768	0.103639	0.553889	0.0651304
293	0.15822	0.105506	0.558488	0.0684065
294	0.15876	0.107373	0.563057	0.0716988
295	0.1593	0.109241	0.567595	0.0750065
296	0.15984	0.111108	0.572102	0.0783287
297	0.16038	0.112973	0.576576	0.0816644
298	0.16092	0.114837	0.581017	0.0850129
299	0.16146	0.116697	0.585424	0.0883731
300	0.162	0.118553	0.589796	0.0917441
301	0.16254	0.120404	0.594131	0.0951249
302	0.16308	0.122249	0.59843	0.0985145
303	0.16362	0.124088	0.602692	0.101912
304	0.16416	0.125919	0.606914	0.105316
305	0.1647	0.127742	0.611098	0.108726
306	0.16524	0.129555	0.615241	0.112141
307	0.16578	0.131357	0.619343	0.11556
308	0.16632	0.133148	0.623403	0.118981
309	0.16686	0.134927	0.62742	0.122404
310	0.1674	0.136692	0.631393	0.125827
311	0.16794	0.138443	0.635322	0.129249
312	0.16848	0.140178	0.639206	0.13267
313	0.16902	0.141897	0.643043	0.136087
314	0.16956	0.143598	0.646834	0.1395
315	0.1701	0.145281	0.650577	0.142908
316	0.17064	0.146944	0.654271	0.14631
317	0.17118	0.148586	0.657916	0.149704
318	0.17172	0.150207	0.66151	0.153089
319	0.17226	0.151805	0.665054	0.156463
320	0.1728	0.153379	0.668546	0.159826
321	0.17334	0.154929	0.671985	0.163177
322	0.17388	0.156452	0.675372	0.166514
323	0.17442	0.157948	0.678704	0.169835
324	0.17496	0.159417	0.681981	0.173141
325	0.1755	0.160855	0.685203	0.176428
326	0.17604	0.162264	0.688369	0.179697
327	0.17658	0.163641	0.691477	0.182945
328	0.17712	0.164985	0.694528	0.186172
329	0.17766	0.166296	0.697521	0.189376
330	0.1782	0.167572	0.700455	0.192555
331	0.17874	0.168813	0.703328	0.195709
332	0.17928	0.170016	0.706142	0.198837
333	0.17982	0.171182	0.708894	0.201936
334	0.18036	0.172308	0.711585	0.205006
335	0.1809	0.173394	0.714213	0.208044
336	0.18144	0.174438	0.716778	0.211051
337	0.18198	0.175441	0.71928	0.214025
338	0.18252	0.1764	0.721717	0.216963
339	0.18306	0.177314	0.72409	0.219865
340	0.1836	0.178183	0.726397	0.22273
341	0.18414	0.179005	0.728638	0.225556
342	0.18468	0.17978	0.730813	0.228342
343	0.18522	0.180506	0.732921	0.231087
344	0.18576	0.181182	0.734961	0.233789
345	0.1863	0.181807	0.736933	0.236446
346	0.18684	0.182381	0.738836	0.239059
347	0.18738	0.182901	0.74067	0.241624
348	0.18792	0.183368	0.742434	0.244142
349	0.18846	0.183781	0.744128	0.24661
350	0.189	0.184137	0.745752	0.249027
351	0.18954	0.184437	0.747305	0.251393
352	0.19008	0.184679	0.748786	0.253705
353	0.19062	0.184863	0.750195	0.255964
354	0.19116	0.184988	0.751533	0.258166
355	0.1917	0.185052	0.752797	0.260311
356	0.19224	0.185055	0.753988	0.262399
357	0.19278	0.184996	0.755106	0.264427
358	0.19332	0.184875	0.756151	0.266394
359	0.19386	0.184689	0.757121	0.268299
360	0.1944	0.18444	0.758017	0.270142
361	0.19494	0.184125	0.758838	0.271921
362	0.19548	0.183744	0.759584	0.273634
363	0.19602	0.183296	0.760254	0.275281
364	0.19656	0.182782	0.76085	0.27686
365	0.1971	0.182199	0.761369	0.278371
366	0.19764	0.181547	0.761813	0.279813
367	0.19818	0.180826	0.76218	0.281183
368	0.19872	0.180035	0.762471	0.282482
369	0.19926	0.179174	0.762685	0.283708
370	0.1998	0.178241	0.762822	0.28486
371	0.20034	0.177237	0.762883	0.285938
372	0.20088	0.176161	0.762866	0.28694
373	0.20142	0.175013	0.762773	0.287865
374	0.20196	0.173791	0.762602	0.288713
375	0.2025	0.172496	0.762354	0.289483
376	0.20304	0.171127	0.762028	0.290173
377	0.20358	0.169683	0.761625	0.290784
378	0.20412	0.168166	0.761144	0.291313
379	0.20466	0.166573	0.760585	0.291761
380	0.2052	0.164906	0.759949	0.292127
381	0.20574	0.163163	0.759236	0.292409
382	0.20628	0.161344	0.758445	0.292608
383	0.20682	0.15945	0.757576	0.292723
384	0.20736	0.15748	0.75663	0.292753
385	0.2079	0.155434	0.755607	0.292697
386	0.20844	0.153312	0.754506	0.292555
387	0.20898	0.151114	0.753328	0.292326
388	0.20952	0.148841	0.752073	0.29201
389	0.21006	0.146491	0.750741	0.291607
390	0.2106	0.144065	0.749333	0.291115
391	0.21114	0.141563	0.747847	0.290535
392	0.21168	0.138986	0.746286	0.289866
393	0.21222	0.136333	0.744648	0.289108
394	0.21276	0.133604	0.742934	0.288261
395	0.2133	0.130801	0.741144	0.287324
396	0.21384	0.127923	0.739278	0.286297
397	0.21438	0.12497	0.737338	0.28518
398	0.21492	0.121943	0.735322	0.283972
399	0.21546	0.118843	0.733232	0.282675
400	0.216	0.115669	0.731067	0.281287
401	0.21654	0.112422	0.728828	0.279808
402	0.21708	0.109103	0.726515	0.278239
403	0.21762	0.105712	0.724129	0.276579
404	0.21816	0.10225	0.72167	0.274829
405	0.2187	0.0987169	0.719139	0.272989
406	0.21924	0.095114	0.716535	0.271058
407	0.21978	0.0914418	0.713859	0.269038
408	0.22032	0.0877009	0.711112	0.266928
409	0.22086	0.0838922	0.708294	0.264728
410	0.2214	0.0800163	0.705405	0.26244
411	0.22194	0.0760742	0.702446	0.260062
412	0.22248	0.0720667	0.699418	0.257596
413	0.22302	0.0679947	0.696321	0.255042
414	0.22356	0.063859	0.693155	0.252401
415	0.2241	0.0596608	0.689921	0.249672
416	0.22464	0.0554009	0.68662	0.246857
417	0.22518	0.0510804	0.683252	0.243956
418	0.22572	0.0467004	0.679818	0.24097
419	0.22626	0.042262	0.676318	0.237898
420	0.2268	0.0377663	0.672753	0.234743
421	0.22734	0.0332145	0.669123	0.231505
422	0.22788	0.0286077	0.665429	0.228184
423	0.22842	0.0239473	0.661673	0.224781
424	0.22896	0.0192344	0.657853	0.221297
425	0.2295	0.0144704	0.653972	0.217734
426	0.23004	0.00965659	0.650029	0.214091
427	0.23058	0.00479433	0.646026	0.21037
428	0.23112	-0.00011499	0.641963	0.206572
429	0.23166	-0.00506996	0.63784	0.202698
430	0.2322	-0.0100691	0.633659	0.198749
431	0.23274	-0.015111	0.629421	0.194726
432	0.23328	-0.0201941	0.625125	0.19063
433	0.23382	-0.0253169	0.620774	0.186462
434	0.23436	-0.0304779	0.616367	0.182224
435	0.2349	-0.0356754	0.611905	0.177916
436	0.23544	-0.0409079	0.607389	0.173541
437	0.23598	-0.0461737	0.60282	0.169099
438	0.23652	-0.0514712	0.598199	0.164591
439	0.23706	-0.0567987	0.593527	0.16002
440	0.2376	-0.0621545	0.588803	0.155386
441	0.23814	-0.0675368	0.58403	0.15069
442	0.23868	-0.072944	0.579208	0.145935
443	0.23922	-0.0783743	0.574338	0.141122
444	0.23976	-0.0838259	0.569421	0.136252
445	0.2403	-0.0892969	0.564457	0.131327
446	0.24084	-0.0947857	0.559448	0.126348
447	0.24138	-0.10029	0.554394	0.121318
448	0.24192	-0.105809	0.549297	0.116237
449	0.24246	-0.11134	0.544156	0.111107
450	0.243	-0.116881	0.538974	0.10593
451	0.24354	-0.12243	0.533751	0.100708
452	0.24408	-0.127986	0.528488	0.0954423
453	0.24462	-0.133546	0.523185	0.0901346
454	0.24516	-0.139109	0.517845	0.0847869
455	0.2457	-0.144673	0.512467	0.0794008
456	0.24624	-0.150235	0.507053	0.0739782
457	0.24678	-0.155794	0.501603	0.0685209
458	0.24732	-0.161348	0.496119	0.0630308
459	0.24786	-0.166895	0.490602	0.0575097
460	0.2484	-0.172433	0.485052	0.0519596
461	0.24894	-0.177959	0.479471	0.0463822
462	0.24948	-0.183473	0.473859	0.0407796
463	0.25002	-0.188971	0.468217	0.0351536
464	0.25056	-0.194453	0.462547	0.0295063
465	0.2511	-0.199915	0.45685	0.0238395
466	0.25164	-0.205357	0.451126	0.0181552
467	0.25218	-0.210775	0.445376	0.0124554
468	0.25272	-0.216169	0.439602	0.00674211
469	0.25326	-0.221535	0.433805	0.00101729
470	0.2538	-0.226873	0.427984	-0.00471707
471	0.25434	-0.23218	0.422142	-0.0104589
472	0.25488	-0.237454	0.41628	-0.0162063
473	0.25542	-0.242694	0.410398	-0.0219571
474	0.25596	-0.247896	0.404497	-0.0277094
475	0.2565	-0.25306	0.398579	-0.033461
476	0.25704	-0.258184	0.392645	-0.0392101
477	0.25758	-0.263265	0.386695	-0.0449545
478	0.25812	-0.268302	0.38073	-0.0506923
479	0.25866	-0.273292	0.374752	-0.0564214
480	0.2592	-0.278235	0.368761	-0.0621397
481	0.25974	-0.283127	0.362759	-0.0678452
482	0.26028	-0.287968	0.356747	-0.073536
483	0.26082	-0.292755	0.350724	-0.07921
484	0.26136	-0.297487	0.344694	-0.0848651
485	0.2619	-0.302161	0.338656	-0.0904995
486	0.26244	-0.306777	0.332612	-0.096111
487	0.26298	-0.311332	0.326562	-0.101698
488	0.26352	-0.315825	0.320507	-0.107258
489	0.26406	-0.320253	0.31445	-0.112789
490	0.2646	-0.324616	0.308389	-0.118289
491	0.26514	-0.328912	0.302328	-0.123757
492	0.26568	-0.333138	0.296265	-0.129191
493	0.26622	-0.337294	0.290203	-0.134587
494	0.26676	-0.341378	0.284143	-0.139946
495	0.2673	-0.345388	0.278085	-0.145264
496	0.26784	-0.349323	0.272031	-0.15054
497	0.26838	-0.353181	0.265981	-0.155772
498	0.26892	-0.356961	0.259936	-0.160958
499	0.26946	-0.360661	0.253897	-0.166096
500	0.27	-0.364281	0.247866	-0.171186
501	0.27054	-0.367818	0.241843	-0.176223
502	0.27108	-0.371272	0.235829	-0.181208
503	0.27162	-0.374641	0.229824	-0.186139
504	0.27216	-0.377923	0.223831	-0.191013
505	0.2727	-0.381119	0.21785	-0.195829
506	0.27324	-0.384225	0.211882	-0.200585
507	0.27378	-0.387242	0.205927	-0.20528
508	0.27432	-0.390169	0.199987	-0.209912
509	0.27486	-0.393003	0.194062	-0.21448
510	0.2754	-0.395744	0.188154	-0.218981
511	0.27594	-0.398392	0.182262	-0.223416
512	0.27648	-0.400945	0.176389	-0.227781
513	0.27702	-0.403402	0.170535	-0.232076
514	0.27756	-0.405762	0.164701	-0.236299
515	0.2781	-0.408025	0.158887	-0.240449
516	0.27864	-0.410189	0.153095	-0.244524
517	0.27918	-0.412255	0.147325	-0.248523
518	0.27972	-0.414221	0.141578	-0.252446
519	0.28026	-0.416086	0.135855	-0.25629
520	0.2808	-0.417851	0.130157	-0.260054
