TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	0	0	0
1	0.00054	8.14778e-017	-2.6563e-018	8.29415e-017
2	0.00108	0.0536783	0.0536035	-0.0172948
3	0.00162	0.107683	0.107603	-0.0350626
4	0.00216	0.161689	0.161606	-0.049891
5	0.0027	0.215699	0.215605	-0.0616838
6	0.00324	0.26971	0.269601	-0.0709426
7	0.00378	0.323721	0.323598	-0.078188
8	0.00432	0.377731	0.377595	-0.083855
9	0.00486	0.431741	0.431592	-0.0882888
10	0.0054	0.48575	0.485589	-0.0917602
11	0.00594	0.539758	0.539588	-0.0944804
12	0.00648	0.591525	0.593586	-0.0966136
13	0.00702	0.634667	0.647584	-0.0982878
14	0.00756	0.669562	0.701582	-0.0996037
15	0.0081	0.697684	0.755579	-0.100639
16	0.00864	0.720442	0.809576	-0.101456
17	0.00918	0.73899	0.85929	-0.102108
18	0.00972	0.754239	0.900222	-0.102636
19	0.01026	0.766903	0.933097	-0.103054
20	0.0108	0.777538	0.959417	-0.103382
21	0.01134	0.786582	0.980562	-0.103637
22	0.01188	0.794375	0.997653	-0.103834
23	0.01242	0.801182	1.01157	-0.103986
24	0.01296	0.807209	1.02301	-0.104101
25	0.0135	0.812616	1.03251	-0.104188
26	0.01404	0.817529	1.04049	-0.104251
27	0.01458	0.822044	1.04728	-0.104295
28	0.01512	0.826237	1.05313	-0.104323
29	0.01566	0.830167	1.05824	-0.104338
30	0.0162	0.833878	1.06276	-0.104342
31	0.01674	0.837407	1.06682	-0.104336
32	0.01728	0.840782	1.07052	-0.104321
33	0.01782	0.844023	1.07391	-0.104299
34	0.01836	0.847146	1.07707	-0.104269
35	0.0189	0.850166	1.08003	-0.104232
36	0.01944	0.853092	1.08283	-0.10419
37	0.01998	0.855931	1.0855	-0.104141
38	0.02052	0.85869	1.08806	-0.104087
39	0.02106	0.861373	1.09052	-0.104027
40	0.0216	0.863983	1.0929	-0.103962
41	0.02214	0.866524	1.0952	-0.103892
42	0.02268	0.868997	1.09744	-0.103816
43	0.02322	0.871404	1.09961	-0.103736
