TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
1	0.00054	-2.6563e-018	8.29415e-017	8.14778e-017
2	0.00108	-0.0536972	-0.053523	-0.0536747
3	0.00162	-0.107694	-0.107525	-0.107669
4	0.00216	-0.161689	-0.161528	-0.161658
5	0.0027	-0.215683	-0.215531	-0.215644
6	0.00324	-0.269676	-0.269533	-0.269628
7	0.00378	-0.323668	-0.323534	-0.32361
8	0.00432	-0.37766	-0.377533	-0.37759
9	0.00486	-0.42775	-0.431529	-0.431568
10	0.0054	-0.460776	-0.485514	-0.485543
11	0.00594	-0.477974	-0.539498	-0.53951
12	0.00648	-0.484776	-0.593484	-0.593466
13	0.00702	-0.48622	-0.645492	-0.64741
14	0.00756	-0.48561	-0.680101	-0.695106
15	0.0081	-0.484679	-0.697894	-0.730904
16	0.00864	-0.484081	-0.704387	-0.756221
17	0.00918	-0.483921	-0.704926	-0.773734
18	0.00972	-0.484103	-0.703109	-0.785799
19	0.01026	-0.484497	-0.700836	-0.794172
20	0.0108	-0.485006	-0.698858	-0.800082
21	0.01134	-0.485573	-0.697327	-0.804368
22	0.01188	-0.486173	-0.696149	-0.807592
23	0.01242	-0.486796	-0.695185	-0.81013
24	0.01296	-0.48744	-0.694326	-0.812233
25	0.0135	-0.488108	-0.693505	-0.814067
26	0.01404	-0.4888	-0.69269	-0.815743
27	0.01458	-0.489517	-0.691872	-0.817333
28	0.01512	-0.49026	-0.691051	-0.818887
29	0.01566	-0.491028	-0.69023	-0.820437
30	0.0162	-0.491821	-0.689411	-0.822003
31	0.01674	-0.492639	-0.688599	-0.823599
32	0.01728	-0.49348	-0.687792	-0.825232
33	0.01782	-0.494345	-0.686993	-0.826909
34	0.01836	-0.495232	-0.686201	-0.828631
35	0.0189	-0.496141	-0.685416	-0.830402
36	0.01944	-0.497072	-0.684638	-0.832221
37	0.01998	-0.498023	-0.683866	-0.834089
38	0.02052	-0.498995	-0.683102	-0.836006
39	0.02106	-0.499987	-0.682344	-0.837971
40	0.0216	-0.500998	-0.681594	-0.839984
41	0.02214	-0.502028	-0.68085	-0.842044
42	0.02268	-0.503075	-0.680112	-0.84415
43	0.02322	-0.504141	-0.679382	-0.846301
44	0.02376	-0.505223	-0.678658	-0.848497
45	0.0243	-0.506322	-0.67794	-0.850735
46	0.02484	-0.507436	-0.677229	-0.853015
47	0.02538	-0.508566	-0.676524	-0.855336
48	0.02592	-0.50971	-0.675826	-0.857697
49	0.02646	-0.510869	-0.675134	-0.860097
50	0.027	-0.512041	-0.674448	-0.862535
51	0.02754	-0.513227	-0.673769	-0.865009
52	0.02808	-0.514424	-0.673095	-0.867518
53	0.02862	-0.515634	-0.672427	-0.870061
54	0.02916	-0.516855	-0.671765	-0.872638
55	0.0297	-0.518087	-0.671108	-0.875246
56	0.03024	-0.51933	-0.670458	-0.877886
57	0.03078	-0.520582	-0.669812	-0.880554
58	0.03132	-0.521843	-0.669172	-0.883252
59	0.03186	-0.523113	-0.668537	-0.885977
60	0.0324	-0.524391	-0.667906	-0.888727
61	0.03294	-0.525677	-0.667281	-0.891503
62	0.03348	-0.52697	-0.666661	-0.894303
63	0.03402	-0.52827	-0.666045	-0.897125
64	0.03456	-0.529576	-0.665433	-0.899969
65	0.0351	-0.530887	-0.664826	-0.902834
66	0.03564	-0.532203	-0.664222	-0.905717
67	0.03618	-0.533525	-0.663623	-0.908619
68	0.03672	-0.53485	-0.663027	-0.911538
69	0.03726	-0.536179	-0.662435	-0.914472
70	0.0378	-0.537511	-0.661846	-0.917421
71	0.03834	-0.538845	-0.661261	-0.920384
72	0.03888	-0.540182	-0.660678	-0.92336
73	0.03942	-0.541521	-0.660099	-0.926346
74	0.03996	-0.542861	-0.659522	-0.929343
75	0.0405	-0.544202	-0.658947	-0.93235
76	0.04104	-0.545543	-0.658375	-0.935364
77	0.04158	-0.546885	-0.657805	-0.938386
78	0.04212	-0.548225	-0.657236	-0.941413
79	0.04266	-0.549565	-0.65667	-0.944446
80	0.0432	-0.550904	-0.656104	-0.947482
81	0.04374	-0.552241	-0.65554	-0.950521
82	0.04428	-0.553576	-0.654977	-0.953562
83	0.04482	-0.554908	-0.654415	-0.956604
84	0.04536	-0.556238	-0.653854	-0.959646
85	0.0459	-0.557564	-0.653293	-0.962687
86	0.04644	-0.558887	-0.652732	-0.965725
87	0.04698	-0.560205	-0.652171	-0.968761
88	0.04752	-0.56152	-0.65161	-0.971792
89	0.04806	-0.562829	-0.651048	-0.974819
90	0.0486	-0.564134	-0.650486	-0.97784
91	0.04914	-0.565433	-0.649923	-0.980854
92	0.04968	-0.566726	-0.649359	-0.98386
93	0.05022	-0.568014	-0.648793	-0.986859
94	0.05076	-0.569295	-0.648226	-0.989847
95	0.0513	-0.57057	-0.647657	-0.992826
96	0.05184	-0.571837	-0.647086	-0.995794
97	0.05238	-0.573098	-0.646513	-0.998749
98	0.05292	-0.574351	-0.645938	-1.00169
99	0.05346	-0.575596	-0.64536	-1.00462
100	0.054	-0.576833	-0.644779	-1.00754
101	0.05454	-0.578062	-0.644195	-1.01044
102	0.05508	-0.579283	-0.643608	-1.01332
103	0.05562	-0.580495	-0.643018	-1.01619
104	0.05616	-0.581697	-0.642424	-1.01905
105	0.0567	-0.582891	-0.641825	-1.02188
106	0.05724	-0.584075	-0.641223	-1.0247
107	0.05778	-0.58525	-0.640616	-1.0275
108	0.05832	-0.586415	-0.640005	-1.03027
109	0.05886	-0.58757	-0.639389	-1.03303
110	0.0594	-0.588715	-0.638768	-1.03577
111	0.05994	-0.58985	-0.638143	-1.03848
112	0.06048	-0.590974	-0.637511	-1.04118
113	0.06102	-0.592087	-0.636874	-1.04385
114	0.06156	-0.59319	-0.636232	-1.0465
115	0.0621	-0.594282	-0.635583	-1.04913
116	0.06264	-0.595363	-0.634928	-1.05173
117	0.06318	-0.596433	-0.634267	-1.05431
118	0.06372	-0.597492	-0.6336	-1.05686
119	0.06426	-0.598539	-0.632926	-1.05939
120	0.0648	-0.599575	-0.632245	-1.0619
121	0.06534	-0.600599	-0.631556	-1.06437
122	0.06588	-0.601612	-0.630861	-1.06683
123	0.06642	-0.602613	-0.630158	-1.06925
124	0.06696	-0.603603	-0.629448	-1.07165
125	0.0675	-0.604581	-0.62873	-1.07402
126	0.06804	-0.605546	-0.628004	-1.07637
127	0.06858	-0.606501	-0.62727	-1.07869
128	0.06912	-0.607443	-0.626527	-1.08098
129	0.06966	-0.608373	-0.625776	-1.08324
130	0.0702	-0.609292	-0.625017	-1.08547
131	0.07074	-0.610198	-0.624249	-1.08768
132	0.07128	-0.611093	-0.623472	-1.08986
133	0.07182	-0.611975	-0.622687	-1.092
134	0.07236	-0.612846	-0.621892	-1.09412
135	0.0729	-0.613705	-0.621087	-1.09622
136	0.07344	-0.614552	-0.620274	-1.09828
137	0.07398	-0.615387	-0.619451	-1.10031
138	0.07452	-0.616211	-0.618618	-1.10232
139	0.07506	-0.617022	-0.617776	-1.10429
140	0.0756	-0.617822	-0.616924	-1.10624
141	0.07614	-0.618611	-0.616061	-1.10816
142	0.07668	-0.619388	-0.615189	-1.11005
143	0.07722	-0.620153	-0.614307	-1.11191
144	0.07776	-0.620907	-0.613414	-1.11374
145	0.0783	-0.62165	-0.612511	-1.11555
146	0.07884	-0.622381	-0.611597	-1.11732
147	0.07938	-0.623101	-0.610673	-1.11907
148	0.07992	-0.62381	-0.609738	-1.12078
149	0.08046	-0.624509	-0.608792	-1.12247
150	0.081	-0.625196	-0.607836	-1.12414
151	0.08154	-0.625873	-0.606869	-1.12577
152	0.08208	-0.626539	-0.60589	-1.12737
153	0.08262	-0.627195	-0.604901	-1.12895
154	0.08316	-0.62784	-0.603901	-1.1305
155	0.0837	-0.628475	-0.60289	-1.13203
156	0.08424	-0.6291	-0.601867	-1.13352
157	0.08478	-0.629715	-0.600834	-1.13499
158	0.08532	-0.630321	-0.599789	-1.13644
159	0.08586	-0.630916	-0.598733	-1.13786
160	0.0864	-0.631503	-0.597665	-1.13925
161	0.08694	-0.63208	-0.596586	-1.14061
162	0.08748	-0.632647	-0.595496	-1.14195
163	0.08802	-0.633206	-0.594394	-1.14327
164	0.08856	-0.633756	-0.593281	-1.14456
165	0.0891	-0.634297	-0.592157	-1.14583
166	0.08964	-0.63483	-0.591021	-1.14707
167	0.09018	-0.635355	-0.589874	-1.14829
168	0.09072	-0.635871	-0.588715	-1.14949
169	0.09126	-0.636379	-0.587545	-1.15066
170	0.0918	-0.63688	-0.586364	-1.15182
171	0.09234	-0.637373	-0.585171	-1.15295
172	0.09288	-0.637859	-0.583966	-1.15405
173	0.09342	-0.638337	-0.582751	-1.15514
174	0.09396	-0.638809	-0.581523	-1.15621
175	0.0945	-0.639274	-0.580285	-1.15725
176	0.09504	-0.639732	-0.579035	-1.15828
177	0.09558	-0.640183	-0.577774	-1.15928
178	0.09612	-0.640629	-0.576502	-1.16027
179	0.09666	-0.641068	-0.575219	-1.16124
180	0.0972	-0.641502	-0.573925	-1.16219
181	0.09774	-0.64193	-0.572619	-1.16312
182	0.09828	-0.642352	-0.571302	-1.16404
183	0.09882	-0.642769	-0.569975	-1.16493
184	0.09936	-0.643182	-0.568636	-1.16582
185	0.0999	-0.643589	-0.567287	-1.16668
186	0.10044	-0.643992	-0.565927	-1.16753
187	0.10098	-0.644391	-0.564556	-1.16837
188	0.10152	-0.644785	-0.563174	-1.16919
189	0.10206	-0.645175	-0.561782	-1.17
190	0.1026	-0.645562	-0.56038	-1.17079
191	0.10314	-0.645944	-0.558966	-1.17157
192	0.10368	-0.646324	-0.557543	-1.17234
193	0.10422	-0.6467	-0.556109	-1.17309
194	0.10476	-0.647073	-0.554666	-1.17384
195	0.1053	-0.647444	-0.553212	-1.17457
196	0.10584	-0.647811	-0.551748	-1.17529
197	0.10638	-0.648177	-0.550274	-1.176
198	0.10692	-0.64854	-0.54879	-1.17671
199	0.10746	-0.648901	-0.547297	-1.1774
200	0.108	-0.649261	-0.545794	-1.17808
201	0.10854	-0.64962	-0.544281	-1.17876
202	0.10908	-0.649976	-0.54276	-1.17942
203	0.10962	-0.650331	-0.541229	-1.18008
204	0.11016	-0.650684	-0.539688	-1.18074
205	0.1107	-0.651037	-0.538139	-1.18138
206	0.11124	-0.651389	-0.536581	-1.18202
207	0.11178	-0.651741	-0.535014	-1.18266
208	0.11232	-0.652092	-0.533438	-1.18328
209	0.11286	-0.652444	-0.531854	-1.18391
210	0.1134	-0.652795	-0.530261	-1.18453
211	0.11394	-0.653146	-0.52866	-1.18514
212	0.11448	-0.653498	-0.52705	-1.18575
213	0.11502	-0.653851	-0.525433	-1.18636
214	0.11556	-0.654203	-0.523807	-1.18696
215	0.1161	-0.654557	-0.522174	-1.18757
216	0.11664	-0.654912	-0.520533	-1.18817
217	0.11718	-0.655268	-0.518884	-1.18877
218	0.11772	-0.655625	-0.517228	-1.18936
219	0.11826	-0.655983	-0.515564	-1.18996
220	0.1188	-0.656344	-0.513893	-1.19055
221	0.11934	-0.656705	-0.512215	-1.19115
222	0.11988	-0.657069	-0.510531	-1.19174
223	0.12042	-0.657435	-0.508839	-1.19234
224	0.12096	-0.657802	-0.507141	-1.19293
225	0.1215	-0.658172	-0.505436	-1.19353
226	0.12204	-0.658545	-0.503725	-1.19413
227	0.12258	-0.65892	-0.502007	-1.19473
228	0.12312	-0.659297	-0.500283	-1.19533
229	0.12366	-0.659677	-0.498553	-1.19593
230	0.1242	-0.66006	-0.496818	-1.19653
231	0.12474	-0.660446	-0.495076	-1.19714
232	0.12528	-0.660835	-0.493329	-1.19775
233	0.12582	-0.661227	-0.491576	-1.19836
234	0.12636	-0.661622	-0.489819	-1.19898
235	0.1269	-0.662021	-0.488055	-1.1996
236	0.12744	-0.662423	-0.486287	-1.20022
237	0.12798	-0.662828	-0.484514	-1.20085
238	0.12852	-0.663237	-0.482736	-1.20148
239	0.12906	-0.66365	-0.480953	-1.20211
240	0.1296	-0.664067	-0.479165	-1.20275
241	0.13014	-0.664487	-0.477373	-1.20339
242	0.13068	-0.664911	-0.475577	-1.20404
243	0.13122	-0.665339	-0.473776	-1.20469
244	0.13176	-0.665771	-0.471972	-1.20535
245	0.1323	-0.666207	-0.470163	-1.20601
246	0.13284	-0.666647	-0.468351	-1.20667
247	0.13338	-0.667091	-0.466535	-1.20734
248	0.13392	-0.66754	-0.464715	-1.20802
249	0.13446	-0.667992	-0.462892	-1.2087
250	0.135	-0.668449	-0.461065	-1.20938
251	0.13554	-0.66891	-0.459235	-1.21008
252	0.13608	-0.669376	-0.457402	-1.21077
253	0.13662	-0.669846	-0.455566	-1.21147
254	0.13716	-0.67032	-0.453727	-1.21218
255	0.1377	-0.670798	-0.451885	-1.21289
256	0.13824	-0.671281	-0.450041	-1.2136
257	0.13878	-0.671768	-0.448194	-1.21432
258	0.13932	-0.67226	-0.446344	-1.21505
259	0.13986	-0.672756	-0.444492	-1.21578
260	0.1404	-0.673257	-0.442638	-1.21652
261	0.14094	-0.673762	-0.440781	-1.21726
262	0.14148	-0.674271	-0.438923	-1.218
263	0.14202	-0.674785	-0.437063	-1.21875
264	0.14256	-0.675303	-0.4352	-1.2195
265	0.1431	-0.675825	-0.433336	-1.22026
266	0.14364	-0.676352	-0.43147	-1.22102
267	0.14418	-0.676883	-0.429603	-1.22179
268	0.14472	-0.677418	-0.427734	-1.22256
269	0.14526	-0.677958	-0.425863	-1.22333
270	0.1458	-0.678502	-0.423991	-1.22411
271	0.14634	-0.67905	-0.422118	-1.22489
272	0.14688	-0.679602	-0.420244	-1.22567
273	0.14742	-0.680158	-0.418369	-1.22646
274	0.14796	-0.680719	-0.416492	-1.22725
275	0.1485	-0.681283	-0.414616	-1.22804
276	0.14904	-0.681852	-0.412738	-1.22884
277	0.14958	-0.682424	-0.410858	-1.22963
278	0.15012	-0.683	-0.408979	-1.23043
279	0.15066	-0.68358	-0.407098	-1.23123
280	0.1512	-0.684164	-0.405216	-1.23203
281	0.15174	-0.684751	-0.403334	-1.23284
282	0.15228	-0.685342	-0.401452	-1.23364
283	0.15282	-0.685937	-0.399569	-1.23445
284	0.15336	-0.686535	-0.397686	-1.23525
285	0.1539	-0.687137	-0.395803	-1.23606
286	0.15444	-0.687742	-0.393919	-1.23686
287	0.15498	-0.68835	-0.392036	-1.23766
288	0.15552	-0.688962	-0.390152	-1.23847
289	0.15606	-0.689576	-0.388268	-1.23927
290	0.1566	-0.690194	-0.386383	-1.24007
291	0.15714	-0.690815	-0.384499	-1.24087
292	0.15768	-0.691438	-0.382615	-1.24167
293	0.15822	-0.692065	-0.380731	-1.24246
294	0.15876	-0.692694	-0.378847	-1.24325
295	0.1593	-0.693325	-0.376963	-1.24404
296	0.15984	-0.69396	-0.375079	-1.24483
297	0.16038	-0.694596	-0.373196	-1.24561
298	0.16092	-0.695235	-0.371312	-1.24638
299	0.16146	-0.695877	-0.369429	-1.24716
300	0.162	-0.69652	-0.367547	-1.24793
301	0.16254	-0.697166	-0.365664	-1.24869
302	0.16308	-0.697814	-0.363782	-1.24945
303	0.16362	-0.698463	-0.361901	-1.2502
304	0.16416	-0.699115	-0.360019	-1.25095
305	0.1647	-0.699768	-0.358139	-1.25169
306	0.16524	-0.700422	-0.356258	-1.25242
307	0.16578	-0.701078	-0.354378	-1.25314
308	0.16632	-0.701736	-0.352499	-1.25386
309	0.16686	-0.702395	-0.35062	-1.25457
310	0.1674	-0.703055	-0.348742	-1.25527
311	0.16794	-0.703716	-0.346864	-1.25597
312	0.16848	-0.704379	-0.344986	-1.25665
313	0.16902	-0.705042	-0.34311	-1.25733
314	0.16956	-0.705706	-0.341234	-1.25799
315	0.1701	-0.70637	-0.339358	-1.25865
316	0.17064	-0.707036	-0.337483	-1.25929
317	0.17118	-0.707702	-0.335609	-1.25993
318	0.17172	-0.708368	-0.333735	-1.26055
319	0.17226	-0.709034	-0.331862	-1.26116
320	0.1728	-0.709701	-0.329989	-1.26176
321	0.17334	-0.710368	-0.328118	-1.26235
322	0.17388	-0.711035	-0.326247	-1.26292
323	0.17442	-0.711702	-0.324376	-1.26349
324	0.17496	-0.712368	-0.322506	-1.26403
325	0.1755	-0.713034	-0.320637	-1.26457
326	0.17604	-0.7137	-0.318768	-1.26509
327	0.17658	-0.714366	-0.316901	-1.2656
328	0.17712	-0.71503	-0.315033	-1.26609
329	0.17766	-0.715695	-0.313167	-1.26657
330	0.1782	-0.716358	-0.311301	-1.26704
331	0.17874	-0.717021	-0.309436	-1.26749
332	0.17928	-0.717682	-0.307572	-1.26792
333	0.17982	-0.718343	-0.305708	-1.26834
334	0.18036	-0.719002	-0.303845	-1.26874
335	0.1809	-0.71966	-0.301983	-1.26912
336	0.18144	-0.720317	-0.300121	-1.26949
337	0.18198	-0.720972	-0.29826	-1.26984
338	0.18252	-0.721626	-0.2964	-1.27018
339	0.18306	-0.722278	-0.294541	-1.27049
340	0.1836	-0.722929	-0.292682	-1.27079
341	0.18414	-0.723578	-0.290824	-1.27107
342	0.18468	-0.724225	-0.288967	-1.27133
343	0.18522	-0.72487	-0.28711	-1.27158
344	0.18576	-0.725513	-0.285255	-1.2718
345	0.1863	-0.726153	-0.2834	-1.27201
346	0.18684	-0.726794	-0.281546	-1.2722
347	0.18738	-0.727431	-0.279692	-1.27237
348	0.18792	-0.728064	-0.27784	-1.27251
349	0.18846	-0.728695	-0.275988	-1.27264
350	0.189	-0.729324	-0.274137	-1.27275
351	0.18954	-0.72995	-0.272287	-1.27284
352	0.19008	-0.730574	-0.270437	-1.27291
353	0.19062	-0.731196	-0.268589	-1.27296
354	0.19116	-0.731814	-0.266741	-1.27299
355	0.1917	-0.73243	-0.264894	-1.27299
356	0.19224	-0.733043	-0.263048	-1.27298
357	0.19278	-0.733653	-0.261204	-1.27295
358	0.19332	-0.73426	-0.25936	-1.27289
359	0.19386	-0.734863	-0.257517	-1.27281
360	0.1944	-0.735464	-0.255675	-1.27272
361	0.19494	-0.736061	-0.253833	-1.2726
362	0.19548	-0.736656	-0.251993	-1.27246
363	0.19602	-0.737246	-0.250155	-1.2723
364	0.19656	-0.737834	-0.248317	-1.27211
365	0.1971	-0.738418	-0.24648	-1.27191
366	0.19764	-0.738998	-0.244644	-1.27168
367	0.19818	-0.739575	-0.24281	-1.27143
368	0.19872	-0.740149	-0.240977	-1.27116
369	0.19926	-0.740718	-0.239145	-1.27087
370	0.1998	-0.741284	-0.237314	-1.27056
371	0.20034	-0.741847	-0.235485	-1.27022
372	0.20088	-0.742405	-0.233656	-1.26987
373	0.20142	-0.74296	-0.23183	-1.26949
374	0.20196	-0.743511	-0.230005	-1.26909
375	0.2025	-0.744058	-0.228181	-1.26866
376	0.20304	-0.744601	-0.226359	-1.26822
377	0.20358	-0.745141	-0.224538	-1.26775
378	0.20412	-0.745676	-0.222719	-1.26727
379	0.20466	-0.746207	-0.220902	-1.26676
380	0.2052	-0.746734	-0.219086	-1.26623
381	0.20574	-0.747257	-0.217272	-1.26568
382	0.20628	-0.747776	-0.215461	-1.2651
383	0.20682	-0.748291	-0.21365	-1.26451
384	0.20736	-0.748801	-0.211842	-1.26389
385	0.2079	-0.749308	-0.210036	-1.26325
386	0.20844	-0.74981	-0.208232	-1.2626
387	0.20898	-0.750308	-0.206431	-1.26192
388	0.20952	-0.750801	-0.204631	-1.26122
389	0.21006	-0.751291	-0.202834	-1.2605
390	0.2106	-0.751776	-0.201039	-1.25976
391	0.21114	-0.752256	-0.199246	-1.259
392	0.21168	-0.752733	-0.197456	-1.25821
393	0.21222	-0.753205	-0.195668	-1.25741
394	0.21276	-0.753672	-0.193884	-1.25659
395	0.2133	-0.754136	-0.192102	-1.25575
396	0.21384	-0.754595	-0.190322	-1.25489
397	0.21438	-0.755049	-0.188546	-1.25401
398	0.21492	-0.755499	-0.186772	-1.25311
399	0.21546	-0.755945	-0.185002	-1.25219
400	0.216	-0.756386	-0.183235	-1.25125
401	0.21654	-0.756822	-0.181471	-1.2503
402	0.21708	-0.757255	-0.17971	-1.24932
403	0.21762	-0.757682	-0.177953	-1.24833
404	0.21816	-0.758106	-0.176199	-1.24732
405	0.2187	-0.758524	-0.174449	-1.24629
406	0.21924	-0.758939	-0.172703	-1.24524
407	0.21978	-0.759349	-0.17096	-1.24417
408	0.22032	-0.759754	-0.169222	-1.24309
409	0.22086	-0.760155	-0.167487	-1.24199
410	0.2214	-0.760551	-0.165756	-1.24088
411	0.22194	-0.760943	-0.16403	-1.23975
412	0.22248	-0.761331	-0.162308	-1.2386
413	0.22302	-0.761713	-0.16059	-1.23743
414	0.22356	-0.762092	-0.158877	-1.23625
415	0.2241	-0.762466	-0.157169	-1.23505
416	0.22464	-0.762835	-0.155465	-1.23384
417	0.22518	-0.7632	-0.153766	-1.23261
418	0.22572	-0.763561	-0.152072	-1.23137
419	0.22626	-0.763917	-0.150383	-1.23011
420	0.2268	-0.764269	-0.1487	-1.22884
421	0.22734	-0.764616	-0.147021	-1.22756
422	0.22788	-0.764959	-0.145348	-1.22626
423	0.22842	-0.765297	-0.143681	-1.22494
424	0.22896	-0.765631	-0.142019	-1.22362
425	0.2295	-0.76596	-0.140363	-1.22228
426	0.23004	-0.766285	-0.138713	-1.22092
427	0.23058	-0.766606	-0.137069	-1.21956
428	0.23112	-0.766922	-0.135431	-1.21818
429	0.23166	-0.767234	-0.1338	-1.21679
430	0.2322	-0.767541	-0.132174	-1.21538
431	0.23274	-0.767845	-0.130556	-1.21397
432	0.23328	-0.768143	-0.128944	-1.21254
433	0.23382	-0.768438	-0.127338	-1.2111
434	0.23436	-0.768728	-0.12574	-1.20966
435	0.2349	-0.769014	-0.124148	-1.2082
436	0.23544	-0.769295	-0.122564	-1.20673
437	0.23598	-0.769572	-0.120987	-1.20525
438	0.23652	-0.769845	-0.119417	-1.20376
439	0.23706	-0.770114	-0.117854	-1.20226
440	0.2376	-0.770378	-0.1163	-1.20075
441	0.23814	-0.770639	-0.114753	-1.19923
442	0.23868	-0.770895	-0.113214	-1.1977
443	0.23922	-0.771146	-0.111683	-1.19616
444	0.23976	-0.771394	-0.11016	-1.19462
445	0.2403	-0.771637	-0.108645	-1.19306
446	0.24084	-0.771877	-0.107139	-1.1915
447	0.24138	-0.772112	-0.105641	-1.18993
448	0.24192	-0.772343	-0.104152	-1.18835
449	0.24246	-0.772569	-0.102671	-1.18676
450	0.243	-0.772792	-0.101199	-1.18517
451	0.24354	-0.773011	-0.0997367	-1.18357
452	0.24408	-0.773226	-0.0982831	-1.18196
453	0.24462	-0.773436	-0.0968388	-1.18034
454	0.24516	-0.773643	-0.0954037	-1.17872
455	0.2457	-0.773846	-0.0939782	-1.17709
456	0.24624	-0.774045	-0.0925622	-1.17546
457	0.24678	-0.774239	-0.0911559	-1.17382
458	0.24732	-0.77443	-0.0897594	-1.17217
459	0.24786	-0.774617	-0.0883729	-1.17052
460	0.2484	-0.7748	-0.0869964	-1.16886
461	0.24894	-0.774979	-0.0856301	-1.1672
462	0.24948	-0.775155	-0.084274	-1.16553
463	0.25002	-0.775326	-0.0829283	-1.16385
464	0.25056	-0.775494	-0.0815931	-1.16217
465	0.2511	-0.775658	-0.0802685	-1.16049
466	0.25164	-0.775819	-0.0789547	-1.1588
467	0.25218	-0.775975	-0.0776516	-1.15711
468	0.25272	-0.776128	-0.0763595	-1.15541
469	0.25326	-0.776278	-0.0750784	-1.1537
470	0.2538	-0.776423	-0.0738085	-1.152
471	0.25434	-0.776566	-0.0725498	-1.15029
472	0.25488	-0.776704	-0.0713024	-1.14857
473	0.25542	-0.776839	-0.0700665	-1.14685
474	0.25596	-0.776971	-0.068842	-1.14513
475	0.2565	-0.777099	-0.0676293	-1.1434
476	0.25704	-0.777224	-0.0664282	-1.14167
477	0.25758	-0.777345	-0.065239	-1.13993
478	0.25812	-0.777463	-0.0640616	-1.13819
479	0.25866	-0.777578	-0.0628963	-1.13645
480	0.2592	-0.777689	-0.0617431	-1.13471
481	0.25974	-0.777798	-0.060602	-1.13296
482	0.26028	-0.777903	-0.0594732	-1.13121
483	0.26082	-0.778005	-0.0583567	-1.12945
484	0.26136	-0.778104	-0.0572526	-1.12769
485	0.2619	-0.778199	-0.056161	-1.12593
486	0.26244	-0.778292	-0.055082	-1.12416
487	0.26298	-0.778382	-0.0540156	-1.1224
488	0.26352	-0.778469	-0.0529619	-1.12062
489	0.26406	-0.778553	-0.0519211	-1.11885
490	0.2646	-0.778634	-0.0508931	-1.11707
491	0.26514	-0.778713	-0.049878	-1.11529
492	0.26568	-0.778789	-0.0488759	-1.11351
493	0.26622	-0.778862	-0.0478869	-1.11172
494	0.26676	-0.778932	-0.0469109	-1.10993
495	0.2673	-0.779	-0.0459482	-1.10814
496	0.26784	-0.779066	-0.0449987	-1.10634
497	0.26838	-0.779129	-0.0440624	-1.10454
498	0.26892	-0.77919	-0.0431395	-1.10274
499	0.26946	-0.779249	-0.04223	-1.10094
500	0.27	-0.779305	-0.0413339	-1.09913
501	0.27054	-0.779361	-0.0404514	-1.09732
502	0.27108	-0.779414	-0.0395823	-1.09551
