TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	2.02112	1.48509	2.79717	4.50136	4.33706	4.18116	6.80352	6.44688	6.17669	1.43217	1.97742	1.83856	2.15563	1.98207	2.87674	3.26093	2.1736	5.17064	4.91716	1.10491	1.58125	2.09029	5.14593	0.941925	5.14152	2.27785	1.78965	4.51153	3.49926	4.76019	4.00887	4.13612	2.66319	4.70203	4.75837	3.56948	4.11945	3.96329
1	0.00054	2.06404	1.48509	2.81139	4.51529	4.33706	4.18116	6.94	6.49699	6.17669	1.43138	1.97742	1.83856	2.1669	1.98207	2.87674	3.26067	2.1736	5.03928	4.91716	1.10491	1.57696	2.09029	5.29361	0.941925	5.00972	2.25783	1.78749	4.51153	3.53572	4.76019	4.00887	4.00438	2.66319	4.70203	4.77716	3.56948	4.11945	3.8725
2	0.00108	2.11476	1.50348	2.8369	4.53885	4.33009	4.20505	6.93994	6.49972	6.19528	1.43088	1.9524	1.81188	2.18111	1.98841	2.88726	3.2711	2.15637	5.01672	4.92717	1.10544	1.57191	2.11841	5.3411	0.954036	4.98445	2.2374	1.78508	4.50502	3.58289	4.75541	4.00847	4.00223	2.60446	4.68699	4.79431	3.58253	4.13157	3.87132
3	0.00162	2.16768	1.52656	2.86816	4.56549	4.33373	4.23259	6.92273	6.51301	6.21215	1.43073	1.92336	1.78091	2.19696	1.9968	2.90942	3.28588	2.13646	5.00985	4.93541	1.10637	1.56664	2.15178	5.3641	0.969432	4.97462	2.21713	1.78276	4.49598	3.63245	4.7595	4.01788	4.01515	2.53567	4.67272	4.81065	3.59591	4.14406	3.87975
4	0.00216	2.22134	1.55195	2.90318	4.59314	4.341	4.26045	6.90166	6.52939	6.22815	1.43093	1.89346	1.74894	2.21406	2.00661	2.93729	3.30274	2.11611	5.00593	4.9428	1.10773	1.56129	2.1868	5.38052	0.986682	4.96775	2.19693	1.78059	4.48627	3.68209	4.76568	4.02975	4.03098	2.46399	4.65864	4.82643	3.60908	4.15627	3.89009
5	0.0027	2.2752	1.57893	2.9411	4.62109	4.34943	4.28783	6.87935	6.54616	6.24352	1.43146	1.86346	1.71679	2.23221	2.01759	2.96876	3.32083	2.09587	5.00232	4.94951	1.10948	1.5559	2.22254	5.39462	1.00531	4.96123	2.17674	1.77859	4.47647	3.73104	4.77161	4.04165	4.04747	2.39114	4.64457	4.84169	3.62202	4.16815	3.90084
6	0.00324	2.32892	1.60715	2.98135	4.64897	4.35816	4.31448	6.8564	6.56266	6.25832	1.43232	1.83363	1.68473	2.25127	2.02964	3.00293	3.3397	2.07592	4.99845	4.95556	1.1116	1.55051	2.25864	5.40745	1.02508	4.95449	2.15656	1.77678	4.46679	3.7789	4.77654	4.05274	4.06416	2.31768	4.63048	4.85648	3.63472	4.17971	3.91165
7	0.00378	2.38228	1.63636	3.02348	4.67656	4.36679	4.34028	6.83296	6.57871	6.27261	1.43347	1.80413	1.65294	2.27112	2.04264	3.03923	3.35902	2.05638	4.99418	4.96099	1.11408	1.54513	2.29487	5.4194	1.04579	4.94741	2.13639	1.77514	4.45735	3.82546	4.78011	4.06263	4.08094	2.24393	4.61632	4.87085	3.64719	4.19093	3.92242
8	0.00432	2.43508	1.66636	3.06712	4.70369	4.37505	4.36517	6.80907	6.59423	6.28644	1.43492	1.77508	1.62153	2.29165	2.05651	3.07721	3.37853	2.03732	4.98951	4.96584	1.11689	1.53978	2.33105	5.43068	1.06727	4.93998	2.11623	1.77368	4.44823	3.87054	4.7821	4.07109	4.09779	2.1701	4.60208	4.88486	3.65941	4.20184	3.93309
9	0.00486	2.48649	1.69695	3.11896	4.73696	4.38278	4.3891	6.78278	6.58723	6.29988	1.43659	1.74658	1.59062	2.31248	2.07115	3.11651	3.41275	2.01882	4.99265	4.97017	1.11999	1.53453	2.36703	5.44025	1.08937	4.94122	2.10209	1.77241	4.4395	3.91967	4.78239	4.07797	4.12543	2.0964	4.58771	4.89875	3.67139	4.21242	3.94321
