TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	77.5574	98.9823	93.5143	98.5119	99.8905	96.4854	96.486	85.1398	92.4808	96.3464	99.2208	99.8209	93.1669	81.306	88.6643	99.5854	89.7265	97.4163	99.9587	79.0589	97.995	99.8096	92.3687	96.2202	99.9792	85.4287	96.8202	99.3834	97.5212	94.3286	85.3044	98.064	95.7386	96.3006	96.21	99.7011	99.3161	91.9697
1	0.00054	74.294	98.9823	93.1597	98.4186	99.8905	96.4854	95.4542	84.2384	92.4808	96.3735	99.2208	99.8209	92.7913	81.306	88.6643	99.5866	89.7265	98.3416	99.9587	79.0589	98.0886	99.8096	90.0378	96.2202	99.8222	86.4044	96.875	99.3834	97.0927	94.3286	85.3044	99.0037	95.7386	96.3006	96.0091	99.7011	99.3161	93.6626
2	0.00108	70.1525	98.661	92.4997	98.2544	99.9022	96.2053	95.4548	84.1886	92.2531	96.3908	99.4629	99.9332	92.3033	80.8825	88.3091	99.5375	90.4314	98.48	99.9671	78.9906	98.1962	99.6528	89.2224	95.5476	99.7745	87.365	96.9355	99.4097	96.4875	94.3921	85.3157	99.0164	96.8392	96.4574	95.8213	99.6533	99.2576	93.6833
3	0.00162	70	98.1957	91.6498	98.059	99.8962	95.869	95.5922	83.9445	92.0435	96.3959	99.6875	99.9955	91.7402	80.3135	87.5431	99.4632	91.2145	98.5209	99.9734	78.8695	98.3052	99.4063	88.8159	94.613	99.7544	88.2835	96.9934	99.4454	95.7901	94.3377	85.0486	98.9385	97.9198	96.6031	95.6382	99.6006	99.1948	93.5348
4	0.00216	70	97.6038	90.6435	97.8451	99.8836	95.5143	95.7575	83.6414	91.8421	96.3891	99.8556	99.9831	91.1107	79.6387	86.5449	99.3717	91.9803	98.544	99.9784	78.6939	98.4123	99.0767	88.521	93.4603	99.7399	89.1645	97.0469	99.4824	95.0283	94.2551	84.7078	98.8389	98.8061	96.7438	95.4578	99.5451	99.131	93.3503
5	0.0027	70	96.8829	89.4893	97.6177	99.8682	95.1515	95.9291	83.3281	91.6462	96.3708	99.9599	99.8921	90.417	78.8688	85.3717	99.2654	92.7075	98.5651	99.9825	78.4655	98.5165	98.6657	88.2649	92.0897	99.7257	90.0102	97.0956	99.5185	94.2152	94.1751	84.3625	98.7304	99.4564	96.8814	95.2799	99.4871	99.0666	93.1557
6	0.00324	70	96.0275	88.1907	97.3793	99.8511	94.7849	96.102	83.0168	91.4554	96.3414	99.9995	99.723	89.6603	78.0083	84.0426	99.1458	93.3903	98.5876	99.9858	78.1865	98.6174	98.174	88.0294	90.4934	99.7106	90.8213	97.1397	99.5528	93.3605	94.1082	84.0373	98.6156	99.8564	97.0163	95.1041	99.4267	99.0017	92.9571
7	0.00378	70	95.0328	86.7503	97.1324	99.8333	94.417	96.2747	82.7114	91.2692	96.3013	99.976	99.4778	88.8417	77.0601	82.5673	99.0141	94.0267	98.6122	99.9885	77.8592	98.7144	97.6031	87.8079	88.6637	99.6944	91.5979	97.1791	99.5851	92.4727	94.0597	83.7443	98.4952	99.9996	97.1488	94.9302	99.3642	98.9365	92.7566
8	0.00432	70	93.896	85.1713	96.8787	99.8153	94.0504	96.4466	82.4135	91.087	96.2511	99.8918	99.1601	87.9626	76.0268	80.9534	98.8713	94.6163	98.6388	99.9907	77.486	98.8075	96.9556	87.5968	86.5956	99.6769	92.3398	97.2139	99.6151	91.5601	94.0324	83.4915	98.3693	99.8837	97.279	94.7577	99.2997	98.8713	92.555
9	0.00486	70	92.6163	83.1796	96.5529	99.7976	93.687	96.6312	82.5482	90.9083	96.1925	99.7505	98.774	87.0364	74.9114	79.2085	98.5977	95.1595	98.621	99.9924	77.0692	98.8954	96.2348	87.4164	84.2869	99.6798	92.8397	97.2442	99.6428	90.5059	94.0285	83.2846	98.1518	99.5093	97.4074	94.584	99.2336	98.8061	92.3615
