TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0151523	0.312426	0.00309256	0.0511465	0.0173138	0.0378348	5.50435	8.47225	0.0533991	0.9382	0.275643	0.306783	0.871234	0.0637732	0.0673071	0.00103376	20.7541	0.116935	0	0.000942417	0.050798	0.127741	3.342	0.058822	0	0.411246	0.301425	1.79993	0.00811121	0.0124043	0.0123438	3.55733	0.00385336	145.01	5.00276	27.2374	3.63005	8.60332
1	0.00054	0.302058	0.619332	0.0882521	0.590985	0.0345698	0.0755098	50.4861	373.264	0.106219	1.2966	0.547378	0.609728	5.45965	0.127432	0.13386	0.0316046	39.4717	0	0.000204938	0.00188435	0	0.254383	210.442	0.117427	0	0	0	3.57028	0.246124	0.024781	0.0246352	0	0.00770046	267.386	37.5911	50.4643	7.18819	0
2	0.00108	0.597559	5.21095	0.186695	1.15063	0.384726	0.536402	50.7129	614.272	0.232473	1.89954	0	0	10.4466	0.781973	0.394064	0.0659746	42.7909	0	45.7439	0.00594038	0	9.29651	234.621	2.27272	0	0	0	0.615747	0.486199	0.0916597	0.077336	0	0	47.9722	69.9884	319.403	60.39	0
3	0.00162	0.897976	10.1843	0.296592	1.72051	0.760299	0.995932	50.2148	828.47	0.357827	2.74778	0	0	15.781	1.5411	0.685497	0.103162	44.8054	0	55.1964	0.0120977	0	18.6583	256.226	4.68052	0	0	0	0	0.724988	0.151327	0.127829	0	0	0	101.964	552.991	112.558	0
4	0.00216	1.20214	15.4685	0.417259	2.29886	1.14128	1.44892	49.3857	1013.43	0.481718	3.83957	0	0	21.4408	2.39691	1.00352	0.143018	45.7974	0	55.467	0.0203298	0	28.2216	277.114	7.30523	0	0	0	0	0.961864	0.201275	0.174819	0	0	0	133.47	753.943	163.219	0
5	0.0027	1.50895	21.0315	0.547979	2.88393	1.52635	1.89433	48.2357	1171.58	0.604057	5.17254	0	0	27.4037	3.34573	1.34662	0.185394	45.912	0	53.4335	0.0306011	0	37.9478	297.285	10.1281	0	0	0	0	1.19625	0.241417	0.21823	0	0	0	164.462	926.334	212.303	0
6	0.00324	1.81741	26.8414	0.688007	3.47405	1.91448	2.33117	46.7739	1305.23	0.72476	6.74319	0	0	33.6462	4.38346	1.71319	0.230132	45.2832	0	50.7574	0.0428703	0	47.8	316.732	13.1302	0	0	0	0	1.42759	0.271701	0.257993	0	0	0	194.903	1073.72	259.754	0
7	0.00378	2.12656	32.8668	0.836584	4.06752	2.30452	2.75847	45.0101	1416.56	0.843748	8.54706	0	0	40.1445	5.50572	2.10159	0.277072	44.0351	0	47.8581	0.057087	0	57.7424	335.447	16.2929	0	0	0	0	1.65535	0.292091	0.294058	0	0	0	224.757	1199.13	305.517	0
8	0.00432	2.4355	39.0772	1.00061	4.70503	2.6955	3.17536	42.9516	1417.25	0.960957	10.579	0	0	46.8737	6.70787	2.51009	0.336984	42.2841	0	44.8525	0.0731951	0	67.7411	353.051	19.5976	0	0	0	0	1.88767	0.302585	0.326376	228.155	0	0	254.078	1305.2	349.548	0
9	0.00486	2.74337	45.4426	1.20339	5.51279	3.34185	3.58093	40.8532	1263.1	1.07659	12.8326	0	0	53.8086	7.98491	2.96406	0.44562	40.1385	0	45.2852	0.0911303	0	77.7628	371.711	23.0261	20.9797	0	0	0	2.15123	0.338874	0.370541	573.446	0	0	283.866	1380.15	389.359	13.2026
10	0.0054	3.04947	51.9335	1.43888	6.45466	5.05945	3.97433	39.7842	1381.64	1.19358	15.3015	0	0	60.9255	9.33156	3.54868	0.597687	37.7008	0	62.6071	0.110818	0	87.775	395.256	26.5608	212.42	0	0	0	2.44005	0.520061	0.478492	899.604	0	0	315.176	1387.29	417.878	79.1666
11	0.00594	3.35307	58.5241	1.69485	7.46653	7.70113	4.35486	39.9403	1639.22	1.31474	17.9782	0	0	68.2	10.7428	4.2463	0.777167	35.0618	0	89.8583	0.132188	0	97.7506	418.975	30.1855	379.416	0	0	0	2.74128	0.832485	0.643942	1169.18	0	0	347.921	1349.56	437.549	129.927
12	0.00648	3.6428	65.1887	1.95096	8.45802	10.8982	4.72182	39.4744	1850.56	1.4397	20.7301	0	0	75.3717	12.2131	5.01535	0.962285	32.3091	0	120.593	0.155158	0	107.661	431.287	33.8845	559.552	0	0	0	3.03277	1.22549	0.844636	1438.21	0	0	380.862	1292.6	451.882	220.991
13	0.00702	3.8366	71.643	2.12285	9.11334	14.1948	5.0619	27.8191	1758.95	1.56496	22.6378	0	0	80.4946	13.6873	5.79117	1.08696	29.9648	0.494373	142.466	0.178599	0	117.107	377.742	37.5136	1157.35	0	0	0	3.2237	1.63627	1.05228	2089.46	0	0	407.368	1226.83	462.282	718.183
14	0.00756	3.94128	75.8591	2.21232	9.46208	16.3819	5.28488	16.2527	1663.02	1.67291	23.8409	0	0	83.4721	14.7427	6.32935	1.15158	31.2693	2.29171	130.307	0.194227	0	123.208	328.618	40.0155	1240.1	0	0	0	3.32284	1.91315	1.19404	2596.24	0	0	425.921	1126.37	463.622	1202.3
15	0.0081	3.98767	77.9422	2.24652	9.61345	17.4972	5.40966	9.07212	1586.51	1.76004	24.6663	0	0	84.933	15.3381	6.6327	1.17573	35.5296	3.52556	103.792	0.202323	0	126.186	300.588	41.3507	980.416	0	0	0	3.36265	2.06012	1.27184	2839.38	0	0	438.708	1014.47	460.039	1509.92
