TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	2.63076e-007	5.42531e-006	5.36804e-008	8.87689e-007	3.00361e-007	6.56878e-007	9.55637e-005	0.000147097	9.27183e-007	1.6292e-005	4.78502e-006	5.32655e-006	1.5125e-005	1.10711e-006	1.16842e-006	1.79382e-008	0.000360339	2.03051e-006	0	1.63636e-008	8.81911e-007	2.21988e-006	5.80283e-005	1.02121e-006	0	7.14036e-006	5.23157e-006	3.12463e-005	1.40786e-007	2.15324e-007	2.14287e-007	6.17762e-005	6.6896e-008	0.00251793	8.68663e-005	0.000472543	6.30063e-005	0.000149346
1	0.00054	5.25805e-006	1.07548e-005	4.378e-006	2.94828e-005	5.99706e-007	1.31098e-006	0.000878545	0.005626	1.8443e-006	2.25226e-005	9.50217e-006	1.05864e-005	9.49745e-005	2.21224e-006	2.32373e-006	4.12299e-006	0.000685318	0	2.95099e-010	3.27175e-008	0	4.42067e-006	0.00631909	2.03864e-006	0	2.71848e-005	0	6.19792e-005	7.55884e-006	4.30168e-007	4.27658e-007	0	1.33681e-007	0.00464285	0.000350367	0.000875507	0.000124764	0
2	0.00108	1.03885e-005	9.07088e-005	8.99527e-006	5.84905e-005	0.000104172	9.33518e-006	0.00103379	0.00807431	3.27583e-006	3.30072e-005	0	0	0.000181569	1.36061e-005	1.62732e-005	8.39773e-006	0.000742288	0	0.00114602	1.03269e-007	0	0.000161854	0.00654222	3.95655e-005	0	4.80293e-005	0	0	1.50383e-005	1.29417e-005	6.36561e-006	0	0	0.00909751	0.000625427	0.00186872	0.000353534	0
3	0.00162	1.56041e-005	0.000177068	1.36096e-005	8.59759e-005	0.000209704	1.73125e-005	0.0011841	0.00606506	4.72781e-006	4.77464e-005	0	0	0.000274189	2.67894e-005	3.10524e-005	1.24984e-005	0.000777318	0	0.00149914	2.10287e-007	0	0.000324393	0.00641618	8.13772e-005	0.00289646	6.62016e-005	0	0	2.2236e-005	2.55796e-005	1.23757e-005	0	0	0.0128975	0.000873387	0.00272034	0.000570383	0
4	0.00216	1.96124e-005	0.000268821	1.70796e-005	0.000105837	0.000307885	2.51762e-005	0.00114705	0	6.09029e-006	6.30211e-005	0	0	0.000351468	4.16506e-005	4.56995e-005	1.54873e-005	0.000794599	0	0.00141538	3.53309e-007	0	0.000490423	0.00479618	0.000126952	0.0134686	7.96392e-005	0	0	2.7476e-005	3.72923e-005	1.79885e-005	0	0	0.0157132	0.00103837	0.00361914	0.000808587	0
5	0.0027	2.21734e-005	0.000341042	1.92217e-005	0.000117911	0.000377559	3.10512e-005	0.00105455	0	7.2067e-006	7.74767e-005	0	0	0.000406097	5.43267e-005	5.68931e-005	1.72907e-005	0.000855814	1.16543e-005	0.000908162	4.8856e-007	0	0.000617006	0.00306388	0.000164005	0.0170822	8.95528e-005	0	0	3.06517e-005	4.56156e-005	2.20303e-005	0	0	0.0169632	0.00114086	0.00392003	0.000931642	0
6	0.00324	2.36385e-005	0.00038724	2.03797e-005	0.00012458	0.000418702	3.4786e-005	0.000993474	0	8.14055e-006	9.16717e-005	0	0	0.000441746	6.31285e-005	6.41388e-005	1.82489e-005	0.000969308	3.18616e-005	0.000424224	5.86434e-007	0	0.000695309	0.00186975	0.00018829	0.0147162	9.76495e-005	0	0	3.23661e-005	5.05936e-005	2.44983e-005	0.00493553	0	0.0173042	0.00121335	0.00381908	0.000971796	0
7	0.00378	2.4424e-005	0.000413014	2.09427e-005	0.000128108	0.000440177	3.70028e-005	0.000981555	0.00224361	8.98573e-006	0.000106003	0	0	0.000464913	6.84769e-005	6.84713e-005	1.87087e-005	0.00111625	4.4813e-005	0.000138946	6.47788e-007	0	0.000736648	0.00119975	0.000201867	0.0103348	0.000104973	0	0	3.32162e-005	5.3285e-005	2.58801e-005	0.005325	0	0.0173571	0.00127358	0.00361243	0.000986184	0.00279237
8	0.00432	2.48434e-005	0.000425934	2.1195e-005	0.000130037	0.000450316	3.83151e-005	0.00100909	0.00383932	9.79189e-006	0.000120478	0	0	0.000481117	7.14926e-005	7.10446e-005	1.89135e-005	0.00127662	5.25101e-005	7.19527e-006	6.84448e-007	0	0.000754947	0.000877097	0.000208427	0.00633306	0.000112004	0	0	3.36184e-005	5.46641e-005	2.66338e-005	0.005325	0	0.0173717	0.00132873	0.00341509	0.000997983	0.00465718
9	0.00486	2.50904e-005	0.000431888	2.13071e-005	0.000131257	0.00045476	3.91503e-005	0.00106109	0.00426844	1.05782e-005	0.000134968	0	0	0.000493946	7.31975e-005	7.26975e-005	1.90055e-005	0.00143646	5.70078e-005	0	7.07397e-007	0	0.000760819	0.00074975	0.000211102	0.00350551	0.000118926	0	0	3.38175e-005	5.53841e-005	2.70697e-005	0.005325	0	0.0176604	0.00138147	0.00324311	0.00101072	0.00541733
10	0.0054	2.5269e-005	0.000434551	2.13668e-005	0.000132215	0.00045673	3.97623e-005	0.00112552	0.00410091	1.13514e-005	0.000149378	0	0	0.000505369	7.42754e-005	7.39302e-005	1.90566e-005	0.00158796	5.98006e-005	0	7.23867e-007	0	0.000760861	0.000720927	0.00021193	0.00175987	0.000125792	0	0	3.394e-005	5.58168e-005	2.7366e-005	0.005325	0	0.0174087	0.0014329	0.00308993	0.00102317	0.00557899
11	0.00594	2.54279e-005	0.000435901	2.14131e-005	0.000133106	0.000457825	4.02858e-005	0.00119479	0.0037087	1.21142e-005	0.000163641	0	0	0.000516313	7.51042e-005	7.50005e-005	1.90977e-005	0.00172768	6.1797e-005	0	7.37783e-007	0	0.000758618	0.000736038	0.000212029	0.000799217	0.000132601	0	0	3.40423e-005	5.61473e-005	2.76117e-005	0.005325	0	0.0174609	0.00148354	0.00295228	0.0010346	0.00546674
12	0.00648	2.55858e-005	0.000436861	2.14599e-005	0.000133995	0.000458719	4.0783e-005	0.00126476	0.00327894	1.28678e-005	0.00017774	0	0	0.000527136	7.58637e-005	7.60214e-005	1.91393e-005	0.00185473	6.34801e-005	0	7.50998e-007	0	0.000755748	0.000767231	0.000211925	0.000328323	0.000139339	0	0	3.41446e-005	5.64533e-005	2.78448e-005	0.005325	0	0.0175078	0.00153365	0.00283025	0.00104518	0.00525666
13	0.00702	2.57478e-005	0.000437788	2.15097e-005	0.000134892	0.000459623	4.12777e-005	0.00133031	0.00288601	1.36132e-005	0.00019167	0	0	0.000537937	7.66224e-005	7.70325e-005	1.91827e-005	0.00196956	6.50722e-005	0	7.64205e-007	0	0.000752895	0.00080189	0.000211822	0.000126416	0.000145993	0	0	3.42511e-005	5.67601e-005	2.80775e-005	0.005325	0	0.0175473	0.00158339	0.00272455	0.00105542	0.0050306
