TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0151523	0.312426	0.00309256	0.0511465	0.0173138	0.0378348	5.50435	8.47225	0.0533991	0.9382	0.275643	0.306783	0.871234	0.0637732	0.0673071	0.00103376	20.7541	0.116935	0	0.000942417	0.050798	0.127741	3.342	0.058822	0	0.411246	0.301425	1.79993	0.00811121	0.0124043	0.0123438	3.55733	0.00385336	145.01	5.00276	27.2374	3.63005	8.60332
1	0.00054	0.116318	0.619332	0.189919	1.35069	0.0345698	0.0755098	23.522	0	0.106219	1.54277	0.547378	0.609728	2.9011	0.127432	0.13386	0.210216	39.4717	0	0.000204938	0.00188435	0	0.254383	243.453	0.117427	0	2.38192	0.0271961	3.57028	0.273847	0.024781	0.0246352	0	0.00770046	267.386	0	50.4643	7.18819	0
2	0.00108	0.220515	2.21507	0.382351	2.69596	5.6721	0.243413	36.8396	0	0.109813	2.15235	0	0	4.99655	0.374626	0.783821	0.422239	51.9673	0	3.29221	0.0040112	0	3.23152	241.824	0.830576	9.35406	4.34479	0	0	0.546358	0.688741	0.330569	0	0	827.648	0	0	0	0
3	0.00162	0.310347	3.87644	0.565864	3.99384	11.4378	0.414335	47.3088	0	0.112134	2.81215	0	0	6.90983	0.638503	1.44837	0.623732	62.8437	0.0991197	3.37505	0.00634507	0	6.30714	215.312	1.58973	305.78	6.25564	0	0	0.800777	1.35534	0.638256	0	0	1295.71	0	0	0	0
4	0.00216	0.38504	5.3268	0.73899	5.23795	16.9942	0.562103	57.0779	0	0.110957	3.51682	0	0	8.6148	0.878557	2.08417	0.813609	73.1183	0.687812	0	0.00860935	0	8.90577	186.798	2.25451	379.934	8.11067	0	0	1.03594	1.98536	0.929268	0	0	1669.44	0	0	0	0
5	0.0027	0.446954	6.54335	0.902793	6.43674	22.3148	0.686372	66.5951	0	0.106354	4.2555	0	0	10.1346	1.08849	2.68674	0.993004	82.9211	1.1843	0	0.0107091	0	11.0001	160.561	2.80872	357.347	9.91187	0	0	1.25481	2.5769	1.20265	0	0	1963.55	0	0	0	0
6	0.00324	0.498634	7.55666	1.05861	7.59915	27.4265	0.79128	75.9211	0	0.09885	5.01816	0	0	11.4997	1.27066	3.25909	1.16321	92.2181	1.59096	0	0.0126235	0	12.6676	137.001	3.26428	304.278	11.6615	0	0	1.46043	3.13419	1.46036	0	0	2192.5	0	0	0	0
7	0.00378	0.542237	8.40345	1.20758	8.7322	32.3586	0.880935	85.0337	0	0.0889585	5.79728	0	0	12.7382	1.42914	3.80511	1.32531	100.966	1.91857	0	0.0143632	0	13.9924	115.75	3.63784	246.627	13.3609	0	0	1.65527	3.66157	1.70446	0	0	2368.22	0	0	0	0
8	0.00432	0.579494	9.11643	1.35059	9.84089	37.1347	0.958712	93.8991	0	0.0771081	6.58679	0	0	13.8742	1.56813	4.32813	1.48014	109.141	2.17752	0	0.0159517	0	15.0467	96.3591	3.94485	192.686	15.0112	0	0	1.84121	4.16253	1.93657	0	0	2500.29	0	0	0	0
9	0.00486	0.61177	9.72252	1.4883	10.9285	41.7712	1.02722	102.487	0	0.0636934	7.38222	0	0	14.9268	1.69125	4.83074	1.62832	116.735	2.37635	0	0.0174124	0	15.8883	78.4345	4.19856	144.309	16.6127	0.0621895	0	2.01962	4.63967	2.15796	0	0	2596.46	0	0	0	0
