Time	Current
 0.00000	1.1758e-14
 0.00054	1.1758e-14
 0.00108	1.1758e-14
 0.00162	1.1758e-14
 0.00216	1.1758e-14
 0.00270	1.1758e-14
 0.00324	1.1758e-14
 0.00378	1.1758e-14
 0.00432	1.1758e-14
 0.00486	1.1758e-14
 0.00540	1.1758e-14
 0.00594	1.1758e-14
 0.00648	1.1758e-14
 0.00702	1.1758e-14
 0.00756	1.7483e-12
 0.00810	1.1600e-11
 0.00864	3.7682e-11
 0.00918	8.9488e-11
 0.00972	1.7262e-10
 0.01026	2.8376e-10
 0.01080	4.1082e-10
 0.01134	5.3889e-10
 0.01188	6.5677e-10
 0.01242	7.5932e-10
 0.01296	8.4595e-10
 0.01350	9.1808e-10
 0.01404	9.7815e-10
 0.01458	1.0281e-09
 0.01512	1.0695e-09
 0.01566	1.1034e-09
 0.01620	1.1310e-09
 0.01674	1.1531e-09
 0.01728	1.1704e-09
 0.01782	1.1835e-09
 0.01836	1.1928e-09
 0.01890	1.1988e-09
 0.01944	1.2020e-09
 0.01998	1.2026e-09
 0.02052	1.2008e-09
 0.02106	1.1971e-09
 0.02160	1.1915e-09
 0.02214	1.1843e-09
 0.02268	1.1757e-09
 0.02322	1.1658e-09
 0.02376	1.1547e-09
 0.02430	1.1427e-09
 0.02484	1.1297e-09
 0.02538	1.1160e-09
 0.02592	1.1015e-09
 0.02646	1.0865e-09
 0.02700	1.0710e-09
 0.02754	1.0550e-09
 0.02808	1.0386e-09
 0.02862	1.0220e-09
 0.02916	1.0051e-09
 0.02970	9.8794e-10
 0.03024	9.7068e-10
 0.03078	9.5333e-10
 0.03132	9.3594e-10
 0.03186	9.1854e-10
 0.03240	9.0118e-10
 0.03294	8.8388e-10
 0.03348	8.6667e-10
 0.03402	8.4958e-10
 0.03456	8.3265e-10
 0.03510	8.1591e-10
 0.03564	7.9938e-10
 0.03618	7.8308e-10
 0.03672	7.6703e-10
 0.03726	7.5125e-10
 0.03780	7.3575e-10
 0.03834	7.2056e-10
 0.03888	7.0606e-10
 0.03942	6.9251e-10
 0.03996	6.8009e-10
 0.04050	6.6831e-10
 0.04104	6.5626e-10
 0.04158	6.4293e-10
 0.04212	6.2773e-10
 0.04266	6.1132e-10
 0.04320	5.9497e-10
 0.04374	5.7957e-10
 0.04428	5.6514e-10
 0.04482	5.5138e-10
 0.04536	5.3813e-10
 0.04590	5.2544e-10
 0.04644	5.1341e-10
 0.04698	5.0207e-10
 0.04752	4.9146e-10
 0.04806	4.8155e-10
 0.04860	4.7226e-10
 0.04914	4.6355e-10
 0.04968	4.5537e-10
 0.05022	4.4767e-10
 0.05076	4.4042e-10
 0.05130	4.3357e-10
 0.05184	4.2709e-10
 0.05238	4.2096e-10
 0.05292	4.1516e-10
 0.05346	4.0964e-10
 0.05400	4.0438e-10
 0.05454	3.9936e-10
 0.05508	3.9456e-10
 0.05562	3.8997e-10
 0.05616	3.8557e-10
 0.05670	3.8135e-10
 0.05724	3.7729e-10
 0.05778	3.7337e-10
 0.05832	3.6958e-10
 0.05886	3.6591e-10
 0.05940	3.6236e-10
 0.05994	3.5893e-10
 0.06048	3.5560e-10
 0.06102	3.5237e-10
 0.06156	3.4924e-10
 0.06210	3.4619e-10
 0.06264	3.4321e-10
 0.06318	3.4032e-10
 0.06372	3.3749e-10
 0.06426	3.3472e-10
 0.06480	3.3200e-10
 0.06534	3.2934e-10
 0.06588	3.2673e-10
 0.06642	3.2419e-10
 0.06696	3.2170e-10
 0.06750	3.1926e-10
 0.06804	3.1687e-10
 0.06858	3.1452e-10
 0.06912	3.1221e-10
 0.06966	3.0993e-10
 0.07020	3.0768e-10
 0.07074	3.0547e-10
 0.07128	3.0329e-10
 0.07182	3.0114e-10
 0.07236	2.9902e-10
 0.07290	2.9693e-10
 0.07344	2.9486e-10
 0.07398	2.9283e-10
 0.07452	2.9081e-10
 0.07506	2.8882e-10
 0.07560	2.8686e-10
 0.07614	2.8494e-10
 0.07668	2.8303e-10
 0.07722	2.8114e-10
 0.07776	2.7927e-10
 0.07830	2.7743e-10
 0.07884	2.7561e-10
 0.07938	2.7381e-10
 0.07992	2.7202e-10
 0.08046	2.7025e-10
 0.08100	2.6849e-10
 0.08154	2.6675e-10
 0.08208	2.6504e-10
 0.08262	2.6334e-10
 0.08316	2.6166e-10
 0.08370	2.5998e-10
 0.08424	2.5832e-10
 0.08478	2.5668e-10
 0.08532	2.5505e-10
 0.08586	2.5344e-10
 0.08640	2.5185e-10
 0.08694	2.5025e-10
 0.08748	2.4867e-10
 0.08802	2.4709e-10
 0.08856	2.4553e-10
 0.08910	2.4398e-10
 0.08964	2.4246e-10
 0.09018	2.4094e-10
 0.09072	2.3944e-10
 0.09126	2.3796e-10
 0.09180	2.3649e-10
 0.09234	2.3504e-10
 0.09288	2.3359e-10
 0.09342	2.3214e-10
 0.09396	2.3069e-10
 0.09450	2.2924e-10
 0.09504	2.2781e-10
 0.09558	2.2641e-10
 0.09612	2.2502e-10
 0.09666	2.2364e-10
 0.09720	2.2227e-10
 0.09774	2.2089e-10
 0.09828	2.1952e-10
 0.09882	2.1816e-10
 0.09936	2.1681e-10
 0.09990	2.1546e-10
 0.10044	2.1413e-10
 0.10098	2.1282e-10
 0.10152	2.1151e-10
 0.10206	2.1022e-10
 0.10260	2.0894e-10
 0.10314	2.0767e-10
 0.10368	2.0640e-10
 0.10422	2.0513e-10
 0.10476	2.0387e-10
 0.10530	2.0263e-10
 0.10584	2.0139e-10
 0.10638	2.0017e-10
 0.10692	1.9895e-10
 0.10746	1.9773e-10
 0.10800	1.9651e-10
 0.10854	1.9530e-10
 0.10908	1.9409e-10
 0.10962	1.9290e-10
 0.11016	1.9170e-10
 0.11070	1.9052e-10
 0.11124	1.8935e-10
 0.11178	1.8819e-10
 0.11232	1.8705e-10
 0.11286	1.8591e-10
 0.11340	1.8479e-10
 0.11394	1.8367e-10
 0.11448	1.8256e-10
 0.11502	1.8145e-10
 0.11556	1.8034e-10
 0.11610	1.7923e-10
 0.11664	1.7812e-10
 0.11718	1.7702e-10
 0.11772	1.7592e-10
 0.11826	1.7484e-10
 0.11880	1.7376e-10
 0.11934	1.7271e-10
 0.11988	1.7166e-10
 0.12042	1.7063e-10
 0.12096	1.6959e-10
 0.12150	1.6854e-10
 0.12204	1.6750e-10
 0.12258	1.6647e-10
 0.12312	1.6545e-10
 0.12366	1.6444e-10
 0.12420	1.6343e-10
 0.12474	1.6243e-10
 0.12528	1.6143e-10
 0.12582	1.6045e-10
 0.12636	1.5947e-10
 0.12690	1.5850e-10
 0.12744	1.5753e-10
 0.12798	1.5656e-10
 0.12852	1.5559e-10
 0.12906	1.5464e-10
 0.12960	1.5369e-10
 0.13014	1.5274e-10
 0.13068	1.5181e-10
 0.13122	1.5087e-10
 0.13176	1.4995e-10
 0.13230	1.4904e-10
 0.13284	1.4813e-10
 0.13338	1.4723e-10
 0.13392	1.4633e-10
 0.13446	1.4542e-10
 0.13500	1.4452e-10
 0.13554	1.4362e-10
 0.13608	1.4275e-10
 0.13662	1.4188e-10
 0.13716	1.4102e-10
 0.13770	1.4016e-10
 0.13824	1.3931e-10
 0.13878	1.3845e-10
 0.13932	1.3760e-10
 0.13986	1.3675e-10
 0.14040	1.3590e-10
 0.14094	1.3507e-10
 0.14148	1.3424e-10
 0.14202	1.3341e-10
 0.14256	1.3259e-10
 0.14310	1.3177e-10
 0.14364	1.3096e-10
 0.14418	1.3016e-10
 0.14472	1.2937e-10
 0.14526	1.2859e-10
 0.14580	1.2781e-10
 0.14634	1.2703e-10
 0.14688	1.2624e-10
 0.14742	1.2544e-10
 0.14796	1.2466e-10
 0.14850	1.2388e-10
 0.14904	1.2312e-10
 0.14958	1.2236e-10
 0.15012	1.2161e-10
 0.15066	1.2087e-10
 0.15120	1.2013e-10
 0.15174	1.1940e-10
 0.15228	1.1867e-10
 0.15282	1.1793e-10
 0.15336	1.1720e-10
 0.15390	1.1648e-10
 0.15444	1.1577e-10
 0.15498	1.1507e-10
 0.15552	1.1437e-10
 0.15606	1.1367e-10
 0.15660	1.1297e-10
 0.15714	1.1228e-10
 0.15768	1.1159e-10
 0.15822	1.1090e-10
 0.15876	1.1021e-10
 0.15930	1.0953e-10
 0.15984	1.0886e-10
 0.16038	1.0818e-10
 0.16092	1.0752e-10
 0.16146	1.0685e-10
 0.16200	1.0618e-10
 0.16254	1.0552e-10
 0.16308	1.0487e-10
 0.16362	1.0423e-10
 0.16416	1.0360e-10
 0.16470	1.0297e-10
 0.16524	1.0234e-10
 0.16578	1.0170e-10
 0.16632	1.0107e-10
 0.16686	1.0045e-10
 0.16740	9.9839e-11
 0.16794	9.9227e-11
 0.16848	9.8611e-11
 0.16902	9.7988e-11
 0.16956	9.7375e-11
 0.17010	9.6773e-11
 0.17064	9.6183e-11
 0.17118	9.5593e-11
 0.17172	9.5002e-11
 0.17226	9.4419e-11
 0.17280	9.3838e-11
 0.17334	9.3265e-11
 0.17388	9.2689e-11
 0.17442	9.2116e-11
 0.17496	9.1546e-11
 0.17550	9.0980e-11
 0.17604	9.0417e-11
 0.17658	8.9855e-11
 0.17712	8.9302e-11
 0.17766	8.8755e-11
 0.17820	8.8215e-11
 0.17874	8.7674e-11
 0.17928	8.7136e-11
 0.17982	8.6599e-11
 0.18036	8.6070e-11
 0.18090	8.5551e-11
 0.18144	8.5036e-11
 0.18198	8.4515e-11
 0.18252	8.3987e-11
 0.18306	8.3461e-11
 0.18360	8.2942e-11
 0.18414	8.2430e-11
 0.18468	8.1911e-11
 0.18522	8.1395e-11
 0.18576	8.0886e-11
 0.18630	8.0388e-11
 0.18684	7.9899e-11
 0.18738	7.9420e-11
 0.18792	7.8940e-11
 0.18846	7.8454e-11
 0.18900	7.7966e-11
 0.18954	7.7486e-11
 0.19008	7.7013e-11
 0.19062	7.6541e-11
 0.19116	7.6067e-11
 0.19170	7.5594e-11
 0.19224	7.5123e-11
 0.19278	7.4657e-11
 0.19332	7.4201e-11
 0.19386	7.3745e-11
 0.19440	7.3286e-11
 0.19494	7.2820e-11
 0.19548	7.2351e-11
 0.19602	7.1897e-11
 0.19656	7.1465e-11
 0.19710	7.1041e-11
 0.19764	7.0622e-11
 0.19818	7.0197e-11
 0.19872	6.9761e-11
 0.19926	6.9321e-11
 0.19980	6.8882e-11
 0.20034	6.8450e-11
 0.20088	6.8028e-11
 0.20142	6.7612e-11
 0.20196	6.7201e-11
 0.20250	6.6795e-11
 0.20304	6.6385e-11
 0.20358	6.5973e-11
 0.20412	6.5564e-11
 0.20466	6.5159e-11
 0.20520	6.4761e-11
 0.20574	6.4372e-11
 0.20628	6.3990e-11
 0.20682	6.3608e-11
 0.20736	6.3216e-11
 0.20790	6.2813e-11
 0.20844	6.2409e-11
 0.20898	6.2017e-11
 0.20952	6.1637e-11
 0.21006	6.1265e-11
 0.21060	6.0893e-11
 0.21114	6.0515e-11
 0.21168	6.0137e-11
 0.21222	5.9760e-11
 0.21276	5.9389e-11
 0.21330	5.9025e-11
 0.21384	5.8671e-11
 0.21438	5.8322e-11
 0.21492	5.7999e-11
 0.21546	5.7786e-11
 0.21600	5.7849e-11
 0.21654	5.8421e-11
 0.21708	5.9757e-11
 0.21762	6.2025e-11
 0.21816	6.5232e-11
 0.21870	6.9265e-11
 0.21924	7.3975e-11
 0.21978	7.9249e-11
 0.22032	8.5023e-11
 0.22086	9.1278e-11
 0.22140	9.8027e-11
 0.22194	1.0530e-10
 0.22248	1.1312e-10
 0.22302	1.2152e-10
 0.22356	1.3054e-10
 0.22410	1.4020e-10
 0.22464	1.5049e-10
 0.22518	1.6133e-10
 0.22572	1.7256e-10
 0.22626	1.8397e-10
 0.22680	1.9534e-10
