TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
1	0.00054	-2.6563e-018	8.29415e-017	8.14778e-017
2	0.00108	-2.36397e-008	0.00188965	-1.5288e-009
3	0.00162	0.0166524	0.00639539	0.0902806
4	0.00216	0.0286509	0.00595653	0.192964
5	0.0027	0.0554149	0.00995721	0.323755
6	0.00324	0.0936894	0.00483546	0.555733
7	0.00378	0.144541	0.00416127	0.816462
8	0.00432	0.166644	-0.00678659	0.849841
9	0.00486	0.187451	-0.0162522	0.854511
10	0.0054	0.19705	-0.0378799	0.860364
11	0.00594	0.208515	-0.0570441	0.862515
12	0.00648	0.20665	-0.0882503	0.866372
13	0.00702	0.208415	-0.115462	0.86759
14	0.00756	0.195157	-0.154696	0.869289
15	0.0081	0.18433	-0.190301	0.8678
16	0.00864	0.170376	-0.236112	0.876873
17	0.00918	0.140285	-0.283034	0.825022
18	0.00972	0.108969	-0.340877	0.826249
19	0.01026	0.0618474	-0.399486	0.761084
20	0.0108	0.00992847	-0.469851	0.736148
21	0.01134	-0.0573366	-0.540448	0.635036
22	0.01188	-0.123584	-0.62084	0.578266
23	0.01242	-0.190884	-0.697834	0.483181
24	0.01296	-0.241414	-0.784427	0.571762
25	0.0135	-0.267637	-0.869763	0.900284
26	0.01404	-0.32184	-0.959802	0.937928
27	0.01458	-0.379025	-1.04739	0.938251
28	0.01512	-0.436876	-1.14079	0.939014
29	0.01566	-0.4274	-1.14545	0.884796
30	0.0162	-0.419312	-1.14543	0.80409
31	0.01674	-0.404069	-1.14243	0.817738
32	0.01728	-0.389287	-1.13602	0.841667
33	0.01782	-0.37922	-1.12718	0.864031
34	0.01836	-0.373861	-1.11593	0.885281
35	0.0189	-0.373208	-1.10239	0.905406
36	0.01944	-0.377133	-1.08658	0.924209
37	0.01998	-0.385279	-1.06837	0.941494
38	0.02052	-0.396587	-1.04741	0.9573
39	0.02106	-0.411103	-1.02365	0.970495
40	0.0216	-0.426627	-0.996378	0.981845
41	0.02214	-0.443516	-0.965705	0.989601
42	0.02268	-0.459182	-0.930899	0.995395
43	0.02322	-0.474202	-0.892288	0.997805
44	0.02376	-0.485892	-0.849155	0.999135
45	0.0243	-0.495543	-0.801936	0.993657
46	0.02484	-0.500035	-0.750026	0.988677
47	0.02538	-0.501879	-0.694142	0.971056
48	0.02592	-0.496327	-0.633797	0.964967
49	0.02646	-0.486277	-0.570019	0.958288
50	0.027	-0.468868	-0.502488	0.958288
51	0.02754	-0.448172	-0.43254	0.947722
52	0.02808	-0.42058	-0.35987	0.942148
53	0.02862	-0.388596	-0.285537	0.93203
54	0.02916	-0.350998	-0.20977	0.924374
55	0.0297	-0.307878	-0.133065	0.920587
56	0.03024	-0.259231	-0.0557429	0.920321
57	0.03078	-0.205667	0.0219794	0.91854
58	0.03132	-0.147586	0.0999529	0.912209
59	0.03186	-0.0899642	0.177122	0.884111
60	0.0324	-0.0427628	0.251193	0.810802
61	0.03294	-0.00276691	0.322156	0.735484
62	0.03348	0.0323192	0.389979	0.687324
63	0.03402	0.0622998	0.4545	0.671949
64	0.03456	0.0853678	0.515674	0.67669
65	0.0351	0.0802831	0.573778	0.486376
66	0.03564	0.0700837	0.629804	0.324749
67	0.03618	0.0508331	0.680571	0.201198
68	0.03672	0.021932	0.72604	0.122331
69	0.03726	-0.0161931	0.766244	0.103913
70	0.0378	-0.056738	0.803512	0.165328
71	0.03834	-0.102186	0.836793	0.304669
72	0.03888	-0.137059	0.871305	0.535628
73	0.03942	-0.176412	0.910334	0.615821
74	0.03996	-0.223884	0.954126	0.513264
75	0.0405	-0.288938	1.00156	0.173485
76	0.04104	-0.353016	1.05926	-0.364578
77	0.04158	-0.393263	1.12226	-0.839976
78	0.04212	-0.409615	1.18766	-1.22941
79	0.04266	-0.423063	1.24862	-1.50476
80	0.0432	-0.440336	1.30652	-1.64442
81	0.04374	-0.479565	1.35846	-1.59908
82	0.04428	-0.537658	1.40602	-1.34408
83	0.04482	-0.609871	1.445	-0.849669
84	0.04536	-0.657743	1.47558	-0.118258
85	0.0459	-0.646395	1.50848	0.653288
86	0.04644	-0.618466	1.55808	1.1621
87	0.04698	-0.64282	1.61088	1.17576
88	0.04752	-0.703641	1.66266	0.887781
89	0.04806	-0.835024	1.71986	-0.0527745
90	0.0486	-0.930132	1.79976	-0.915611
91	0.04914	-0.985689	1.88144	-1.57176
92	0.04968	-1.02937	1.95948	-2.07824
93	0.05022	-1.12486	2.03255	-2.03314
94	0.05076	-1.25382	2.11013	-1.65585
95	0.0513	-1.39482	2.18485	-0.85155
96	0.05184	-1.44964	2.24409	0.103545
97	0.05238	-1.41268	2.29396	1.03254
98	0.05292	-1.43723	2.35923	1.0564
99	0.05346	-1.50596	2.42616	0.652343
100	0.054	-1.60629	2.49758	-0.153846
101	0.05454	-1.67027	2.56048	-0.772132
102	0.05508	-1.70933	2.6112	-1.20608
103	0.05562	-1.74572	2.65273	-1.46095
104	0.05616	-1.79082	2.68693	-1.51861
105	0.0567	-1.84901	2.7153	-1.35682
106	0.05724	-1.90953	2.7363	-0.990678
107	0.05778	-1.95273	2.74837	-0.492953
108	0.05832	-1.96652	2.74943	0.0696824
109	0.05886	-1.95836	2.73963	0.616667
110	0.0594	-1.98148	2.72735	0.719722
111	0.05994	-2.04615	2.71829	0.340666
112	0.06048	-2.13334	2.70798	-0.420151
113	0.06102	-2.18367	2.68724	-1.15486
114	0.06156	-2.19378	2.6621	-1.74039
115	0.0621	-2.20098	2.64831	-1.69311
116	0.06264	-2.22824	2.64369	-1.39451
117	0.06318	-2.26614	2.64891	-0.828434
118	0.06372	-2.27389	2.65613	-0.159892
119	0.06426	-2.2483	2.65752	0.40463
120	0.0648	-2.24068	2.65607	0.611421
121	0.06534	-2.26693	2.65984	0.418603
122	0.06588	-2.32011	2.66492	-0.144463
123	0.06642	-2.35678	2.66379	-0.754567
124	0.06696	-2.36453	2.66287	-1.14303
125	0.0675	-2.36387	2.66652	-1.34941
126	0.06804	-2.37122	2.67528	-1.36854
127	0.06858	-2.39933	2.69576	-1.03989
128	0.06912	-2.42326	2.72303	-0.448221
129	0.06966	-2.40913	2.74558	0.176151
130	0.0702	-2.39005	2.7557	0.545563
131	0.07074	-2.40486	2.76295	0.47739
132	0.07128	-2.45576	2.76886	-0.0329713
133	0.07182	-2.49935	2.76592	-0.664075
134	0.07236	-2.51244	2.75963	-1.08072
135	0.0729	-2.51954	2.76342	-1.16835
136	0.07344	-2.53445	2.7731	-1.0481
137	0.07398	-2.55479	2.79424	-0.621407
138	0.07452	-2.55702	2.81717	-0.0612826
139	0.07506	-2.53083	2.83266	0.486113
140	0.0756	-2.53827	2.83841	0.553251
141	0.07614	-2.5842	2.84432	0.133043
142	0.07668	-2.64282	2.84081	-0.55185
143	0.07722	-2.64058	2.83606	-0.559155
144	0.07776	-2.64005	2.83169	-0.494506
145	0.0783	-2.63545	2.83065	-0.352694
146	0.07884	-2.63195	2.83096	-0.171235
147	0.07938	-2.62424	2.83342	0.0221206
148	0.07992	-2.625	2.834	0.12909
149	0.08046	-2.63027	2.83513	0.12909
150	0.081	-2.65142	2.83419	-0.0501039
151	0.08154	-2.66969	2.83316	-0.285202
152	0.08208	-2.6868	2.83042	-0.514886
153	0.08262	-2.69353	2.83103	-0.649455
154	0.08316	-2.70149	2.83421	-0.669332
155	0.0837	-2.70471	2.84273	-0.56078
156	0.08424	-2.71045	2.85227	-0.365254
157	0.08478	-2.70769	2.86307	-0.114723
158	0.08532	-2.71044	2.86879	0.0823355
159	0.08586	-2.71478	2.87183	0.185442
160	0.0864	-2.73834	2.86912	0.100609
161	0.08694	-2.77636	2.86378	-0.240672
162	0.08748	-2.81761	2.8526	-0.648787
163	0.08802	-2.83801	2.84401	-0.930843
164	0.08856	-2.85931	2.83894	-1.04911
165	0.0891	-2.8777	2.84216	-0.974872
166	0.08964	-2.90872	2.85336	-0.621946
167	0.09018	-2.91741	2.868	-0.147543
168	0.09072	-2.92126	2.87394	0.275933
169	0.09126	-2.92467	2.87394	0.554272
170	0.0918	-2.98641	2.86672	0.250025
171	0.09234	-3.06601	2.85443	-0.400887
172	0.09288	-3.12983	2.83185	-0.993036
173	0.09342	-3.16151	2.82101	-1.25106
174	0.09396	-3.21223	2.8205	-1.11846
175	0.0945	-3.25514	2.8313	-0.698786
176	0.09504	-3.28704	2.84153	-0.140812
177	0.09558	-3.28612	2.84807	0.42767
178	0.09612	-3.33843	2.83622	0.45116
179	0.09666	-3.42257	2.82298	0.0152481
180	0.0972	-3.53717	2.79459	-0.742228
181	0.09774	-3.60018	2.77037	-1.23601
182	0.09828	-3.66767	2.75341	-1.33394
183	0.09882	-3.73036	2.74776	-1.13348
184	0.09936	-3.80471	2.74315	-0.682689
185	0.0999	-3.83662	2.74582	-0.0841433
186	0.10044	-3.88021	2.7302	0.34304
187	0.10098	-3.95541	2.70637	0.303878
188	0.10152	-4.10514	2.66704	-0.348686
189	0.10206	-4.22914	2.62525	-1.07882
190	0.1026	-4.33792	2.58034	-1.54459
191	0.10314	-4.43357	2.54617	-1.69081
192	0.10368	-4.57626	2.50738	-1.45813
193	0.10422	-4.70203	2.48083	-0.871781
194	0.10476	-4.79401	2.45335	-0.205515
195	0.1053	-4.84155	2.42627	0.360693
196	0.10584	-4.93791	2.38958	0.323014
197	0.10638	-5.07972	2.35287	-0.343017
198	0.10692	-5.1895	2.32512	-1.28137
199	0.10746	-5.24354	2.29668	-2.01704
200	0.108	-5.34234	2.26667	-1.94928
201	0.10854	-5.48598	2.2349	-1.42231
202	0.10908	-5.59627	2.21033	-0.651181
203	0.10962	-5.64577	2.18645	-0.0284779
204	0.11016	-5.65842	2.17796	0.21611
205	0.1107	-5.72372	2.16876	-0.15028
206	0.11124	-5.76616	2.18047	-0.988109
207	0.11178	-5.77558	2.18661	-1.78601
208	0.11232	-5.82792	2.17963	-1.71281
209	0.11286	-5.94121	2.16124	-1.2145
210	0.1134	-6.02187	2.14504	-0.532035
211	0.11394	-6.06128	2.12957	-0.0152274
212	0.11448	-6.06919	2.13277	0.129958
213	0.11502	-6.11594	2.14298	-0.34461
214	0.11556	-6.11833	2.17805	-1.23834
215	0.1161	-6.08859	2.20126	-1.92703
216	0.11664	-6.10626	2.21321	-1.86075
217	0.11718	-6.20985	2.21265	-1.15387
218	0.11772	-6.25829	2.21042	-0.373323
219	0.11826	-6.25965	2.21272	0.0815991
220	0.1188	-6.25465	2.23269	0.0375977
221	0.11934	-6.29219	2.25997	-0.65113
222	0.11988	-6.25723	2.30892	-1.54565
223	0.12042	-6.24352	2.3297	-1.93773
224	0.12096	-6.29039	2.34437	-1.65765
225	0.1215	-6.40708	2.34239	-0.793541
226	0.12204	-6.43145	2.34175	-0.0639794
227	0.12258	-6.43908	2.35297	0.120448
228	0.12312	-6.46272	2.38083	-0.287564
229	0.12366	-6.49496	2.41996	-1.19574
230	0.1242	-6.4482	2.46319	-1.96259
231	0.12474	-6.49694	2.47631	-1.88528
232	0.12528	-6.60256	2.48805	-1.10314
233	0.12582	-6.67239	2.48328	-0.307234
234	0.12636	-6.67451	2.49214	0.101861
235	0.1269	-6.7125	2.51288	-0.167911
236	0.12744	-6.74983	2.55421	-1.01582
237	0.12798	-6.74192	2.59482	-1.93594
238	0.12852	-6.77645	2.61134	-1.84858
239	0.12906	-6.88784	2.618	-1.1213
240	0.1296	-6.93896	2.61629	-0.417775
241	0.13014	-6.95527	2.62086	-0.136619
242	0.13068	-6.98178	2.64108	-0.39999
243	0.13122	-7.02277	2.67498	-1.25493
244	0.13176	-6.99165	2.71049	-2.20194
245	0.1323	-7.0527	2.71976	-2.10916
246	0.13284	-7.17684	2.73255	-1.29118
247	0.13338	-7.25328	2.72541	-0.577692
248	0.13392	-7.2732	2.72052	-0.212304
249	0.13446	-7.30972	2.7268	-0.406732
250	0.135	-7.35329	2.75045	-1.22362
251	0.13554	-7.36114	2.7361	-1.24293
252	0.13608	-7.36286	2.72697	-1.49309
253	0.13662	-7.37553	2.7063	-1.51448
254	0.13716	-7.3961	2.686	-1.50023
255	0.1377	-7.4301	2.66378	-1.40426
256	0.13824	-7.4649	2.64197	-1.30255
257	0.13878	-7.49934	2.61981	-1.26324
258	0.13932	-7.52799	2.6	-1.34416
259	0.13986	-7.5539	2.58071	-1.54011
260	0.1404	-7.57194	2.55451	-1.55813
261	0.14094	-7.59179	2.52615	-1.56961
262	0.14148	-7.61312	2.49671	-1.56961
263	0.14202	-7.63774	2.4651	-1.5431
264	0.14256	-7.66432	2.43224	-1.49721
265	0.1431	-7.69164	2.39789	-1.45946
266	0.14364	-7.7202	2.3635	-1.44778
267	0.14418	-7.74894	2.32826	-1.46036
268	0.14472	-7.77934	2.2926	-1.48763
269	0.14526	-7.81077	2.25595	-1.5128
270	0.1458	-7.84608	2.21855	-1.51354
271	0.14634	-7.88259	2.18014	-1.49185
272	0.14688	-7.90976	2.13616	-1.47931
273	0.14742	-7.93728	2.09121	-1.45865
274	0.14796	-7.96593	2.04406	-1.43411
275	0.1485	-7.9948	1.9963	-1.40349
276	0.14904	-8.02482	1.94642	-1.37486
277	0.14958	-8.05433	1.89618	-1.34828
278	0.15012	-8.0856	1.84411	-1.32716
279	0.15066	-8.11629	1.79213	-1.3088
280	0.1512	-8.14817	1.73825	-1.29602
281	0.15174	-8.17936	1.68489	-1.27979
282	0.15228	-8.21123	1.62969	-1.26447
283	0.15282	-8.24194	1.57548	-1.2402
284	0.15336	-8.27295	1.51981	-1.21549
285	0.1539	-8.30228	1.46578	-1.18263
286	0.15444	-8.33153	1.41089	-1.15458
287	0.15498	-8.35861	1.35855	-1.12388
288	0.15552	-8.38505	1.30649	-1.10394
289	0.15606	-8.40861	1.25846	-1.08357
290	0.1566	-8.43071	1.21235	-1.07315
291	0.15714	-8.44908	1.17203	-1.05753
292	0.15768	-8.4652	1.1352	-1.04367
293	0.15822	-8.4769	1.10562	-1.01416
294	0.15876	-8.48594	1.08058	-0.980145
295	0.1593	-8.49072	1.06334	-0.933849
296	0.15984	-8.49345	1.05057	-0.894854
297	0.16038	-8.4929	1.04519	-0.862135
298	0.16092	-8.49142	1.04335	-0.854337
299	0.16146	-8.48769	1.04731	-0.8578
300	0.162	-8.48306	1.05316	-0.865871
301	0.16254	-8.47651	1.06311	-0.878654
302	0.16308	-8.46986	1.07352	-0.888274
303	0.16362	-8.46189	1.08709	-0.893392
304	0.16416	-8.45406	1.10065	-0.893392
305	0.1647	-8.44512	1.11681	-0.891952
306	0.16524	-8.43647	1.13247	-0.890086
307	0.16578	-8.42696	1.15008	-0.890086
308	0.16632	-8.41794	1.16672	-0.890086
309	0.16686	-8.40832	1.18475	-0.891056
310	0.1674	-8.39938	1.20145	-0.891837
311	0.16794	-8.39005	1.21902	-0.895436
312	0.16848	-8.38148	1.23501	-0.900121
313	0.16902	-8.37266	1.25161	-0.907982
314	0.16956	-8.36465	1.26658	-0.91568
315	0.1701	-8.35648	1.28199	-0.924004
316	0.17064	-8.34919	1.29577	-0.929041
317	0.17118	-8.34184	1.30985	-0.932141
318	0.17172	-8.33537	1.32227	-0.932141
319	0.17226	-8.32888	1.33483	-0.932141
320	0.1728	-8.32322	1.34571	-0.932141
321	0.17334	-8.3176	1.35661	-0.932143
322	0.17388	-8.31277	1.36583	-0.932902
323	0.17442	-8.30802	1.375	-0.933693
324	0.17496	-8.30403	1.38253	-0.935217
325	0.1755	-8.30012	1.38997	-0.936779
326	0.17604	-8.29695	1.39582	-0.939036
327	0.17658	-8.29383	1.4016	-0.94132
328	0.17712	-8.2914	1.40586	-0.944253
329	0.17766	-8.28901	1.41009	-0.947189
330	0.1782	-8.28726	1.41288	-0.950724
331	0.17874	-8.28551	1.4157	-0.954228
332	0.17928	-8.28434	1.41719	-0.958277
333	0.17982	-8.28313	1.4188	-0.962252
334	0.18036	-8.28244	1.41917	-0.966715
335	0.1809	-8.28237	1.41974	-0.966862
336	0.18144	-8.28285	1.41901	-0.966862
337	0.18198	-8.28323	1.4184	-0.963944
338	0.18252	-8.28418	1.41648	-0.962229
339	0.18306	-8.28502	1.41463	-0.956426
340	0.1836	-8.28642	1.41144	-0.95136
341	0.18414	-8.28769	1.40831	-0.941953
342	0.18468	-8.28953	1.4038	-0.933705
343	0.18522	-8.29126	1.39935	-0.921635
344	0.18576	-8.29357	1.39349	-0.911791
345	0.1863	-8.29575	1.38769	-0.899037
346	0.18684	-8.29853	1.38051	-0.889657
347	0.18738	-8.30116	1.37346	-0.877989
348	0.18792	-8.30999	1.3657	-0.859314
349	0.18846	-8.32092	1.35844	-0.828943
350	0.189	-8.33665	1.35036	-0.790197
351	0.18954	-8.35228	1.34266	-0.742595
352	0.19008	-8.37031	1.33395	-0.696152
353	0.19062	-8.38558	1.32552	-0.653361
354	0.19116	-8.40124	1.31594	-0.628742
355	0.1917	-8.41234	1.30669	-0.621949
356	0.19224	-8.41691	1.29519	-0.644475
357	0.19278	-8.42007	1.28446	-0.669176
358	0.19332	-8.42356	1.27257	-0.694918
359	0.19386	-8.42309	1.26156	-0.729136
360	0.1944	-8.42391	1.25013	-0.769503
361	0.19494	-8.42094	1.24009	-0.800285
362	0.19548	-8.41972	1.23006	-0.820111
363	0.19602	-8.41534	1.22183	-0.81975
364	0.19656	-8.41312	1.21387	-0.801206
365	0.1971	-8.40798	1.20783	-0.759417
366	0.19764	-8.40463	1.20187	-0.703986
367	0.19818	-8.39829	1.19748	-0.635913
368	0.19872	-8.39401	1.19265	-0.571538
369	0.19926	-8.38775	1.18892	-0.511702
370	0.1998	-8.38482	1.18437	-0.472611
371	0.20034	-8.38145	1.18068	-0.450849
372	0.20088	-8.38237	1.17602	-0.454586
373	0.20142	-8.38329	1.17221	-0.472282
374	0.20196	-8.38808	1.16755	-0.50601
375	0.2025	-8.39205	1.16394	-0.538824
376	0.20304	-8.39894	1.15975	-0.569505
377	0.20358	-8.40409	1.15693	-0.582796
378	0.20412	-8.4114	1.15378	-0.582796
379	0.20466	-8.41615	1.15215	-0.560128
380	0.2052	-8.42226	1.15016	-0.523218
381	0.20574	-8.42494	1.1495	-0.467853
382	0.20628	-8.42845	1.14818	-0.408962
383	0.20682	-8.42831	1.14784	-0.344214
384	0.20736	-8.42951	1.14652	-0.293003
385	0.2079	-8.43008	1.14614	-0.291759
386	0.20844	-8.43949	1.14537	-0.436724
387	0.20898	-8.44303	1.14511	-0.570633
388	0.20952	-8.44569	1.14391	-0.692037
389	0.21006	-8.44314	1.14396	-0.780073
390	0.2106	-8.44129	1.14396	-0.828617
391	0.21114	-8.4363	1.14579	-0.825932
392	0.21168	-8.43352	1.14771	-0.776368
393	0.21222	-8.42803	1.15103	-0.678999
394	0.21276	-8.4237	1.1537	-0.5479
395	0.2133	-8.41524	1.15688	-0.386847
396	0.21384	-8.4072	1.15847	-0.220444
397	0.21438	-8.40489	1.16072	-0.188894
398	0.21492	-8.41517	1.16244	-0.315824
399	0.21546	-8.42914	1.16485	-0.552046
400	0.216	-8.44043	1.16536	-0.765292
401	0.21654	-8.44582	1.16632	-0.934237
402	0.21708	-8.45168	1.16706	-1.0494
403	0.21762	-8.45521	1.16957	-1.09871
404	0.21816	-8.46196	1.17254	-1.08187
405	0.2187	-8.4666	1.17715	-1.00014
406	0.21924	-8.47217	1.18161	-0.861296
407	0.21978	-8.47171	1.1868	-0.671689
408	0.22032	-8.46791	1.19064	-0.44751
409	0.22086	-8.45403	1.19405	-0.189925
410	0.2214	-8.44497	1.19561	-0.0637583
411	0.22194	-8.44329	1.19777	-0.0953434
412	0.22248	-8.45468	1.19923	-0.302738
413	0.22302	-8.46601	1.20074	-0.607006
414	0.22356	-8.47096	1.20002	-0.875068
415	0.2241	-8.46701	1.19972	-1.09303
416	0.22464	-8.46279	1.19943	-1.25859
417	0.22518	-8.45593	1.20084	-1.37338
418	0.22572	-8.46518	1.2082	-1.29049
419	0.22626	-8.48363	1.2219	-1.01329
420	0.2268	-8.50037	1.23802	-0.602937
421	0.22734	-8.49412	1.25186	-0.135432
422	0.22788	-8.46763	1.26039	0.371497
423	0.22842	-8.44427	1.26619	0.661345
424	0.22896	-8.45446	1.274	0.591691
425	0.2295	-8.49172	1.28567	0.176129
426	0.23004	-8.53891	1.29343	-0.45479
427	0.23058	-8.55507	1.29691	-0.981619
428	0.23112	-8.55027	1.29843	-1.41417
429	0.23166	-8.54768	1.30182	-1.41537
430	0.2322	-8.564	1.31216	-1.21104
431	0.23274	-8.58352	1.33015	-0.801808
432	0.23328	-8.59044	1.3503	-0.260829
433	0.23382	-8.56298	1.36638	0.348142
434	0.23436	-8.53811	1.37544	0.73683
435	0.2349	-8.54501	1.38773	0.739514
436	0.23544	-8.58723	1.40431	0.35457
437	0.23598	-8.63916	1.41934	-0.261579
438	0.23652	-8.66883	1.42752	-0.785843
439	0.23706	-8.6724	1.43516	-1.18035
440	0.2376	-8.67145	1.44457	-1.45831
441	0.23814	-8.68263	1.46456	-1.45693
442	0.23868	-8.7187	1.49339	-1.14038
443	0.23922	-8.74914	1.53089	-0.544269
444	0.23976	-8.74398	1.5648	0.140494
445	0.2403	-8.69707	1.5879	0.851161
446	0.24084	-8.70984	1.60615	0.859937
447	0.24138	-8.75452	1.63048	0.460387
448	0.24192	-8.82612	1.65031	-0.286069
449	0.24246	-8.85861	1.66185	-0.843724
450	0.243	-8.85557	1.67685	-0.833082
451	0.24354	-8.85012	1.69632	-0.695359
452	0.24408	-8.84941	1.7168	-0.455997
453	0.24462	-8.83759	1.73947	-0.115692
454	0.24516	-8.82283	1.75807	0.244561
455	0.2457	-8.80025	1.77349	0.583335
456	0.24624	-8.81846	1.78587	0.502132
457	0.24678	-8.86179	1.7995	0.0693535
458	0.24732	-8.91132	1.80588	-0.497234
459	0.24786	-8.93157	1.81223	-0.872231
460	0.2484	-8.92892	1.82414	-0.864295
461	0.24894	-8.92387	1.84033	-0.728974
462	0.24948	-8.92462	1.85722	-0.488914
463	0.25002	-8.91411	1.87601	-0.15247
464	0.25056	-8.90244	1.89004	0.191523
465	0.2511	-8.88373	1.90078	0.506494
466	0.25164	-8.90474	1.907	0.419614
467	0.25218	-8.94724	1.91343	0.0176658
468	0.25272	-8.99634	1.91302	-0.502299
469	0.25326	-9.01883	1.91399	-0.841321
470	0.2538	-9.03831	1.916	-1.04384
471	0.25434	-9.0525	1.92406	-1.08495
472	0.25488	-9.0833	1.94074	-0.822606
473	0.25542	-9.10154	1.96578	-0.314991
474	0.25596	-9.10166	1.98393	0.234273
475	0.2565	-9.08267	1.99393	0.748742
476	0.25704	-9.11847	1.99585	0.703814
477	0.25758	-9.18773	2.00061	0.192081
478	0.25812	-9.2752	1.99305	-0.560645
479	0.25866	-9.31516	1.98483	-1.02859
480	0.2592	-9.35144	1.98463	-1.16554
481	0.25974	-9.3835	1.99304	-1.09465
482	0.26028	-9.43202	2.00979	-0.679837
483	0.26082	-9.44985	2.03409	-0.0416476
484	0.26136	-9.45327	2.0445	0.550875
485	0.2619	-9.48109	2.04434	0.723549
486	0.26244	-9.57174	2.03965	0.301386
487	0.26298	-9.67684	2.02936	-0.430755
488	0.26352	-9.76317	2.00841	-1.02436
489	0.26406	-9.81492	2.00087	-1.25396
490	0.2646	-9.88299	1.99595	-1.23515
491	0.26514	-9.94298	2.0022	-0.939826
492	0.26568	-10.0058	2.00841	-0.443764
493	0.26622	-10.0273	2.01808	0.156941
494	0.26676	-10.0724	2.00763	0.539329
495	0.2673	-10.1553	1.99198	0.419985
496	0.26784	-10.3113	1.96308	-0.314973
497	0.26838	-10.4348	1.93126	-1.0433
498	0.26892	-10.5422	1.89761	-1.4873
499	0.26946	-10.6322	1.87585	-1.64529
500	0.27	-10.7629	1.85121	-1.45966
501	0.27054	-10.8772	1.8401	-0.91949
502	0.27108	-10.9608	1.83073	-0.239012
503	0.27162	-10.9895	1.82362	0.424612
504	0.27216	-11.0348	1.80944	0.747746
505	0.2727	-11.1448	1.79141	0.385307
506	0.27324	-11.287	1.77829	-0.561867
507	0.27378	-11.3586	1.77393	-1.45397
508	0.27432	-11.3568	1.78208	-2.09511
509	0.27486	-11.4272	1.78097	-2.03488
510	0.2754	-11.4929	1.79636	-1.57745
511	0.27594	-11.5977	1.80459	-0.642782
512	0.27648	-11.5516	1.83841	0.198308
513	0.27702	-11.5147	1.86683	0.512328
514	0.27756	-11.4774	1.91221	0.344007
515	0.2781	-11.5297	1.94398	-0.532142
516	0.27864	-11.4619	2.00671	-1.33232
517	0.27918	-11.4228	2.04578	-1.67945
518	0.27972	-11.3963	2.09448	-1.47114
519	0.28026	-11.4408	2.12426	-0.882275
520	0.2808	-11.4069	2.17199	-0.0993794
521	0.28134	-11.3747	2.20604	0.372007
522	0.28188	-11.3331	2.25494	0.389699
523	0.28242	-11.396	2.28397	-0.302794
524	0.28296	-11.3924	2.33244	-1.05433
525	0.2835	-11.4065	2.3609	-1.46518
526	0.28404	-11.4101	2.39944	-1.46518
527	0.28458	-11.487	2.42022	-1.02769
528	0.28512	-11.5043	2.45707	-0.331689
