TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
1	0.00054	-2.6563e-018	8.29415e-017	8.14778e-017
2	0.00108	4.39417e-010	2.03387e-005	-1.58602e-011
3	0.00162	0.00013853	0.00010828	7.37707e-005
4	0.00216	0.000402208	0.000268779	-3.1015e-005
5	0.0027	0.000764384	0.000511102	-0.000811464
6	0.00324	0.00118502	0.000848191	-0.0030014
7	0.00378	0.00161313	0.0012953	-0.00752264
8	0.00432	0.0019933	0.0018675	-0.0153703
9	0.00486	0.00227678	0.0025763	-0.0274361
10	0.0054	0.0024363	0.00342468	-0.0442518
11	0.00594	0.00247872	0.00440166	-0.0657346
12	0.00648	0.002447	0.00547814	-0.0910536
13	0.00702	0.00239654	0.00660795	-0.118853
14	0.00756	0.00238889	0.00772626	-0.147234
15	0.0081	0.00247708	0.00875249	-0.173926
16	0.00864	0.002692	0.00959763	-0.196578
17	0.00918	0.0030202	0.010186	-0.213571
18	0.00972	0.00341366	0.0104666	-0.224286
19	0.01026	0.00381633	0.0104098	-0.228822
20	0.0108	0.00414402	0.0100297	-0.228822
21	0.01134	0.00432186	0.0093558	-0.226318
22	0.01188	0.00423669	0.00844551	-0.224508
23	0.01242	0.00379262	0.00734565	-0.22611
24	0.01296	0.00286602	0.00613026	-0.234867
25	0.0135	0.00137118	0.00486185	-0.253891
26	0.01404	-0.000702851	0.00357855	-0.285032
27	0.01458	-0.00326838	0.00228045	-0.328337
28	0.01512	-0.00615225	0.000915399	-0.381727
29	0.01566	-0.00915511	-0.000631992	-0.441045
30	0.0162	-0.0121399	-0.00254005	-0.500515
31	0.01674	-0.0151176	-0.00502257	-0.554006
32	0.01728	-0.0182634	-0.00827998	-0.596649
33	0.01782	-0.0218174	-0.0124926	-0.624279
34	0.01836	-0.0260019	-0.0177953	-0.633939
35	0.0189	-0.030926	-0.0242078	-0.62595
36	0.01944	-0.0365637	-0.0317291	-0.600598
37	0.01998	-0.0427585	-0.0402927	-0.559704
38	0.02052	-0.0492899	-0.0497507	-0.507478
39	0.02106	-0.0559959	-0.0598641	-0.451307
40	0.0216	-0.0628601	-0.0703574	-0.399981
41	0.02214	-0.0700477	-0.0809439	-0.36318
42	0.02268	-0.0778479	-0.0913531	-0.350549
43	0.02322	-0.0864429	-0.101413	-0.368021
44	0.02376	-0.0957716	-0.110958	-0.420095
45	0.0243	-0.105346	-0.119927	-0.506086
46	0.02484	-0.114331	-0.128413	-0.61937
47	0.02538	-0.121919	-0.136718	-0.748198
48	0.02592	-0.127811	-0.145336	-0.877684
49	0.02646	-0.132512	-0.154795	-0.994285
50	0.027	-0.137104	-0.165516	-1.08814
51	0.02754	-0.142843	-0.177791	-1.15137
52	0.02808	-0.150771	-0.191769	-1.17895
53	0.02862	-0.161285	-0.207399	-1.17154
54	0.02916	-0.174327	-0.22462	-1.13076
55	0.0297	-0.189367	-0.243316	-1.06041
56	0.03024	-0.205557	-0.263315	-0.965815
57	0.03078	-0.221918	-0.284384	-0.852923
58	0.03132	-0.237515	-0.306082	-0.733419
59	0.03186	-0.251889	-0.327952	-0.618046
60	0.0324	-0.265037	-0.349674	-0.51288
61	0.03294	-0.27705	-0.370974	-0.422039
62	0.03348	-0.288188	-0.391533	-0.352389
63	0.03402	-0.298924	-0.411085	-0.3111
64	0.03456	-0.309763	-0.429433	-0.304618
65	0.0351	-0.320925	-0.446411	-0.337286
66	0.03564	-0.332261	-0.461766	-0.414485
67	0.03618	-0.342984	-0.475248	-0.538973
68	0.03672	-0.351467	-0.486831	-0.705087
69	0.03726	-0.35577	-0.49691	-0.897009
70	0.0378	-0.35502	-0.506291	-1.09384
71	0.03834	-0.35013	-0.515837	-1.27718
72	0.03888	-0.343328	-0.526179	-1.43228
73	0.03942	-0.33723	-0.537576	-1.54823
74	0.03996	-0.333984	-0.549974	-1.61854
75	0.0405	-0.334751	-0.56316	-1.64191
76	0.04104	-0.339466	-0.576854	-1.62476
77	0.04158	-0.347623	-0.590903	-1.5739
78	0.04212	-0.358333	-0.605175	-1.498
79	0.04266	-0.370554	-0.619512	-1.40612
80	0.0432	-0.383289	-0.633694	-1.30676
81	0.04374	-0.395641	-0.647379	-1.2103
82	0.04428	-0.40735	-0.660325	-1.12179
83	0.04482	-0.418252	-0.672248	-1.04671
84	0.04536	-0.428343	-0.682949	-0.986799
85	0.0459	-0.437589	-0.692222	-0.944579
86	0.04644	-0.445913	-0.699829	-0.924133
87	0.04698	-0.453279	-0.705628	-0.92734
88	0.04752	-0.459476	-0.709396	-0.959102
89	0.04806	-0.464142	-0.710955	-1.02392
90	0.0486	-0.466682	-0.710224	-1.12458
91	0.04914	-0.466386	-0.707403	-1.25728
92	0.04968	-0.462899	-0.703007	-1.41133
93	0.05022	-0.456577	-0.697655	-1.57364
94	0.05076	-0.448257	-0.691777	-1.73695
95	0.0513	-0.453748	-0.688858	-1.7238
96	0.05184	-0.460303	-0.685182	-1.69982
97	0.05238	-0.468188	-0.680841	-1.66287
98	0.05292	-0.476863	-0.67576	-1.6189
99	0.05346	-0.485278	-0.6697	-1.57947
100	0.054	-0.492228	-0.662295	-1.55943
101	0.05454	-0.497087	-0.653292	-1.56785
102	0.05508	-0.499202	-0.642497	-1.61398
103	0.05562	-0.497787	-0.629865	-1.70555
104	0.05616	-0.504257	-0.618506	-1.69927
105	0.0567	-0.507442	-0.60558	-1.73211
106	0.05724	-0.513501	-0.592572	-1.73009
107	0.05778	-0.519256	-0.578811	-1.73046
108	0.05832	-0.524887	-0.564391	-1.73085
109	0.05886	-0.530386	-0.549371	-1.73133
110	0.0594	-0.535748	-0.533813	-1.73187
111	0.05994	-0.540971	-0.517785	-1.73248
112	0.06048	-0.546056	-0.501358	-1.73312
113	0.06102	-0.551004	-0.484607	-1.73379
114	0.06156	-0.555815	-0.467608	-1.73447
115	0.0621	-0.560493	-0.45044	-1.73515
116	0.06264	-0.565044	-0.433185	-1.73584
117	0.06318	-0.569476	-0.415925	-1.73652
118	0.06372	-0.573805	-0.398744	-1.7372
119	0.06426	-0.578047	-0.381728	-1.73788
120	0.0648	-0.582222	-0.364961	-1.73854
121	0.06534	-0.586356	-0.348528	-1.73919
122	0.06588	-0.590474	-0.332512	-1.73984
123	0.06642	-0.594607	-0.316998	-1.74047
124	0.06696	-0.598787	-0.302065	-1.74109
125	0.0675	-0.603049	-0.287793	-1.74169
126	0.06804	-0.607428	-0.274257	-1.74228
127	0.06858	-0.611961	-0.261531	-1.74285
128	0.06912	-0.616681	-0.249686	-1.7434
129	0.06966	-0.621626	-0.238787	-1.74394
130	0.0702	-0.626828	-0.228897	-1.74446
131	0.07074	-0.63232	-0.220077	-1.74496
132	0.07128	-0.638131	-0.212381	-1.74545
133	0.07182	-0.644287	-0.20586	-1.74592
134	0.07236	-0.650811	-0.200561	-1.74637
135	0.0729	-0.65772	-0.196527	-1.7468
136	0.07344	-0.665029	-0.193797	-1.74722
137	0.07398	-0.672745	-0.192403	-1.74761
138	0.07452	-0.680873	-0.192374	-1.748
139	0.07506	-0.689409	-0.193734	-1.74836
140	0.0756	-0.698346	-0.196503	-1.74871
141	0.07614	-0.707667	-0.200696	-1.74905
142	0.07668	-0.717353	-0.206327	-1.74937
143	0.07722	-0.727376	-0.213401	-1.74968
144	0.07776	-0.737703	-0.221923	-1.74998
145	0.0783	-0.748294	-0.231889	-1.75027
146	0.07884	-0.759103	-0.243292	-1.75055
147	0.07938	-0.770081	-0.256117	-1.75082
148	0.07992	-0.781172	-0.270341	-1.75109
149	0.08046	-0.792315	-0.285935	-1.75135
150	0.081	-0.803446	-0.302862	-1.75161
151	0.08154	-0.814495	-0.321079	-1.75187
152	0.08208	-0.825416	-0.340536	-1.75213
153	0.08262	-0.836166	-0.361176	-1.75238
154	0.08316	-0.846696	-0.382932	-1.75263
155	0.0837	-0.856955	-0.40573	-1.75288
156	0.08424	-0.866889	-0.429484	-1.75314
157	0.08478	-0.876441	-0.454102	-1.7534
158	0.08532	-0.885554	-0.479481	-1.75366
159	0.08586	-0.894169	-0.505509	-1.75394
160	0.0864	-0.902226	-0.532068	-1.75422
161	0.08694	-0.909668	-0.559032	-1.75452
162	0.08748	-0.916436	-0.586268	-1.75484
163	0.08802	-0.922475	-0.613636	-1.75517
164	0.08856	-0.927732	-0.640994	-1.75552
165	0.0891	-0.932156	-0.668195	-1.75589
166	0.08964	-0.935699	-0.695089	-1.75629
167	0.09018	-0.938313	-0.721527	-1.7567
168	0.09072	-0.939958	-0.74736	-1.75714
169	0.09126	-0.940591	-0.77244	-1.75761
170	0.0918	-0.940175	-0.796623	-1.75811
171	0.09234	-0.938672	-0.819769	-1.75863
172	0.09288	-0.936047	-0.841745	-1.75919
173	0.09342	-0.932265	-0.862424	-1.75977
174	0.09396	-0.927291	-0.881685	-1.76039
175	0.0945	-0.921089	-0.899419	-1.76103
176	0.09504	-0.913624	-0.915527	-1.76171
177	0.09558	-0.904857	-0.929923	-1.76243
178	0.09612	-0.894749	-0.94253	-1.76317
179	0.09666	-0.883297	-0.953287	-1.76395
180	0.0972	-0.870497	-0.962142	-1.76475
181	0.09774	-0.856346	-0.969055	-1.76557
182	0.09828	-0.840838	-0.974001	-1.76643
183	0.09882	-0.823969	-0.976962	-1.76731
184	0.09936	-0.805734	-0.977934	-1.76821
185	0.0999	-0.786126	-0.976923	-1.76915
186	0.10044	-0.765138	-0.973945	-1.77011
187	0.10098	-0.742764	-0.969026	-1.7711
188	0.10152	-0.718994	-0.962203	-1.77211
189	0.10206	-0.693824	-0.953521	-1.77315
190	0.1026	-0.667247	-0.943031	-1.77422
191	0.10314	-0.639259	-0.930796	-1.77531
192	0.10368	-0.609859	-0.916881	-1.77642
193	0.10422	-0.579049	-0.901362	-1.77756
194	0.10476	-0.546837	-0.884317	-1.77872
195	0.1053	-0.513235	-0.865831	-1.7799
196	0.10584	-0.478264	-0.845993	-1.7811
197	0.10638	-0.441951	-0.824896	-1.78232
198	0.10692	-0.404335	-0.802638	-1.78355
199	0.10746	-0.365465	-0.779318	-1.7848
200	0.108	-0.325406	-0.755042	-1.78607
201	0.10854	-0.284239	-0.729923	-1.78734
202	0.10908	-0.24207	-0.704076	-1.78862
203	0.10962	-0.199022	-0.677622	-1.7899
204	0.11016	-0.15524	-0.650683	-1.79118
205	0.1107	-0.110894	-0.623389	-1.79247
206	0.11124	-0.0661512	-0.595866	-1.79375
207	0.11178	-0.0212029	-0.568243	-1.79502
208	0.11232	0.0237373	-0.540654	-1.79629
209	0.11286	0.0684308	-0.513238	-1.79755
210	0.1134	0.112678	-0.48612	-1.7988
211	0.11394	0.156333	-0.459406	-1.80005
212	0.11448	0.199294	-0.433184	-1.80129
213	0.11502	0.241444	-0.407544	-1.80253
214	0.11556	0.28265	-0.382575	-1.80376
215	0.1161	0.322767	-0.35837	-1.80498
216	0.11664	0.361636	-0.33502	-1.80618
217	0.11718	0.399082	-0.312621	-1.80736
218	0.11772	0.434918	-0.29127	-1.80852
219	0.11826	0.468944	-0.271064	-1.80966
220	0.1188	0.50095	-0.252104	-1.81077
221	0.11934	0.488403	-0.248707	-1.8107
222	0.11988	0.472543	-0.247008	-1.81198
223	0.12042	0.453088	-0.24708	-1.81316
224	0.12096	0.429971	-0.248951	-1.81435
225	0.1215	0.403165	-0.252623	-1.81551
226	0.12204	0.372713	-0.258073	-1.8166
227	0.12258	0.33871	-0.265256	-1.81763
228	0.12312	0.301288	-0.274114	-1.81861
229	0.12366	0.260606	-0.284574	-1.81953
230	0.1242	0.216841	-0.296557	-1.82041
231	0.12474	0.170181	-0.309978	-1.82124
232	0.12528	0.120816	-0.324748	-1.82203
233	0.12582	0.0690423	-0.340744	-1.8228
234	0.12636	0.0151783	-0.35784	-1.82354
235	0.1269	-0.0404625	-0.375909	-1.82426
236	0.12744	-0.0975774	-0.394832	-1.82496
237	0.12798	-0.155873	-0.414493	-1.82565
238	0.12852	-0.21506	-0.43478	-1.82633
239	0.12906	-0.274866	-0.45559	-1.827
240	0.1296	-0.335025	-0.476824	-1.82766
241	0.13014	-0.395273	-0.498387	-1.82831
242	0.13068	-0.455363	-0.520194	-1.82897
243	0.13122	-0.515067	-0.542167	-1.82962
244	0.13176	-0.574183	-0.564237	-1.83028
245	0.1323	-0.632537	-0.586345	-1.83093
246	0.13284	-0.689983	-0.608438	-1.83161
247	0.13338	-0.746396	-0.630468	-1.8323
248	0.13392	-0.801666	-0.652387	-1.83301
249	0.13446	-0.855701	-0.674148	-1.83373
250	0.135	-0.908419	-0.695703	-1.83448
251	0.13554	-0.959757	-0.717001	-1.83523
252	0.13608	-1.00966	-0.737987	-1.83601
253	0.13662	-1.0581	-0.7586	-1.83679
254	0.13716	-1.10506	-0.778777	-1.83759
255	0.1377	-1.15061	-0.798448	-1.83837
256	0.13824	-1.19483	-0.817532	-1.83916
257	0.13878	-1.2378	-0.835939	-1.83994
258	0.13932	-1.27442	-0.853179	-1.84099
259	0.13986	-1.30561	-0.869305	-1.84196
260	0.1404	-1.3321	-0.884316	-1.84288
261	0.14094	-1.35454	-0.898177	-1.84376
262	0.14148	-1.37348	-0.910833	-1.8446
263	0.14202	-1.38938	-0.922221	-1.84542
264	0.14256	-1.40266	-0.932277	-1.84621
265	0.1431	-1.41366	-0.940933	-1.84698
266	0.14364	-1.42268	-0.94813	-1.84774
267	0.14418	-1.42998	-0.953809	-1.84849
268	0.14472	-1.43578	-0.957923	-1.84923
269	0.14526	-1.44026	-0.960431	-1.84996
270	0.1458	-1.44359	-0.961303	-1.85068
271	0.14634	-1.44591	-0.960518	-1.8514
272	0.14688	-1.44732	-0.958065	-1.85211
273	0.14742	-1.44794	-0.953944	-1.85283
274	0.14796	-1.44783	-0.948166	-1.85355
275	0.1485	-1.44698	-0.940749	-1.85427
276	0.14904	-1.44537	-0.931724	-1.855
277	0.14958	-1.44298	-0.921133	-1.85574
278	0.15012	-1.43978	-0.909027	-1.85648
279	0.15066	-1.43574	-0.895471	-1.85722
280	0.1512	-1.43083	-0.88054	-1.85797
281	0.15174	-1.42503	-0.864317	-1.85872
282	0.15228	-1.41828	-0.846899	-1.85947
283	0.15282	-1.41056	-0.828388	-1.86022
284	0.15336	-1.40183	-0.808899	-1.86098
285	0.1539	-1.39206	-0.788559	-1.86174
286	0.15444	-1.3812	-0.767499	-1.8625
287	0.15498	-1.36923	-0.745859	-1.86326
288	0.15552	-1.35611	-0.723779	-1.86402
289	0.15606	-1.3418	-0.701404	-1.86479
290	0.1566	-1.32629	-0.678878	-1.86556
291	0.15714	-1.30955	-0.656346	-1.86633
292	0.15768	-1.29156	-0.633949	-1.86711
293	0.15822	-1.27231	-0.61182	-1.86789
294	0.15876	-1.25179	-0.590091	-1.86867
295	0.1593	-1.22998	-0.568882	-1.86945
296	0.15984	-1.2069	-0.548304	-1.87025
297	0.16038	-1.18255	-0.528458	-1.87104
298	0.16092	-1.15693	-0.509431	-1.87184
299	0.16146	-1.13007	-0.491299	-1.87265
300	0.162	-1.10197	-0.474124	-1.87346
301	0.16254	-1.07268	-0.457954	-1.87428
302	0.16308	-1.04221	-0.442825	-1.8751
303	0.16362	-1.0106	-0.428757	-1.87592
304	0.16416	-0.977883	-0.415761	-1.87675
305	0.1647	-0.944101	-0.403834	-1.87757
306	0.16524	-0.909359	-0.392972	-1.87838
307	0.16578	-0.873761	-0.38316	-1.87918
308	0.16632	-0.837412	-0.37438	-1.87996
309	0.16686	-0.800418	-0.36661	-1.88072
310	0.1674	-0.762888	-0.359826	-1.88145
311	0.16794	-0.72493	-0.354003	-1.88215
312	0.16848	-0.686653	-0.349114	-1.88281
313	0.16902	-0.648168	-0.345136	-1.88342
314	0.16956	-0.609585	-0.342047	-1.88397
315	0.1701	-0.571016	-0.339829	-1.88446
316	0.17064	-0.532575	-0.338466	-1.88487
317	0.17118	-0.494377	-0.337946	-1.8852
318	0.17172	-0.456537	-0.338261	-1.88542
319	0.17226	-0.419173	-0.339408	-1.88554
320	0.1728	-0.382405	-0.341389	-1.88554
321	0.17334	-0.346345	-0.344207	-1.88549
322	0.17388	-0.311127	-0.347873	-1.88529
323	0.17442	-0.27688	-0.352402	-1.88495
324	0.17496	-0.24373	-0.357812	-1.88446
325	0.1755	-0.212513	-0.364231	-1.87618
326	0.17604	-0.184099	-0.371796	-1.85241
327	0.17658	-0.158563	-0.380551	-1.81386
328	0.17712	-0.134746	-0.390343	-1.77354
329	0.17766	-0.11122	-0.400916	-1.74685
330	0.1782	-0.0871085	-0.412065	-1.74306
331	0.17874	-0.064076	-0.424105	-1.74328
332	0.17928	-0.0424784	-0.4371	-1.74353
333	0.17982	-0.0223174	-0.451034	-1.7437
334	0.18036	-0.0035726	-0.465887	-1.74379
335	0.1809	0.0137983	-0.481625	-1.74379
336	0.18144	0.0298574	-0.498213	-1.74379
337	0.18198	0.0446636	-0.515608	-1.74373
338	0.18252	0.0582931	-0.533764	-1.74363
339	0.18306	0.070671	-0.552658	-1.74179
340	0.1836	0.081678	-0.572273	-1.73603
341	0.18414	0.0912538	-0.592578	-1.72477
342	0.18468	0.0994547	-0.613518	-1.70758
343	0.18522	0.106486	-0.63501	-1.68542
344	0.18576	0.112683	-0.656942	-1.66055
345	0.1863	0.118447	-0.67918	-1.63581
346	0.18684	0.124176	-0.701581	-1.61396
347	0.18738	0.130219	-0.724003	-1.59726
348	0.18792	0.136861	-0.746317	-1.58715
349	0.18846	0.14431	-0.76841	-1.58419
350	0.189	0.152356	-0.790271	-1.58419
351	0.18954	0.160985	-0.811844	-1.58531
352	0.19008	0.170172	-0.83307	-1.5857
353	0.19062	0.18008	-0.853844	-1.5857
354	0.19116	0.190856	-0.874066	-1.58547
355	0.1917	0.202525	-0.893666	-1.58385
356	0.19224	0.215149	-0.912565	-1.58015
357	0.19278	0.228826	-0.930681	-1.57412
358	0.19332	0.243683	-0.947922	-1.56587
359	0.19386	0.25988	-0.964193	-1.55583
360	0.1944	0.277601	-0.9794	-1.54478
361	0.19494	0.297058	-0.993443	-1.5337
362	0.19548	0.318494	-1.00621	-1.52376
363	0.19602	0.342208	-1.01759	-1.51625
364	0.19656	0.368507	-1.02745	-1.51233
365	0.1971	0.39765	-1.03568	-1.51233
366	0.19764	0.429634	-1.04224	-1.51324
367	0.19818	0.464727	-1.04701	-1.51504
368	0.19872	0.503197	-1.04988	-1.51734
369	0.19926	0.488124	-1.06971	-1.45531
370	0.1998	0.477712	-1.08775	-1.41682
371	0.20034	0.471989	-1.10385	-1.40492
372	0.20088	0.495151	-1.10437	-1.44225
373	0.20142	0.524631	-1.10242	-1.51548
374	0.20196	0.513355	-1.1037	-1.55158
375	0.2025	0.510888	-1.10205	-1.65062
376	0.20304	0.510921	-1.09983	-1.79714
377	0.20358	0.49847	-1.09878	-1.78613
378	0.20412	0.485534	-1.09663	-1.74677
379	0.20466	0.4734	-1.09324	-1.69076
380	0.2052	0.465709	-1.08804	-1.65373
381	0.20574	0.464938	-1.08047	-1.66154
382	0.20628	0.472696	-1.0702	-1.73039
383	0.20682	0.476243	-1.05963	-1.72619
384	0.20736	0.48302	-1.04739	-1.72695
385	0.2079	0.492562	-1.03359	-1.72776
386	0.20844	0.504873	-1.01825	-1.72852
387	0.20898	0.500068	-1.00811	-1.72868
388	0.20952	0.497781	-0.996537	-1.72964
389	0.21006	0.497888	-0.983578	-1.73059
390	0.2106	0.500372	-0.969278	-1.73158
391	0.21114	0.499413	-0.955633	-1.73243
392	0.21168	0.500811	-0.9407	-1.73351
393	0.21222	0.500277	-0.925957	-1.73445
394	0.21276	0.500288	-0.91059	-1.73551
395	0.2133	0.500297	-0.894813	-1.73656
396	0.21384	0.500306	-0.878652	-1.73764
397	0.21438	0.500314	-0.862138	-1.73874
398	0.21492	0.500322	-0.845302	-1.73985
399	0.21546	0.50033	-0.82818	-1.74097
400	0.216	0.500337	-0.810803	-1.74212
401	0.21654	0.500344	-0.793208	-1.74327
402	0.21708	0.50035	-0.77543	-1.74444
403	0.21762	0.500356	-0.757506	-1.74561
404	0.21816	0.500361	-0.739473	-1.7468
405	0.2187	0.500366	-0.721367	-1.74799
406	0.21924	0.50037	-0.703227	-1.74919
407	0.21978	0.500373	-0.68509	-1.75039
408	0.22032	0.500376	-0.666995	-1.7516
409	0.22086	0.500378	-0.648979	-1.75281
410	0.2214	0.50038	-0.63108	-1.75402
411	0.22194	0.500381	-0.613336	-1.75522
412	0.22248	0.500381	-0.595785	-1.75643
413	0.22302	0.500287	-0.578493	-1.75763
414	0.22356	0.499935	-0.561553	-1.75882
415	0.2241	0.499159	-0.545055	-1.76
416	0.22464	0.497791	-0.529088	-1.76117
417	0.22518	0.495663	-0.513739	-1.76233
418	0.22572	0.492608	-0.499095	-1.76349
419	0.22626	0.488458	-0.485239	-1.76463
420	0.2268	0.483046	-0.472252	-1.76577
421	0.22734	0.476213	-0.460211	-1.76689
422	0.22788	0.467802	-0.449189	-1.76801
423	0.22842	0.457668	-0.439253	-1.76912
424	0.22896	0.445671	-0.430467	-1.77022
425	0.2295	0.431685	-0.422886	-1.77131
426	0.23004	0.415603	-0.416557	-1.77239
427	0.23058	0.397334	-0.411518	-1.77346
428	0.23112	0.376804	-0.4078	-1.77453
429	0.23166	0.353953	-0.405426	-1.77558
430	0.2322	0.328743	-0.404409	-1.77662
431	0.23274	0.301153	-0.404755	-1.77766
432	0.23328	0.271179	-0.40646	-1.77868
433	0.23382	0.238834	-0.409512	-1.77969
434	0.23436	0.204149	-0.413892	-1.78069
435	0.2349	0.167168	-0.419574	-1.78168
436	0.23544	0.127948	-0.426525	-1.78266
437	0.23598	0.0865599	-0.434705	-1.78362
438	0.23652	0.0431096	-0.444063	-1.78458
439	0.23706	-0.0022066	-0.454516	-1.78553
440	0.2376	-0.049182	-0.465982	-1.78649
441	0.23814	-0.0975912	-0.47837	-1.78744
442	0.23868	-0.147191	-0.491587	-1.7884
443	0.23922	-0.197739	-0.505544	-1.78936
444	0.23976	-0.248998	-0.520152	-1.79032
445	0.2403	-0.300742	-0.53533	-1.79127
446	0.24084	-0.352756	-0.551005	-1.79223
447	0.24138	-0.404838	-0.567106	-1.79319
448	0.24192	-0.4568	-0.583573	-1.79415
449	0.24246	-0.508466	-0.600349	-1.7951
450	0.243	-0.559675	-0.617383	-1.79606
451	0.24354	-0.61029	-0.634631	-1.79704
452	0.24408	-0.660191	-0.652054	-1.79802
453	0.24462	-0.709265	-0.669614	-1.79901
454	0.24516	-0.757408	-0.687273	-1.80001
455	0.2457	-0.804528	-0.704995	-1.80102
456	0.24624	-0.850538	-0.722741	-1.80203
457	0.24678	-0.895365	-0.740472	-1.80306
458	0.24732	-0.938939	-0.758146	-1.80409
459	0.24786	-0.981203	-0.775715	-1.80512
460	0.2484	-1.02211	-0.793131	-1.80616
461	0.24894	-1.06161	-0.810338	-1.80721
462	0.24948	-1.09968	-0.827276	-1.80826
463	0.25002	-1.13631	-0.843884	-1.80931
464	0.25056	-1.17157	-0.86009	-1.81035
465	0.2511	-1.20549	-0.875821	-1.81138
466	0.25164	-1.23408	-0.890648	-1.81262
467	0.25218	-1.25809	-0.904601	-1.81376
468	0.25272	-1.27812	-0.917669	-1.81483
469	0.25326	-1.29471	-0.929817	-1.81584
470	0.2538	-1.30832	-0.940998	-1.81681
471	0.25434	-1.31933	-0.951156	-1.81774
472	0.25488	-1.32808	-0.960233	-1.81864
473	0.25542	-1.33486	-0.96817	-1.81951
474	0.25596	-1.33993	-0.974917	-1.82035
475	0.2565	-1.3435	-0.980427	-1.82118
476	0.25704	-1.34576	-0.984657	-1.822
477	0.25758	-1.34686	-0.987575	-1.8228
478	0.25812	-1.34693	-0.989154	-1.8236
479	0.25866	-1.34599	-0.989367	-1.8244
480	0.2592	-1.34402	-0.988199	-1.8252
481	0.25974	-1.34099	-0.98564	-1.826
482	0.26028	-1.3369	-0.981692	-1.8268
483	0.26082	-1.33172	-0.976363	-1.82761
484	0.26136	-1.32542	-0.969673	-1.82843
485	0.2619	-1.31799	-0.961647	-1.82924
486	0.26244	-1.30938	-0.952322	-1.83007
487	0.26298	-1.29957	-0.941741	-1.8309
488	0.26352	-1.28852	-0.929956	-1.83174
489	0.26406	-1.2762	-0.917027	-1.83258
490	0.2646	-1.26256	-0.903021	-1.83343
491	0.26514	-1.24756	-0.888011	-1.83429
492	0.26568	-1.23116	-0.872079	-1.83515
493	0.26622	-1.21332	-0.855314	-1.83602
494	0.26676	-1.19401	-0.837805	-1.83689
495	0.2673	-1.17317	-0.819647	-1.83776
496	0.26784	-1.1508	-0.800934	-1.83864
497	0.26838	-1.12684	-0.781761	-1.83952
498	0.26892	-1.10128	-0.762223	-1.84039
499	0.26946	-1.07408	-0.742409	-1.84127
500	0.27	-1.04523	-0.722406	-1.84215
501	0.27054	-1.01476	-0.7023	-1.84301
502	0.27108	-0.982732	-0.682173	-1.84386
503	0.27162	-0.949203	-0.6621	-1.84468
504	0.27216	-0.914249	-0.642155	-1.84549
505	0.2727	-0.877957	-0.622402	-1.84627
506	0.27324	-0.840419	-0.602904	-1.84703
