TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.00054	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
2	0.00108	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
3	0.00162	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
4	0.00216	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
5	0.0027	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
6	0.00324	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
7	0.00378	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
8	0.00432	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
9	0.00486	0	3.13067e-008	2.14572e-006	4.08069e-006	3.33768e-007	1.05766e-006	0	0	1.15494e-008	3.07772e-006	9.63716e-009	1.3775e-006	0	0	5.47953e-008	5.91114e-008	3.2082e-007	3.48468e-005	0	4.19485e-006	9.88249e-008	1.12403e-006	1.81479e-007	0	3.16639e-006	8.32776e-008	8.20399e-008	4.66338e-007	0	1.46514e-006	4.11421e-006	3.88725e-008	0	4.20808e-006	0	7.05787e-008	1.49685e-006	2.17495e-006
