TimeSlice	Time	adductorlongus	illiopsoas	gluteusmaximus	gracilisanterior	pectineus	gluteusminimus	semitendinosusprincipal	tensorfascialatae	obturatorexternus	piriformis	bicepsfemorisposterior	rectusfemoris	gemellussuperior	semitendinosusaccessory	caudofemoralis	vastuslateralis	medialgastrocnemius	vastusintermedius	flexorhallucislongus	extensordigitorumlongus	peroneuslongus	tibialisanterior	soleus	flexordigitorumlongus	tibialisposterior	popliteus	plantaris	vastusmedialis	lateralgastrocnemius	adductormagnus	semimembranosus	adductorbrevis	bicepsfemorisanterior	gemellusinferior	gracilisposterior	obturatorinternus	gluteusmedius	quadratusfemoris
0	0	0	0.045712	3.41175e-007	0	0	0	5.77324e-006	9.31221e-008	0	0	8.23143	0.114652	9.12327e-008	0.601226	0	0	0	0	0	0.000438263	0	0.000711189	0	0	0	0.0199471	0	0	0	0	0	0	0	8.74197e-007	2.9252e-008	2.56881e-006	0	1.8721e-006
1	0.00054	0	0.0859817	6.82345e-007	9.11668e-013	0	0	1.15171e-005	1.86244e-007	5.88614e-012	1.14278e-012	0	0	1.82465e-007	0.546349	0	4.48034e-006	0	4.46921e-006	2.59171e-012	0	0	0.00108963	5.58684	0.00791575	7.09578e-006	0.0400483	0.0123854	52.1525	0.00250208	0	0	0	0	8.12105e-005	0	0.000278222	0	4.15006e-005
2	0.00108	0	0.123535	6.50258e-005	0	0	0	4.09622e-006	0.000397097	0	0	12.49	72.6766	0.000110767	0.538667	0	0.0347632	1.23044e-005	0.335418	1.7064e-005	0	0	0.0279171	0	0	0	1.66272	0	0	0	6.81327e-006	0	0	0.017842	0.000355884	4.16877e-005	0.00120122	0	0.000170388
3	0.00162	0	0.16148	0.000282028	2.21026e-005	0	0	6.79521e-005	0.00174001	0	0	0	0	0.000485419	0.7422	0	0	0	0	0	0.10009	0	0.308545	0	0	0	4.40651	0	60.8	0	3.93073e-005	0.00124795	0	0.0789639	0.000612278	0.000164683	0.00206126	0	0.00029049
4	0.00216	0	0.195594	0.00048519	0.000106083	0	0	0.000208306	0.0029911	0	0	12.49	164.7	0.00083454	0.933158	0	0	0	25.5	0	0.340802	0	0.756084	0	0	0	9.69286	0	0	0	0.00010624	0.00511068	0	0.202008	0.00104232	0.000411771	0.00349486	0	0.000490094
5	0.0027	0	0.23113	0.000824721	0.000277238	0	0	0.000484185	0.00508082	0	0	0	0	0.00141808	1.27966	0	0	0	0	0	0.920665	0	1.35595	0	0	0	18.7777	0	60.8	0	0.000254924	0.0160239	0	0.465394	0.00118583	0.000915964	0.00391662	0	0.000546774
6	0.00324	0	0.258631	0.000930611	0.00064478	0	0	0.00104204	0.00570438	0	0	12.49	164.7	0.00159368	1.95268	0	0	0	25.5	0	1.68109	0	2.25526	0	0	0	29.2	0	0	0	0.000474445	0.0329919	0	0.818307	0.0011071	0.0016404	0.00359445	0	0.000500876
7	0.00378	0	0.281815	0.000863797	0.00118167	0	0	0.00184065	0.00524079	0	0	0	0	0.00146612	2.62066	0.384476	0	0	0	0	2.52668	0	3.05863	0	0	0	29.2	0	60.8	0	0.000738628	0.0546201	0	1.16536	0.000635979	0.00248672	0.00173803	0	0.000235088
8	0.00432	0	0.29455	0.000447008	0.00182099	0	0	0.00277025	0.0025817	0	0	12.49	164.7	0.000731027	3.01124	3.65935	0	0	25.5	0	3.09878	0	3.39677	0	0	0	29.2	0	0	0	0.00102829	0.0797857	0.00864378	1.47859	0	0.00338364	0	0.00335727	0
9	0.00486	0.00290261	0.296268	0	0.00251374	0.00414666	0.00572739	0.00375261	0	0.000484626	0.00828103	0	0	0	3.31616	8.14462	0	0	0	0	3.40877	0	3.4261	0	0	0	29.2	0	60.8	0	0.00131666	0.106624	0.0347329	1.74564	0	0.0042317	0	0.0136762	0
10	0.0054	0.0115474	0.282199	0	0.0031921	0.0167551	0.0236046	0.00467734	0	0.00249802	0.033765	12.49	164.7	0	3.53602	13.8943	0	0	25.5	0	3.35341	0	3.09898	0	0	0	29.2	0	0	0	0.0015912	0.134295	0.0722971	1.96239	0	0.00498575	0	0.0287711	0
11	0.00594	0.0241613	0.253294	0	0.00382467	0.0349162	0.0500829	0.0054951	0	0.0055761	0.0711293	0	0	0	3.70073	20.5197	0	0	0	0	3.03786	0	2.62723	0	0	0	29.2	0	60.8	0	0.00188871	0.165438	0.122856	2.19318	0	0.005754	0	0.049693	0
12	0.00648	0.0416493	0.206182	0	0.00449835	0.0593589	0.0876107	0.00631714	0	0.0101514	0.123133	12.49	164.7	0	3.98898	20.6	2.11266	0	25.5	0	2.73355	0	2.49122	0	0	0	29.2	0	0	0	0.00221123	0.199807	0.184923	2.4295	0	0.0065469	0	0.0760543	0
13	0.00702	0.0636018	0.145644	0	0.00521926	0.0893935	0.135795	0.00715315	0	0.0163324	0.188846	0	0	0	4.26484	20.6	0	0	0	0	2.49876	0	2.55578	0	0	0	29.2	0	60.8	0	0.0025586	0.236895	0.258946	2.66518	0	0.00735116	0	0.10872	0
