TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0202112	0.0148509	0.0279717	0.0450136	0.0433706	0.0418116	0.0680352	0.0644688	0.0617669	0.0143217	0.0197742	0.0183856	0.0215563	0.0198207	0.0287674	0.0326093	0.021736	0.0517064	0.0491716	0.0110491	0.0158125	0.0209029	0.0514593	0.00941925	0.0514152	0.0227785	0.0178965	0.0451153	0.0349926	0.0476019	0.0400887	0.0413612	0.0266319	0.0470203	0.0475837	0.0356948	0.0411945	0.0396329
1	0.00054	0.0199566	0.0148509	0.0280585	0.0451218	0.0433706	0.0418116	0.067215	0.0643086	0.0617669	0.0143326	0.0197742	0.0183856	0.0214915	0.0198207	0.0287674	0.0328697	0.021736	0.0529563	0.0491716	0.0110491	0.0158369	0.0209029	0.050971	0.00941925	0.0526758	0.0229831	0.0179069	0.0451153	0.0349129	0.0476019	0.0400887	0.0426435	0.0266319	0.0470203	0.0477785	0.0356948	0.0411945	0.0402873
2	0.00108	0.0197031	0.0147528	0.0281539	0.0452385	0.0437194	0.0416781	0.0671775	0.0645566	0.0619622	0.0143442	0.0199328	0.018557	0.0214308	0.0197852	0.0289062	0.0331268	0.0218431	0.0533958	0.0494163	0.0110443	0.0158608	0.0207323	0.0510976	0.00935037	0.05314	0.0231858	0.0179173	0.0451397	0.0348332	0.0479098	0.0403706	0.042851	0.0270025	0.0468912	0.0479752	0.0355858	0.0410999	0.0401713
3	0.00162	0.0195313	0.0146593	0.0283335	0.0454614	0.0440722	0.0415424	0.0673975	0.0647428	0.0621575	0.0143521	0.0200927	0.0187295	0.021392	0.0197537	0.02905	0.0334816	0.0219517	0.0535684	0.0496605	0.01104	0.0158769	0.0205627	0.0517266	0.00928668	0.0533435	0.023389	0.0179248	0.045164	0.034875	0.0482077	0.0406434	0.0428357	0.0273732	0.0467553	0.0481798	0.0354758	0.0410035	0.0397981
4	0.00216	0.0194397	0.0145979	0.0285421	0.0457277	0.0445462	0.0414477	0.0676266	0.064987	0.0623603	0.0143562	0.0202015	0.0188466	0.0213721	0.0197347	0.0292845	0.0338508	0.0220261	0.0537031	0.0499143	0.0110378	0.0158855	0.0204482	0.0522035	0.0092465	0.0535065	0.0235615	0.017929	0.0451424	0.0349965	0.0486086	0.0410286	0.0427799	0.0276239	0.0466239	0.0483859	0.0353686	0.0409072	0.0394511
5	0.0027	0.0194024	0.0145657	0.028692	0.0459229	0.045037	0.041396	0.0677557	0.0652535	0.0625631	0.0143578	0.0202595	0.0189087	0.0213641	0.0197253	0.0295446	0.0341054	0.022066	0.0538377	0.050159	0.011037	0.0158891	0.0203875	0.0523893	0.00922607	0.0536597	0.0236667	0.0179308	0.0450923	0.0351045	0.0490233	0.0414361	0.0427249	0.0277569	0.0464877	0.0485812	0.0352785	0.0408246	0.0392245
6	0.00324	0.0193942	0.0145527	0.0287757	0.0460331	0.0453764	0.0413747	0.0677536	0.0655303	0.0627529	0.0143582	0.0202831	0.0189339	0.0213624	0.0197217	0.0297286	0.0342435	0.0220823	0.0539893	0.050367	0.0110367	0.0158899	0.0203629	0.0525425	0.00921796	0.0538206	0.0237172	0.0179312	0.0450471	0.0351739	0.0493089	0.0417196	0.0427483	0.0278109	0.0463332	0.0487671	0.0352201	0.0407704	0.0391073
7	0.00378	0.0193977	0.0145497	0.0288121	0.046081	0.0455598	0.0413698	0.0676571	0.0657795	0.062932	0.014358	0.0202882	0.0189395	0.0213632	0.0197209	0.0298302	0.0343015	0.0220859	0.0541503	0.0505466	0.0110366	0.0158895	0.0203574	0.0527091	0.00921618	0.0539847	0.0237347	0.017931	0.0450177	0.035209	0.0494637	0.0418746	0.0428398	0.0278227	0.0461639	0.0489399	0.03519	0.0407423	0.0390613
8	0.00432	0.0194039	0.0145509	0.028822	0.0460938	0.0456357	0.0413718	0.0675147	0.0659541	0.0630973	0.0143577	0.0202859	0.018937	0.0213645	0.0197212	0.0298739	0.0343158	0.0220843	0.0542815	0.0507036	0.0110367	0.015889	0.0203598	0.0528721	0.00921694	0.054116	0.0237365	0.0179308	0.045003	0.0352221	0.0495286	0.0419403	0.0429412	0.0278174	0.0459924	0.049071	0.0351788	0.0407317	0.0390523
9	0.00486	0.0194089	0.014553	0.0288203	0.0460914	0.0456533	0.0413753	0.0673836	0.0660648	0.063222	0.0143574	0.020282	0.0189327	0.0213656	0.0197218	0.0298855	0.0343116	0.0220816	0.0543795	0.0508189	0.0110368	0.0158885	0.0203639	0.0529944	0.00921829	0.0542129	0.0237326	0.0179305	0.0449977	0.035224	0.0495446	0.041957	0.043031	0.0278084	0.0458534	0.0491643	0.0351772	0.0407302	0.0390577
10	0.0054	0.019412	0.0145548	0.0288153	0.0460848	0.0456467	0.0413781	0.06728	0.0661333	0.0633104	0.0143573	0.0202787	0.0189293	0.0213662	0.0197223	0.0298831	0.0343028	0.0220793	0.0544498	0.0508992	0.0110368	0.0158882	0.0203672	0.0530788	0.00921938	0.0542822	0.0237281	0.0179304	0.044997	0.0352217	0.0495399	0.0419527	0.0431024	0.027801	0.0457498	0.0492294	0.0351792	0.040732	0.039066
11	0.00594	0.0194134	0.0145558	0.0288109	0.0460789	0.0456345	0.0413798	0.0672039	0.0661766	0.0633718	0.0143572	0.0202768	0.0189271	0.0213665	0.0197226	0.0298769	0.0342953	0.022078	0.0544994	0.0509546	0.0110368	0.0158881	0.0203693	0.0531366	0.00922005	0.0543309	0.0237248	0.0179304	0.0449979	0.0352186	0.04953	0.0419431	0.0431555	0.0277964	0.0456749	0.0492747	0.0351816	0.0407342	0.0390724
12	0.00648	0.0194139	0.0145563	0.0288079	0.046075	0.0456242	0.0413805	0.0671496	0.0662055	0.0634145	0.0143571	0.0202758	0.0189261	0.0213666	0.0197228	0.0298714	0.0342904	0.0220773	0.0545341	0.0509929	0.0110369	0.015888	0.0203703	0.0531772	0.00922037	0.0543651	0.0237228	0.0179304	0.0449989	0.0352163	0.0495216	0.0419347	0.0431936	0.0277942	0.0456212	0.0493067	0.0351833	0.0407358	0.0390761
13	0.00702	0.0194139	0.0145564	0.0288062	0.0460729	0.0456178	0.0413807	0.0671112	0.0662261	0.0634446	0.0143571	0.0202754	0.0189257	0.0213666	0.0197228	0.0298678	0.0342878	0.0220771	0.0545588	0.05102	0.0110369	0.015888	0.0203706	0.0532064	0.00922047	0.0543895	0.0237218	0.0179304	0.0449995	0.0352148	0.0495161	0.0419293	0.0432204	0.0277934	0.0455822	0.0493298	0.0351841	0.0407365	0.0390777
14	0.00756	0.0194137	0.0145563	0.0288055	0.0460719	0.0456145	0.0413807	0.0670834	0.0662416	0.0634662	0.0143571	0.0202754	0.0189256	0.0213666	0.0197228	0.0298659	0.0342867	0.0220771	0.0545768	0.0510395	0.0110369	0.0158881	0.0203706	0.053228	0.00922048	0.0544073	0.0237213	0.0179304	0.0449996	0.035214	0.0495133	0.0419264	0.0432394	0.0277933	0.0455534	0.0493469	0.0351843	0.0407366	0.039078
15	0.0081	0.0194135	0.0145562	0.0288051	0.0460716	0.0456132	0.0413805	0.0670626	0.0662539	0.0634822	0.014357	0.0202754	0.0189257	0.0213666	0.0197228	0.029865	0.0342864	0.0220772	0.0545904	0.051054	0.0110369	0.0158881	0.0203706	0.0532444	0.00922044	0.0544208	0.0237211	0.0179304	0.0449994	0.0352136	0.0495121	0.0419252	0.0432535	0.0277934	0.0455313	0.0493601	0.0351841	0.0407364	0.0390777
