TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	77.5574	98.9823	93.5143	98.5119	99.8905	96.4854	96.486	85.1398	92.4808	96.3464	99.2208	99.8209	93.1669	81.306	88.6643	99.5854	89.7265	97.4163	99.9587	79.0589	97.995	99.8096	92.3687	96.2202	99.9792	85.4287	96.8202	99.3834	97.5212	94.3285	85.3044	98.064	95.7386	96.3006	96.21	99.7011	99.3161	91.9697
1	0.00054	79.3887	98.9823	93.2988	98.4397	99.8905	96.4854	97.0422	85.4223	92.4808	96.3086	99.2208	99.8209	93.3783	81.306	88.6643	99.4575	89.7265	96.3461	99.9587	79.0589	97.9406	99.8096	93.0712	96.2202	99.9853	84.3971	96.7937	99.3834	97.6104	94.3285	85.3044	96.8523	95.7386	96.3006	96.0016	99.7011	99.3161	90.6255
2	0.00108	81.1342	99.1357	93.0581	98.3599	99.8222	96.6373	97.0665	84.9838	92.2415	96.2684	99.0441	99.7201	93.5733	81.5416	88.1946	99.3143	89.276	95.9259	99.9776	79.1208	97.8867	99.8819	92.8922	96.5782	99.9521	83.3396	96.7669	99.3734	97.6979	93.9103	84.4963	96.6287	94.9595	96.4355	95.7856	99.7383	99.3601	90.8713
3	0.00162	82.2734	99.2702	92.5934	98.2019	99.7362	96.7882	96.9226	84.6502	91.9983	96.241	98.8477	99.5961	93.6964	81.7495	87.6978	99.0893	88.8094	95.7546	99.9908	79.175	97.8499	99.9368	91.9698	96.8933	99.9315	82.2455	96.7477	99.3633	97.6521	93.4915	83.6933	96.6454	94.1148	96.5747	95.5549	99.7734	99.4034	91.6402
4	0.00216	82.8662	99.3524	92.0348	98.0038	99.5942	96.8915	96.7691	84.2071	91.742	96.2266	98.7035	99.4991	93.7591	81.8743	86.8657	98.8213	88.4837	95.6184	99.9984	79.2035	97.83	99.9642	91.2329	97.0843	99.9123	81.2887	96.7369	99.3723	97.5168	92.9059	82.5253	96.7062	93.5066	96.7066	95.3162	99.8051	99.4451	92.3248
5	0.0027	83.1046	99.3935	91.6208	97.8518	99.415	96.9471	96.6809	83.7165	91.4815	96.2209	98.6232	99.4433	93.7841	81.9355	85.9109	98.6164	88.3071	95.4803	99.9998	79.2147	97.8219	99.9756	90.9369	97.1791	99.8922	80.6929	96.7323	99.3928	97.3933	92.2736	81.2454	96.7655	93.1715	96.8406	95.0844	99.8299	99.4797	92.7561
6	0.00324	83.1573	99.4098	91.385	97.7637	99.272	96.97	96.6824	83.1989	91.234	96.2197	98.5899	99.4198	93.7896	81.9593	85.2155	98.4983	88.2348	95.3221	99.9966	79.2182	97.8201	99.9796	90.6894	97.2163	99.8688	80.404	96.7312	99.411	97.3124	91.8225	80.3283	96.7403	93.0333	96.9894	94.8585	99.8451	99.5018	92.9742
7	0.00378	83.1347	99.4134	91.2814	97.7248	99.1882	96.9751	96.7484	82.726	90.9974	96.2204	98.5826	99.4146	93.7872	81.9645	84.824	98.4473	88.2188	95.1511	99.9904	79.2186	97.8208	99.9804	90.4163	97.2245	99.8426	80.303	96.7316	99.4227	97.2709	91.5726	79.8177	96.6409	93.0028	97.1481	94.6439	99.8526	99.5131	93.0588
8	0.00432	83.0954	99.4119	91.2532	97.7143	99.1522	96.973	96.8445	82.3907	90.7761	96.2214	98.5859	99.417	93.7831	81.9622	84.6541	98.4346	88.2258	95.0095	99.9826	79.2181	97.8222	99.9801	90.1452	97.221	99.8199	80.293	96.7323	99.4285	97.2554	91.4667	79.5993	96.529	93.0164	97.3047	94.4781	99.8554	99.5173	93.0754
9	0.00486	83.0633	99.4093	91.2581	97.7163	99.1438	96.9693	96.9318	82.1764	90.6073	96.2223	98.5915	99.421	93.7797	81.9583	84.6091	98.4383	88.2379	94.9024	99.9753	79.2173	97.8233	99.9794	89.9395	97.2148	99.8021	80.3151	96.7329	99.4306	97.2532	91.4405	79.5437	96.4285	93.0397	97.4282	94.3586	99.8558	99.5179	93.0654
10	0.0054	83.0437	99.4072	91.2723	97.7217	99.1469	96.9663	96.9999	82.0433	90.4868	96.2229	98.5961	99.4242	93.7776	81.955	84.6186	98.4461	88.2478	94.8248	99.9694	79.2166	97.8239	99.9789	89.7962	97.2098	99.789	80.3409	96.7332	99.4308	97.256	91.4482	79.5579	96.3475	93.0587	97.5185	94.2746	99.8553	99.5172	93.0503
11	0.00594	83.0345	99.4059	91.285	97.7265	99.1528	96.9645	97.0495	81.9588	90.4026	96.2232	98.5989	99.4262	93.7766	81.953	84.6426	98.4528	88.2538	94.7698	99.965	79.2161	97.8242	99.9786	89.6974	97.2068	99.7794	80.3602	96.7333	99.4305	97.2596	91.4644	79.59	96.2866	93.0704	97.5827	94.2156	99.8547	99.5163	93.0385
12	0.00648	83.0315	99.4053	91.2936	97.7297	99.1577	96.9637	97.0845	81.9022	90.3439	96.2234	98.6003	99.4272	93.7763	81.9521	84.6639	98.4571	88.2567	94.7311	99.9618	79.2157	97.8243	99.9784	89.6279	97.2053	99.7726	80.3717	96.7333	99.4301	97.2624	91.4782	79.618	96.2427	93.0761	97.6282	94.1738	99.8543	99.5157	93.0317
13	0.00702	83.0316	99.4051	91.2983	97.7314	99.1608	96.9635	97.1092	81.862	90.3024	96.2235	98.6007	99.4276	93.7763	81.9517	84.6779	98.4594	88.2577	94.7035	99.9595	79.2154	97.8243	99.9784	89.5777	97.2048	99.7677	80.3776	96.7333	99.4299	97.2641	91.4871	79.636	96.2116	93.0782	97.661	94.1436	99.8541	99.5154	93.0288
14	0.00756	83.0326	99.4052	91.3005	97.7322	99.1623	96.9636	97.127	81.8315	90.2725	96.2236	98.6008	99.4276	93.7764	81.9517	84.6855	98.4603	88.2578	94.6833	99.9577	79.2152	97.8242	99.9784	89.5404	97.2048	99.764	80.3803	96.7332	99.4298	97.2651	91.4918	79.6455	96.1894	93.0785	97.6851	94.1211	99.8541	99.5153	93.0282
15	0.0081	83.0338	99.4053	91.3014	97.7325	99.163	96.9638	97.1403	81.8075	90.2504	96.2236	98.6007	99.4276	93.7765	81.9517	84.6889	98.4607	88.2576	94.6681	99.9564	79.215	97.8242	99.9784	89.5121	97.2049	99.7613	80.3817	96.7331	99.4299	97.2656	91.4937	79.6495	96.173	93.0782	97.7035	94.1038	99.8541	99.5154	93.0288
16	0.00864	83.0346	99.4054	91.3019	97.7326	99.1632	96.964	97.1507	81.7876	90.2333	96.2237	98.6007	99.4275	93.7765	81.9518	84.6902	98.4608	88.2573	94.656	99.9554	79.2147	97.8241	99.9784	89.49	97.2051	99.7591	80.3826	96.7331	99.43	97.2658	91.4944	79.6508	96.1603	93.0779	97.718	94.0899	99.8542	99.5155	93.0296
17	0.00918	83.0352	99.4055	91.3022	97.7327	99.1632	96.9641	97.1593	81.7708	90.2197	96.2238	98.6006	99.4275	93.7766	81.9518	84.6908	98.4608	88.2572	94.646	99.9546	79.2145	97.8241	99.9784	89.4722	97.2052	99.7572	80.3836	96.733	99.4302	97.266	91.4945	79.6512	96.1499	93.0777	97.7299	94.0783	99.8543	99.5157	93.0305
18	0.00972	83.0356	99.4056	91.3027	97.7328	99.1632	96.9642	97.1667	81.7561	90.2084	96.2239	98.6006	99.4275	93.7766	81.9518	84.6912	98.461	88.2571	94.6373	99.9539	79.2142	97.8241	99.9784	89.4574	97.2053	99.7557	80.3847	96.7329	99.4303	97.2662	91.4947	79.6514	96.1408	93.0777	97.7401	94.0681	99.8544	99.5158	93.0313
19	0.01026	83.0358	99.4057	91.3032	97.733	99.1632	96.9644	97.1734	81.7427	90.1985	96.224	98.6006	99.4276	93.7766	81.9518	84.6918	98.4611	88.2571	94.6296	99.9533	79.214	97.824	99.9784	89.4446	97.2053	99.7542	80.386	96.7329	99.4305	97.2664	91.4949	79.6518	96.1326	93.0778	97.7492	94.0591	99.8544	99.516	93.0319
20	0.0108	83.0361	99.4058	91.3039	97.7332	99.1633	96.9645	97.1795	81.7304	90.1897	96.2241	98.6007	99.4276	93.7766	81.9518	84.6925	98.4613	88.2571	94.6223	99.9528	79.2137	97.824	99.9784	89.4332	97.2053	99.7529	80.3874	96.7328	99.4306	97.2667	91.4952	79.6524	96.125	93.0779	97.7575	94.0506	99.8545	99.5161	93.0325
21	0.01134	83.0363	99.4058	91.3045	97.7334	99.1634	96.9646	97.1853	81.7188	90.1815	96.2242	98.6007	99.4276	93.7766	81.9518	84.6933	98.4616	88.2571	94.6155	99.9523	79.2135	97.824	99.9784	89.4227	97.2054	99.7516	80.3889	96.7328	99.4308	97.267	91.4956	79.6532	96.1177	93.0781	97.7653	94.0427	99.8546	99.5162	93.033
22	0.01188	83.0365	99.4059	91.3052	97.7336	99.1636	96.9646	97.1908	81.7076	90.1737	96.2243	98.6008	99.4277	93.7766	81.9518	84.6943	98.4618	88.2571	94.609	99.9518	79.2133	97.824	99.9784	89.4127	97.2054	99.7504	80.3903	96.7327	99.4309	97.2672	91.496	79.6541	96.1107	93.0783	97.7728	94.035	99.8547	99.5164	93.0336
23	0.01242	83.0367	99.4059	91.3059	97.7338	99.1637	96.9647	97.1962	81.6968	90.1663	96.2244	98.6008	99.4277	93.7766	81.9517	84.6952	98.4621	88.2571	94.6026	99.9514	79.213	97.8239	99.9784	89.4031	97.2054	99.7492	80.3918	96.7327	99.4311	97.2675	91.4965	79.655	96.1039	93.0785	97.7801	94.0275	99.8547	99.5165	93.0341
24	0.01296	83.0369	99.406	91.3065	97.734	99.1638	96.9648	97.2015	81.6861	90.159	96.2245	98.6008	99.4278	93.7766	81.9517	84.6961	98.4623	88.2572	94.5963	99.9509	79.2128	97.8239	99.9784	89.3938	97.2054	99.7481	80.3932	96.7326	99.4312	97.2677	91.497	79.6559	96.0971	93.0787	97.7871	94.0201	99.8548	99.5166	93.0346
25	0.0135	83.0371	99.4061	91.3072	97.7342	99.1639	96.9649	97.2067	81.6756	90.1519	96.2246	98.6009	99.4278	93.7766	81.9517	84.6971	98.4625	88.2572	94.5901	99.9505	79.2126	97.8239	99.9784	89.3847	97.2054	99.7469	80.3947	96.7326	99.4314	97.268	91.4974	79.6569	96.0905	93.0789	97.7941	94.0128	99.8549	99.5167	93.0351
