TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	0	0	0
1	0.00054	8.14778e-017	-2.6563e-018	8.29415e-017
2	0.00108	8.82725e-005	0.000137164	6.38509e-005
3	0.00162	0.000278607	0.00040825	0.000187893
4	0.00216	0.000582339	0.000809385	0.000368255
5	0.0027	0.000995473	0.00133556	0.000601189
6	0.00324	0.00149755	0.00198009	0.000883077
7	0.00378	0.00205015	0.00273032	0.00120955
8	0.00432	0.00261392	0.00357219	0.00157595
9	0.00486	0.0031459	0.00449093	0.0019776
10	0.0054	0.00360217	0.00547167	0.00240984
11	0.00594	0.00394081	0.0064998	0.0028681
12	0.00648	0.00411956	0.00755989	0.00334773
13	0.00702	0.00409159	0.0086338	0.00384387
14	0.00756	0.00381925	0.00970502	0.00435181
15	0.0081	0.00327699	0.0107593	0.00486699
16	0.00864	0.00248771	0.0117861	0.00538407
17	0.00918	0.00152038	0.0127785	0.00589699
18	0.00972	0.000513322	0.0137341	0.00639849
19	0.01026	-0.000337592	0.0146551	0.00688057
20	0.0108	-0.000885104	0.0155434	0.00733687
21	0.01134	-0.00106437	0.0163983	0.00776345
22	0.01188	-0.000905175	0.0172161	0.00815903
23	0.01242	-0.000520681	0.0179902	0.00852467
24	0.01296	-4.53028e-005	0.0187142	0.00886241
25	0.0135	0.000428074	0.0193847	0.00917376
26	0.01404	0.000836394	0.0200001	0.00945973
27	0.01458	0.00112438	0.0205605	0.0097216
28	0.01512	0.00124988	0.0210678	0.00996066
29	0.01566	0.00118777	0.0215254	0.0101781
30	0.0162	0.000932264	0.0219387	0.0103751
31	0.01674	0.000496934	0.0223142	0.0105522
32	0.01728	-8.74902e-005	0.0226598	0.0107102
33	0.01782	-0.000776722	0.0229837	0.0108492
34	0.01836	-0.00151581	0.0232945	0.0109693
35	0.0189	-0.0022483	0.0235989	0.0110703
36	0.01944	-0.00292633	0.0239016	0.011152
37	0.01998	-0.00351188	0.0242061	0.0112141
38	0.02052	-0.00397988	0.024515	0.011257
39	0.02106	-0.00432074	0.0248297	0.011281
