TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	2.0891e-005	0	0	0	0	0.00112666	0	0	3.67253e-005	0	0.00274044	0	0	0	0	0.00692677	0	0	0	0.000200498	0	0	0	0	0	0	0.00134528	0	0	0	0	0.00669927	0.000816471	0.000430662	4.08861e-006	0.00010138	0
1	0.00054	0	4.02811e-005	0	0	0	0	0.000296462	0	0	9.10507e-005	0	0.00536903	0	0	0	0	0.0134472	0	0	0	0.000463938	0	0	0	0	0.000287088	0	0.00266236	0	0	0	0.000396802	0.01293	0.00160832	0.000884296	8.05188e-006	0.000200343	0.000846424
2	0.00108	0	7.44159e-005	0	0	0	0	3.02512e-005	0	0	0.000161516	0	0.00811423	0	0	0	0	0.0198226	0	0	0	0.000782854	0	0	0	0	0.000964742	0	0.00394105	0	0	0	0.00104075	0.0195592	0.00259167	0.00137387	0	5.66117e-006	0.00134948
3	0.00162	0	0.000123156	0	0	0	0	0.000296623	0	0	0.000246711	0	0.0109617	0	0	0	0	0.0260497	0	0	0	0.00115452	0	0	0	0	0.00196116	0	0.00517493	0	0	0	0.00103849	0.0265155	0.00378618	0.00189001	0	0	0.0015423
4	0.00216	0	0.000181889	0	0	0	0	0.00106798	0	0	0.000345268	0	0.0138923	0	0	0	0.000707371	0.0321254	0	0	0	0.00157091	0	0	0	0	0.00324474	0	0.00635413	0	0	0	0.000459884	0.0337248	0.00522173	0.00243831	0	0	0.00143341
5	0.0027	0	0.000251711	0	0	0	0	0.00223401	0	0	0.000454072	0	0.0168928	0	0	0	0.00288479	0.0380475	0	0	0	0.00202608	0	0	0	0	0.00478904	0	0.00747254	0	0.00305858	0	0	0.0411291	0.00688785	0.00300605	0	0	0.00104177
6	0.00324	0	0.000329156	0	0	0	0	0.00374064	0	0	0.000573697	0	0.019947	0	0	0	0.00557573	0.0438164	0	0	0	0.00251428	0	0	0	0	0.00654378	0	0.00852777	0	0.00676469	0	0	0.0486651	0.0087062	0.00357414	0	0	0.000410673
7	0.00378	0	0.000414592	0	0	0	0	0.00543271	0	0	0.000700214	0	0.0230392	0	0	0	0.00865073	0.0494196	0	0	0	0.00303085	0	0	0	0	0.00846477	0	0.00952825	0	0.0106215	0	0	0.0562684	0.0106007	0.00411033	0	0	0
8	0.00432	0	0.000504774	0	0	0	0	0.0072166	0	0	0.000836099	0	0.0261543	0	0	0	0.0120038	0.0548615	0	0	0	0.00356769	0	0	0	0	0.0104992	0	0.010493	0	0.0144162	0	0	0.0638788	0.0124651	0.00459511	0	0	0
9	0.00486	0	0.000601169	0	0	0	0	0.008931	0	0	0.000974779	0	0.0292706	0	0	0	0.0155085	0.0601297	0	0	0	0.00411877	0	0	0	0	0.0126059	0	0.0114337	0	0.0179892	0	0	0.0714331	0.0141963	0.00499943	0	0	0
10	0.0054	0	0.00069797	0	0	0	0	0.0104983	0	0	0.00111797	0	0.0323778	0	0	0	0.0190617	0.0652241	0	0	0	0.00468187	0	0	0	0	0.0147365	0	0.012347	0	0.0212152	0.00115706	0	0.0788775	0.0156941	0.00531756	0	0	0
11	0.00594	0	0.000797847	0	0	0	0	0.0118072	0	0	0.00126193	0	0.035457	0	0	0	0.0225502	0.0701317	0	0	0	0.00524944	0	0	0	0	0.0168561	0	0.0132624	0	0.0240153	0.00514455	0	0.0861637	0.0168719	0.0055154	0	0	0
12	0.00648	0	0.000897008	0	0	0	0	0.0127883	0	0	0.00140667	0	0.0384954	0	0	0	0.0258372	0.0748537	0	0	0	0.00581509	0	0	0	0	0.0189096	0	0.014187	0	0.0263256	0.00891305	0	0.0932392	0.0176313	0.00559324	0	0	0
13	0.00702	0	0.000995513	0	0	0	0	0.0133588	0	0	0.00155125	0	0.0414771	0	0	0	0.0288167	0.0793809	0	0	0	0.00637621	0	0	0	0	0.0208611	0	0.0151387	0	0.0280533	0.012269	0	0.100059	0.017866	0.0055155	0	0	0
14	0.00756	0	0.00109252	0	0	0	0	0.013453	0	0	0.00169301	0	0.0443885	0	0	0	0.0314052	0.0837082	0.00243743	0	0	0.00692493	0	0	0	0	0.0226691	0	0.0161314	0	0.0291532	0.0150653	0	0.106576	0.0175083	0.00529181	0	0	0
15	0.0081	0	0.00118725	0	0	0	0	0.0130774	0	0	0.00183203	0	0.0472164	0	0	0	0.0335587	0.0878323	0.0070952	0	0	0.00745899	0	0	0	0	0.0243208	0	0.0171752	0	0.0296357	0.0172035	0	0.112755	0.0165108	0.00494553	0	0	0
16	0.00864	0	0.00127539	0	0	0	0	0.0123456	0	0.000851315	0.00196573	0	0.0499464	0	0	0	0.0353031	0.0917435	0.0121558	0	0	0.00796995	0	0	0	0.00247886	0.0258008	0	0.0182691	0	0.0295618	0.0186641	0.000612698	0.118551	0.0149457	0.00450936	0	0	0
17	0.00918	0	0.00135921	0	0	0	0	0.011479	0	0.00190782	0.00209159	0	0.0525625	0	0	0	0.0367204	0.0954343	0.0169669	0	0	0.00845053	0	0	0	0.0061757	0.0271122	0	0.0193978	0	0.0290428	0.0194942	0.00351491	0.123913	0.0129943	0.00407849	0	0	0
18	0.00972	0	0.00143542	0	0	0	0	0.0108092	0	0.00258249	0.00220538	0	0.0550387	0	0	0	0.0379393	0.098891	0.0206984	0	0	0.0088955	0	0	0	0.00864549	0.0282668	0	0.0205319	0	0.0282336	0.0198397	0.00543166	0.128773	0.0110086	0.00376018	0	0	0
19	0.01026	0	0.00150011	0	0	0	0	0.0106855	0	0.00261143	0.0023102	0	0.0573569	0	0	0	0.0390653	0.102095	0.0227759	0	0	0.00929799	0	0	0	0.00937808	0.0292778	0	0.0216319	0	0.027324	0.0198876	0.0058147	0.133063	0.0094454	0.00364067	0	0	0
20	0.0108	0	0.00155676	0	0	0	0	0.0113083	0	0.00195164	0.00240184	0	0.059498	0	0	0	0.0401418	0.105037	0.0230176	0	0	0.00965226	0	0	0	0.00827826	0.0301577	0	0.0226589	0	0.0264351	0.019793	0.00450703	0.13674	0.00866225	0.00373635	0	0	0
21	0.01134	0	0.00160058	0	0	0	0	0.0126673	0	0.000761765	0.00248253	0	0.0614597	0	0	0	0.0411458	0.107719	0.0216356	0	0	0.00996444	0	0	0	0.00564046	0.0308914	0	0.0235999	0	0.0255821	0.019615	0.00177817	0.139791	0.00877665	0.00402312	0	0	0
22	0.01188	0	0.00163158	0	0	0	0	0.0145031	0	0	0.00254994	0	0.0632359	0	0	0	0.0419981	0.110146	0.0191699	0	0	0.0102315	0	0	0	0.00208921	0.0314752	0	0.0244602	0	0.024704	0.0193158	0	0.142245	0.00971256	0.00442459	0	0	0
23	0.01242	0	0.00165335	0	0	0	0	0.016515	0	0	0.00260808	0	0.0648446	0	0	0	0.0426119	0.112338	0.0162283	0	0	0.0104584	0	0	0	0	0.0319005	0	0.0252557	0	0.0237069	0.0188011	0	0.144156	0.0111664	0.0048512	0	0	0
24	0.01296	0	0.00166387	0	0	0	0	0.0183668	0	0	0.00265726	0	0.0662974	0	0	0	0.0429437	0.114316	0.0131659	0	0	0.0106512	0	0	0	0	0.0321588	0	0.0260201	0	0.0225127	0.0179616	0	0.145586	0.0127931	0.00525119	0	0	0
25	0.0135	0	0.00166839	0	0	0	0	0.0199058	0	0	0.00269507	0	0.0676037	0	0	0	0.0429771	0.116095	0.0102575	0	0	0.01081	0	0	0	0	0.0322601	0	0.0267648	0	0.0210979	0.0167575	0	0.146588	0.0143653	0.0055868	0	0	0
26	0.01404	0	0.00166467	0	0	0	0	0.0210044	0	0	0.00272637	0	0.0687725	0	0	0	0.0427104	0.117689	0.00773082	0	0	0.010936	0	0	0	0	0.0322084	0	0.0274974	0	0.0195063	0.0152003	0	0.147203	0.0157338	0.00582976	0	0	0
27	0.01458	0	0.00165327	0	0	0	0	0.0216148	0	0	0.00274957	0	0.0698163	0	0	0	0.0421636	0.119115	0.005771	0	0	0.0110348	0	0	0	0	0.0320166	0	0.0282289	0	0.0177693	0.0132998	0	0.147474	0.0167789	0.00596791	0	0	0
28	0.01512	0	0.00163564	0	0	0	0	0.0216951	0	0	0.00276405	0	0.0707432	0	0	0	0.0413631	0.120384	0.00448873	0	0	0.0111054	0	0	0	0	0.031704	0	0.0289522	0	0.0159487	0.0111115	0	0.147442	0.0173914	0.00598622	0	0	0
29	0.01566	0	0.00161311	0	0	0	0	0.021258	0	0	0.00277276	0	0.0715575	0	0	0	0.0403771	0.121511	0.00391775	0	0	0.0111516	0	0	0	0	0.0312891	0	0.0296746	0	0.0141031	0.00870977	0	0.147139	0.0175372	0.00589212	0	0	0
30	0.0162	0	0.00158513	0	0	0	0	0.0203869	0	0	0.0027759	0	0.0722725	0	0	0	0.0392637	0.122503	0.00399788	0	0	0.0111751	0	0	0	0	0.0307947	0	0.0303819	0	0.0123103	0.00617491	0	0.146603	0.0172118	0.00569258	0	0	0
31	0.01674	0	0.00155387	0	0	0	0	0.0191548	0	0	0.00277186	0	0.0728954	0	0	0	0.0381107	0.123374	0.0046231	0	0	0.0111783	0	0	0	0	0.0302427	0	0.0310707	0	0.0106583	0.00362503	0	0.145854	0.0164681	0.00542997	0	0	0
32	0.01728	0	0.00151955	0	0	0	0	0.0177122	0	0.00029241	0.00276354	0	0.0734242	0	0	0	0.0370058	0.124131	0.00562056	0	0	0.0111594	0	0	0	0	0.0296644	0	0.0317235	0	0.00920657	0.00116865	0	0.144918	0.0153828	0.00511896	0	0	0
33	0.01782	0	0.0014815	0	0	0	0	0.0161629	0	0.000974906	0.0027502	0	0.0738677	0	0	0	0.0360293	0.12478	0.00677672	0	0	0.0111225	0	0	0	0	0.0290773	0	0.032323	0	0.00801936	0	0	0.143806	0.0140769	0.00479838	0	0	0
34	0.01836	0	0.00143908	0	0	0	0	0.0146915	0	0.00146998	0.00272931	0	0.0742327	0	0	0	0.0352582	0.125329	0.00786658	0	0	0.0110648	0	0	0	0	0.0285069	0	0.032845	0	0.00715714	0	0	0.142534	0.0126752	0.00449749	0	0	0
35	0.0189	0	0.00139438	0	0	0	0	0.0134105	0	0.00172126	0.00270558	0	0.0745147	0	0	0	0.034741	0.125781	0.00869345	0	0	0.0109878	0	0	0	0	0.027963	0	0.0332838	0	0.0066239	0	0	0.141107	0.0113419	0.00425093	0	0	0
