TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.00364117	0.0509207	0.00142685	0.025118	0.0358108	0.000194744	0.000856768	0.0775198	1.32	0.032329	0.00906769	0.00877513	0.00192096	0.000598569	0.225658	0.0543091	0.00127151	0.0004826	0	0.00018871	0.0150723	0.0185123	0.00117777	0.000358688	0	4.60513e-005	0.00842138	0.799564	0.00299764	0.00075188	0.114524	0.0886258	0.0113049	0.459874	0.00447087	0.178091	0.0267465	0.171508
1	0.00054	0	0.0947246	0.00683979	0.442201	0.0458916	0.000389104	0	0	1.32	0.0882454	0.0175503	0.0173135	0	0.00119468	0.421968	2.61078	0.00251751	0.0139537	0	0.000376873	0.0678256	0.0326235	0	0.00071456	10.99	0.00596437	0.0362209	1.3631	0.00330567	0.00149643	0.196378	4.26	0.0223128	0.837613	0.0394596	0.326981	0.0529948	3.37117
2	0.00108	0	0	0.0125995	0.832697	0.767027	0	0	1.03423	1.32	0.143491	0.283563	0.240613	0	0	0.720994	3.2176	0.0271255	0.0189953	0.908551	0	0.118694	0	0	0	5.84736	0.0118182	0.0633299	2.18149	0.00355051	0.00587073	0.578944	4.26	0.682488	0	0.0746564	0	0	2.89672
3	0.00162	0	0	0.0221945	1.55729	0.988046	0	0	2.28606	1.32	0.18811	0.535473	0.461415	0	0	0.990415	4.32823	0.0515903	0.0212595	1.03719	0	0.15634	0	0.0185044	0	3.22555	0.0176686	0.084012	2.76435	0.00765167	0.0101107	0.845134	4.26	1.32649	0	0.111038	0	0	1.24423
4	0.00216	0	0	0.0330508	2.3396	1.30979	0	0	3.74297	1.32	0.222463	0.689011	0.608889	0	0	1.31341	4.75354	0.0681432	0.0231261	1.09164	0	0.181459	0	0.044054	0	2.70756	0.0226275	0.0979175	2.38693	0.0141944	0.0155533	1.16755	4.26	1.74423	0	0.147595	0	0	0
5	0.0027	0	0	0.0411224	2.75381	1.44841	0	0.00128571	5.10966	1.32	0.249779	0.750592	0.685117	0	0	1.6259	3.74994	0.0768369	0.0249873	1.08078	0	0.198062	0	0.0546067	0	2.67351	0.0256413	0.106839	1.62241	0.020132	0.0211409	1.42797	4.26	1.94558	0	0.18237	0	0	0
6	0.00324	0	0	0.046082	2.79941	1.18937	0	0.00207988	6.31514	1.32	0.273021	0.752506	0.713689	0	0	1.83601	2.37281	0.0802018	0.0270221	0.998162	0	0.209999	0	0.0634484	0	2.8468	0.0270756	0.112916	1.1546	0.024667	0.0251851	1.47597	4.26	2.00327	0	0.21562	0	0	0
7	0.00378	0	0	0.0488205	2.61168	0.804853	0	0.00158872	7.11206	1.32	0.294106	0.724568	0.717146	0	0	1.94888	1.2548	0.0807372	0.0291506	0.927933	0	0.219887	0	0.0729529	0	3.00706	0.0275621	0.117736	1.0862	0.0279689	0.0276711	1.36563	4.26	1.98582	0	0.24675	0	0	0
8	0.00432	0	0.00899357	0.0503119	2.32249	0.480193	0	0.000468538	7.22938	1.32	0.314053	0.68631	0.710558	0	0	1.9969	0.554147	0.0801349	0.0309668	0.875238	0	0.229133	0	0.0822416	0	2.84051	0.0275934	0.12217	1.28401	0.0304559	0.0290847	1.18581	4.26	1.9389	0	0.2713	0	0	0
9	0.00486	0	0.0495301	0.0512517	2.0181	0.271071	0	0	6.863	1.32	0.33328	0.647821	0.701897	0	0	2.01039	0.201524	0.0792948	0.032434	0.743404	0	0.238309	0	0.0894081	0	2.60146	0.0274645	0.12657	1.58309	0.0324932	0.0299119	1.00163	4.26	1.88656	0	0.289867	0	0	0
